id,movie_id,can_end_second
101,30004,6000
102,30006,6000
103,30008,6000
104,30010,11800
105,30012,6000
106,30014,6000
107,30016,6000
108,30018,6000
109,30020,17400
110,30022,8400
111,30024,6000
112,30026,16433
113,30028,6000
114,30030,7800
115,30032,18000
116,30034,9200
117,30036,7400
118,30038,7100
119,30040,8300
120,30042,6000
121,30044,18900
122,30046,8600
123,30048,8633
124,30050,21600
125,30052,9000
126,30054,9500
127,30056,21400
128,30058,9700
129,30060,9700
130,30062,18500
131,30066,9800
132,30068,22200
133,30070,10000
134,30072,9400
135,30074,11500
136,30076,11000
137,30078,8700
138,30080,20000
139,30082,7400
140,30084,7700
141,30086,21000
142,30088,13500
143,30090,10500
144,30092,23400
145,30094,10500
146,30096,10000
147,30098,19000
148,30100,9500
149,30104,21000
150,30106,10000
151,30108,12000
152,30110,11000
153,30112,26500
154,30114,12500
155,30116,9900
156,30118,17800
157,30120,13500
158,30122,11500
159,30124,21000
160,30126,12500
161,30128,14500
162,30132,21000
163,30134,9800
164,30136,8600
165,30138,26100
166,30140,12230
167,30142,11660
168,30146,23500
169,30148,12000
170,30150,14600
