id,cue_name,cue_sheet_name,voice_text_asset,start_date,end_date
1,snd_voi_event_090004_0112,snd_voi_event_090004,1,1624158000,1627527599
2,snd_voi_event_090002_0112,snd_voi_event_090002,1,1624158000,1627527599
3,snd_voi_event_090005_0111,snd_voi_event_090005,1,1627441200,1627527599
4,snd_voi_event_090006_0113,snd_voi_event_090006,2,1632798000,1632884399
5,snd_voi_event_090007_0114,snd_voi_event_090007,3,1635303600,1635389999
6,snd_voi_event_090008_0114,snd_voi_event_090008,4,1638068400,1638154799
9,snd_voi_event_090009_0109,snd_voi_event_090009,5,1640833200,1640919599
10,snd_voi_event_090010_0116,snd_voi_event_090010,6,1643288400,1643338799
11,snd_voi_event_090011_0112,snd_voi_event_090011,11,1645585200,1645671599
12,snd_voi_event_090012_0116,snd_voi_event_090012,12,1648436400,1648522799
13,snd_voi_event_090013_0110,snd_voi_event_090013,13,1651028400,1651114799
14,snd_voi_event_090014_0112,snd_voi_event_090014,14,1653829200,1653879599
15,snd_voi_event_090015_0113,snd_voi_event_090015,15,1656507600,1656557999
16,snd_voi_event_090016_0109,snd_voi_event_090016,16,1658977200,1659063599
17,snd_voi_event_090017_0111,snd_voi_event_090017,17,1661655600,1661741999
18,snd_voi_event_090018_0112,snd_voi_event_090018,18,1664334000,1664420399
19,snd_voi_event_090019_0109,snd_voi_event_090019,19,1666875600,1666925999
20,snd_voi_event_090020_0114,snd_voi_event_090020,20,1669518000,1669604399
21,snd_voi_event_090021_0109,snd_voi_event_090021,21,1672232400,1672282799
22,snd_voi_event_090022_0113,snd_voi_event_090022,22,1674961200,1675047599
23,snd_voi_event_090023_0112,snd_voi_event_090023,23,1677121200,1677207599
