id,hair_color_r1,hair_color_r2,hair_color_g1,hair_color_g2,hair_color_b1,hair_color_b2,hair_toon_color_r1,hair_toon_color_r2,hair_toon_color_g1,hair_toon_color_g2,hair_toon_color_b1,hair_toon_color_b2,mayu_color_r1,mayu_color_r2,mayu_color_g1,mayu_color_g2,mayu_color_b1,mayu_color_b2,mayu_toon_color_r1,mayu_toon_color_r2,mayu_toon_color_g1,mayu_toon_color_g2,mayu_toon_color_b1,mayu_toon_color_b2,eye_color_r1,eye_color_r2,eye_color_g1,eye_color_g2,eye_color_b1,eye_color_b2
1,#7A6D9F,#522A9F,#6D2AEF,#260D47,#7225D1,#2F2D42,#3E4A7C,#342166,#4B2DB9,#07030E,#3D2D9F,#131734,#FFFFFF,#FFFFFF,#FFFFFF,#131733,#131734,#2F3980,#FFFFFF,#FFFFFF,#FFFFFF,#131733,#131734,#2F3980,#40363C,#C2A8BF,#D8D0D8,#464042,#554C4F,#BDB3B7
2,#ABA5DB,#53566E,#8F95BE,#AFBEE8,#8D94BB,#313241,#6B83B9,#252D52,#46669D,#72ABC5,#45679A,#161E33,#FFFFFF,#FFFFFF,#FFFFFF,#161D33,#161E33,#374980,#FFFFFF,#FFFFFF,#FFFFFF,#161D33,#161E33,#374980,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B
3,#416A4C,#6A225C,#D180BE,#D846C8,#7ECEA1,#6A5A65,#24404F,#160B17,#914EAF,#7B4B90,#5184B4,#42294B,#FFFFFF,#FFFFFF,#FFFFFF,#2D1C33,#42294B,#714580,#FFFFFF,#FFFFFF,#FFFFFF,#2D1C33,#42294B,#714580,#4B2A2C,#BC9490,#FE9063,#594329,#713113,#D68C30
4,#49494E,#C8C9D9,#5C5DBF,#2936D9,#0E1548,#292A52,#1F1D39,#8B8DBA,#54487B,#232A9B,#07060D,#1D1A2C,#FFFFFF,#FFFFFF,#FFFFFF,#221E33,#1D1A2C,#544B80,#FFFFFF,#FFFFFF,#FFFFFF,#221E33,#1D1A2C,#544B80,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673
5,#ABA5DB,#53566E,#8F95BE,#AFBEE8,#8D94BB,#000000,#6B83B9,#252D52,#46669D,#72ABC5,#45679A,#000000,#FFFFFF,#FFFFFF,#FFFFFF,#333333,#000000,#808080,#FFFFFF,#FFFFFF,#FFFFFF,#333333,#000000,#808080,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B
6,#7A6D9F,#522A9F,#6D2AEF,#260D47,#7225D1,#26262E,#3E4A7C,#342166,#4B2DB9,#07030E,#3D2D9F,#000000,#FFFFFF,#FFFFFF,#FFFFFF,#333333,#000000,#808080,#FFFFFF,#FFFFFF,#FFFFFF,#333333,#000000,#808080,#40363C,#C2A8BF,#D8D0D8,#464042,#554C4F,#BDB3B7
7,#22B9C1,#C4232C,#1E5D60,#60301A,#C19C9B,#4F4344,#5371A2,#811842,#224545,#3C1F0D,#A67B7D,#372429,#FFFFFF,#FFFFFF,#FFFFFF,#332127,#372429,#805360,#FFFFFF,#FFFFFF,#FFFFFF,#332127,#372429,#805360,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B
8,#7A6D9F,#522A9F,#6D2AEF,#260D47,#7225D1,#26262E,#3E4A7C,#342166,#4B2DB9,#07030E,#3D2D9F,#000000,#FFFFFF,#FFFFFF,#FFFFFF,#333333,#000000,#808080,#FFFFFF,#FFFFFF,#FFFFFF,#333333,#000000,#808080,#40363C,#C2A8BF,#D8D0D8,#464042,#554C4F,#BDB3B7
9,#7C7A86,#372689,#F0F3DD,#BFC0D1,#907EE8,#2C2E50,#404564,#211A4F,#CBF3D8,#8389B3,#665FB2,#1D1B2B,#FFFFFF,#FFFFFF,#FFFFFF,#221F33,#1D1B2B,#544E80,#FFFFFF,#FFFFFF,#FFFFFF,#221F33,#1D1B2B,#544E80,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B
10,#776971,#FCDEE9,#D42487,#63706B,#404846,#4B2532,#533E55,#E3BEFE,#8B3384,#435057,#20293A,#300B1E,#FFFFFF,#FFFFFF,#FFFFFF,#330B20,#300B1E,#801D50,#FFFFFF,#FFFFFF,#FFFFFF,#330B20,#300B1E,#801D50,#4B2732,#D8868E,#FFCFCE,#502138,#703444,#D89096
