scene_type,season,weather,group_id,pattern_1,pattern_2,pattern_3,pattern_4,pattern_5,pattern_6,pattern_7,pattern_8,pattern_9,pattern_10
1,1,1,110,11,11,0,0,0,0,0,0,0,0
1,1,2,110,11,11,0,0,0,0,0,0,0,0
1,1,3,210,4,4,7,7,0,0,0,0,0,0
1,2,1,100,11,11,0,0,0,0,0,0,0,0
1,2,2,100,11,11,0,0,0,0,0,0,0,0
1,2,3,200,4,4,7,7,0,0,0,0,0,0
1,3,1,110,11,11,0,0,0,0,0,0,0,0
1,3,2,110,11,11,0,0,0,0,0,0,0,0
1,3,3,210,4,4,7,7,0,0,0,0,0,0
1,4,1,120,11,11,0,0,0,0,0,0,0,0
1,4,2,120,11,11,0,0,0,0,0,0,0,0
1,4,3,220,4,4,7,7,0,0,0,0,0,0
1,4,4,220,4,4,7,7,0,0,0,0,0,0
1,5,1,110,11,11,0,0,0,0,0,0,0,0
1,5,2,110,11,11,0,0,0,0,0,0,0,0
1,5,3,210,4,4,7,7,0,0,0,0,0,0
2,1,1,110,11,11,0,0,0,0,0,0,0,0
2,1,2,110,11,11,0,0,0,0,0,0,0,0
2,1,3,210,4,4,7,7,0,0,0,0,0,0
2,2,1,100,11,11,0,0,0,0,0,0,0,0
2,2,2,100,11,11,0,0,0,0,0,0,0,0
2,2,3,200,4,4,7,7,0,0,0,0,0,0
2,3,1,110,11,11,0,0,0,0,0,0,0,0
2,3,2,110,11,11,0,0,0,0,0,0,0,0
2,3,3,210,4,4,7,7,0,0,0,0,0,0
2,4,1,120,11,11,0,0,0,0,0,0,0,0
2,4,2,120,11,11,0,0,0,0,0,0,0,0
2,4,3,220,4,4,7,7,0,0,0,0,0,0
2,4,4,220,4,4,7,7,0,0,0,0,0,0
2,5,1,110,11,11,0,0,0,0,0,0,0,0
2,5,2,110,11,11,0,0,0,0,0,0,0,0
2,5,3,210,4,4,7,7,0,0,0,0,0,0
