id,available_skill_set_id,skill_id,need_rank
1,100101,200512,0
2,100101,201352,0
3,100101,200732,0
11,100101,200162,2
12,100101,201351,3
13,100101,200612,4
14,100101,200511,5
15,100201,200432,0
16,100201,200552,0
17,100201,200712,0
25,100201,200022,2
26,100201,200431,3
27,100201,200542,4
28,100201,200551,5
29,100301,200452,0
30,100301,201132,0
31,100301,201332,0
39,100301,200502,2
40,100301,201331,3
41,100301,201142,4
42,100301,201131,5
43,100401,200362,0
44,100401,201052,0
45,100401,200532,0
53,100401,201062,2
54,100401,201051,3
55,100401,200432,4
56,100401,201061,5
57,100501,200771,0
58,100501,201072,0
59,100501,200572,0
67,100501,201052,2
68,100501,201071,3
69,100501,201042,4
70,100501,200571,5
71,100601,200342,0
72,100601,201062,0
73,100601,201352,0
81,100601,200222,2
82,100601,201351,3
83,100601,200492,4
84,100601,200341,5
85,100701,201591,0
86,100701,201212,0
87,100701,201472,0
95,100701,201482,2
96,100701,201471,3
97,100701,200622,4
98,100701,201481,5
99,100801,200382,0
100,100801,200702,0
101,100801,200602,0
109,100801,200372,2
110,100801,200381,3
111,100801,201032,4
112,100801,200701,5
113,100901,200282,0
114,100901,200722,0
115,100901,200572,0
123,100901,200562,2
124,100901,200721,3
125,100901,200582,4
126,100901,200571,5
127,101001,200362,0
128,101001,201052,0
129,101001,201532,0
137,101001,200682,2
138,101001,201051,3
139,101001,201032,4
140,101001,200681,5
141,101101,200871,0
142,101101,201152,0
143,101101,200602,0
151,101101,200512,2
152,101101,201151,3
153,101101,200592,4
154,101101,200601,5
155,101201,200502,0
156,101201,200632,0
157,101201,200732,0
165,101201,201452,2
166,101201,200731,3
167,101201,201462,4
168,101201,200631,5
169,101301,200172,0
170,101301,200562,0
171,101301,201192,0
179,101301,201182,2
180,101301,201191,3
181,101301,201352,4
182,101301,200561,5
183,101401,200362,0
184,101401,201122,0
185,101401,201312,0
193,101401,200562,2
194,101401,201121,3
195,101401,200722,4
196,101401,200561,5
197,101501,200582,0
198,101501,200722,0
199,101501,200142,0
207,101501,200362,2
208,101501,200581,3
209,101501,200562,4
210,101501,200721,5
211,101701,200332,0
212,101701,201152,0
213,101701,200572,0
221,101701,200891,2
222,101701,201151,3
223,101701,201322,4
224,101701,200331,5
225,101801,200502,0
226,101801,200722,0
227,101801,201372,0
235,101801,200941,2
236,101801,201371,3
237,101801,200931,4
238,101801,200501,5
239,102001,200881,0
240,102001,201192,0
241,102001,200542,0
249,102001,201522,2
250,102001,201191,3
251,102001,201611,4
252,102001,200541,5
253,102401,200382,0
254,102401,201272,0
