id,chara_id,cut_id,cut_sub_id,motion_type
1,1001,1,1,2
2,1002,1,1,6
3,1003,1,1,2
4,1004,1,1,1
5,1005,1,1,5
6,1006,1,1,5
7,1007,1,1,4
8,1008,1,1,5
9,1009,1,1,5
10,1010,1,1,4
11,1011,1,1,6
12,1012,1,1,2
13,1013,1,1,6
14,1014,1,1,4
15,1015,1,1,5
16,1016,1,1,5
17,1017,1,1,5
18,1018,1,1,5
19,1019,1,1,4
20,1020,1,1,5
21,1021,1,1,2
22,1022,1,1,1
23,1023,1,1,5
24,1024,1,1,4
25,1025,1,1,6
26,1026,1,1,5
27,1027,1,1,2
28,1028,1,1,4
29,1029,1,1,2
30,1030,1,1,6
31,1031,1,1,2
32,1032,1,1,5
33,1033,1,1,5
34,1034,1,1,2
35,1035,1,1,4
36,1036,1,1,5
37,1037,1,1,6
38,1038,1,1,1
39,1039,1,1,3
40,1040,1,1,5
41,1041,1,1,4
42,1042,1,1,5
43,1044,1,1,1
44,1045,1,1,3
45,1046,1,1,1
46,1048,1,1,3
47,1050,1,1,5
48,1051,1,1,3
49,1052,1,1,4
50,1053,1,1,2
51,1056,1,1,1
52,1058,1,1,6
53,1059,1,1,6
54,1060,1,1,5
55,1061,1,1,5
56,1062,1,1,1
57,1064,1,1,2
58,1067,1,1,3
59,1068,1,1,2
60,1069,1,1,1
61,1071,1,1,6
62,1072,1,1,5
63,1074,1,1,3
64,1078,1,1,5
65,1087,1,1,1
66,1098,1,1,4
67,1001,2,1,1
68,1002,2,1,4
69,1003,2,1,5
70,1004,2,1,6
71,1005,2,1,7
72,1006,2,1,4
73,1007,2,1,3
74,1008,2,1,5
75,1009,2,1,1
76,1010,2,1,3
77,1011,2,1,2
78,1012,2,1,5
79,1013,2,1,6
80,1014,2,1,3
81,1015,2,1,7
82,1016,2,1,4
83,1017,2,1,7
84,1018,2,1,7
85,1019,2,1,1
86,1020,2,1,5
87,1021,2,1,5
88,1022,2,1,6
89,1023,2,1,6
90,1024,2,1,1
91,1025,2,1,4
92,1026,2,1,4
93,1027,2,1,1
94,1028,2,1,1
95,1029,2,1,2
96,1030,2,1,2
97,1031,2,1,5
98,1032,2,1,7
99,1033,2,1,4
100,1034,2,1,5
101,1035,2,1,3
102,1036,2,1,4
103,1037,2,1,6
104,1038,2,1,1
105,1039,2,1,3
106,1040,2,1,4
107,1041,2,1,3
108,1042,2,1,7
109,1044,2,1,3
110,1045,2,1,6
111,1046,2,1,3
112,1048,2,1,5
113,1050,2,1,4
114,1051,2,1,2
115,1052,2,1,3
116,1053,2,1,5
117,1056,2,1,3
118,1058,2,1,4
119,1059,2,1,4
120,1060,2,1,4
121,1061,2,1,7
122,1062,2,1,2
123,1064,2,1,5
124,1067,2,1,2
125,1068,2,1,5
126,1069,2,1,1
127,1071,2,1,6
128,1072,2,1,2
129,1074,2,1,6
130,1078,2,1,6
131,1087,2,1,2
132,1098,2,1,1
133,1001,3,3,1
134,1002,3,1,3
135,1003,3,2,1
136,1004,3,3,5
137,1005,3,3,5
138,1006,3,3,1
139,1007,3,2,2
140,1008,3,2,1
141,1009,3,3,3
142,1010,3,1,1
143,1011,3,3,5
144,1012,3,1,1
145,1013,3,3,3
146,1014,3,1,1
147,1015,3,1,3
148,1016,3,1,3
149,1017,3,2,3
150,1018,3,2,3
151,1019,3,2,3
152,1020,3,2,4
153,1021,3,1,3
154,1022,3,2,3
155,1023,3,1,3
156,1024,3,1,3
157,1025,3,1,3
158,1026,3,3,3
159,1027,3,3,3
160,1028,3,3,1
161,1029,3,3,3
162,1030,3,3,3
163,1031,3,2,3
164,1032,3,2,4
165,1033,3,2,3
166,1034,3,2,1
167,1035,3,2,1
168,1036,3,1,3
169,1037,3,1,3
170,1038,3,1,3
171,1039,3,3,2
172,1040,3,3,5
173,1041,3,2,2
174,1042,3,1,3
175,1044,3,1,1
176,1045,3,3,3
177,1046,3,2,3
178,1048,3,1,1
179,1050,3,2,3
180,1051,3,3,5
181,1052,3,1,1
182,1053,3,3,1
183,1056,3,1,2
184,1058,3,1,4
185,1059,3,3,5
186,1060,3,2,3
187,1061,3,3,5
188,1062,3,2,1
189,1064,3,1,3
190,1067,3,3,5
191,1068,3,3,1
192,1069,3,2,3
193,1071,3,1,3
194,1072,3,2,3
195,1074,3,3,5
196,1078,3,1,3
197,1087,3,1,3
198,1098,3,1,1
199,1047,1,1,6
200,1049,1,1,5
201,1065,1,1,2
202,1099,1,1,2
203,1100,1,1,3
204,1047,2,1,2
205,1049,2,1,4
206,1065,2,1,3
207,1099,2,1,6
208,1100,2,1,2
209,1047,3,3,5
210,1049,3,2,3
211,1065,3,1,1
212,1099,3,2,3
213,1100,3,1,3
