id,race_additional_id,race_program_id,race_additional_reward_id,reward_limit
1,1,623,1,1
2,2,624,2,1
3,3,81,3,1
4,4,625,4,1
5,5,1,5,1
6,6,2,6,1
7,7,3,7,1
8,8,162,8,1
9,9,163,9,1
10,10,4,10,1
11,11,164,11,1
12,12,5,12,1
13,13,165,13,1
14,14,166,14,1
15,15,73,15,1
16,16,74,16,1
17,17,1022,17,1
18,18,1023,18,1
19,19,75,19,1
20,20,1109,20,1
21,21,167,21,1
22,22,168,22,1
23,23,76,23,1
24,24,1026,24,1
25,25,1025,25,1
26,26,1024,26,1
27,27,77,27,1
28,28,78,28,1
29,29,79,29,1
39,30,80,30,1
40,40,623,40,1
41,41,1107,41,1
42,42,624,42,1
43,43,81,43,1
44,44,625,44,1
45,45,1027,45,1
46,46,18,46,1
47,47,178,47,1
48,48,6,48,1
49,49,180,49,1
50,50,8,50,1
51,51,1106,51,1
52,52,1,52,1
