id,target_type,card_id,count,item_category_1,item_id_1,item_num_1,prop_id,location_id,motion_type,replace_index
1,8,100101,1,20,1000101,1,129700,101,7,-1
2,8,100102,1,20,1000102,1,129700,102,7,-1
3,8,100103,1,20,1000103,1,129700,103,7,-1
4,8,100201,1,20,1000201,1,129700,104,7,-1
5,8,100301,1,20,1000301,1,129300,105,5,-1
6,8,100302,1,20,1000302,1,129300,106,5,-1
7,8,100401,1,20,1000401,1,129200,107,4,-1
8,8,100402,1,20,1000402,1,129200,108,4,-1
9,8,100501,1,20,1000501,1,129200,107,11,-1
10,8,100502,1,20,1000502,1,129200,109,11,-1
11,8,100601,1,20,1000601,1,130500,110,7,0
12,8,100602,1,20,1000602,1,130500,111,7,0
13,8,100701,1,20,1000701,1,128700,112,11,-1
14,8,100702,1,20,1000702,1,128700,113,11,-1
15,8,100801,1,20,1000801,1,129400,114,6,3
16,8,100802,1,20,1000802,1,129400,115,6,3
17,8,100901,1,20,1000901,1,129400,116,10,-1
18,8,100902,1,20,1000902,1,129400,117,10,-1
19,8,101001,1,20,1001001,1,129300,118,5,-1
20,8,101002,1,20,1001002,1,129300,119,5,-1
21,8,101101,1,20,1001101,1,129100,103,3,-1
22,8,101102,1,20,1001102,1,129100,120,3,-1
23,8,101201,1,20,1001201,1,130500,121,2,0
24,8,101301,1,20,1001301,1,129700,122,7,-1
25,8,101302,1,20,1001302,1,129700,123,7,-1
26,8,101303,1,20,1001303,1,129700,124,7,-1
27,8,101401,1,20,1001401,1,129300,103,5,-1
28,8,101402,1,20,1001402,1,129300,125,5,-1
29,8,101501,1,20,1001501,1,129700,126,8,-1
30,8,101502,1,20,1001502,1,129700,127,8,-1
31,8,101601,1,20,1001601,1,129400,116,6,-1
32,8,101602,1,20,1001602,1,129400,128,6,-1
33,8,101701,1,20,1001701,1,129700,129,7,-1
34,8,101702,1,20,1001702,1,129700,111,7,-1
35,8,101801,1,20,1001801,1,129700,103,8,-1
36,8,101802,1,20,1001802,1,129700,130,8,-1
37,8,101901,1,20,1001901,1,130500,116,1,0
38,8,101902,1,20,1001902,1,130500,128,1,0
39,8,102001,1,20,1002001,1,129700,131,7,-1
40,8,102002,1,20,1002002,1,129700,112,7,-1
41,8,102101,1,20,1002101,1,130500,132,2,1
42,8,102102,1,20,1002102,1,130500,133,2,1
43,8,102201,1,20,1002201,1,129100,116,3,-1
44,8,102202,1,20,1002202,1,129100,134,3,-1
45,8,102301,1,20,1002301,1,129700,116,7,-1
46,8,102302,1,20,1002302,1,129700,128,7,-1
47,8,102401,1,20,1002401,1,128700,135,11,-1
48,8,102402,1,20,1002402,1,128700,136,11,-1
49,8,102501,1,20,1002501,1,129700,137,7,2
50,8,102601,1,20,1002601,1,129700,106,7,-1
51,8,102602,1,20,1002602,1,129700,116,7,-1
