id,cut_id,cut_sub_id,material_id,background_data_id,bg_position_custom,bg_position_x,reward_set_id,love_point
1,3,1,Flooring,117,0,0,1,50
2,3,2,Flooring,233,0,0,1,50
3,3,3,Flooring,134,0,0,1,50
4,1,1,Grass,142,0,0,3,50
5,1,1,Dirt,140,0,0,3,50
6,1,1,Asphalt,392,0,0,3,50
7,1,1,Flooring,197,0,0,3,50
8,1,1,Asphalt,96,0,0,3,50
9,1,1,Soil,271,0,0,3,50
10,1,1,Beach,112,0,0,3,50
11,1,1,Asphalt,422,0,0,3,50
12,1,1,Asphalt,441,0,0,3,50
13,1,1,Asphalt,135,0,0,3,50
14,1,1,Asphalt,420,0,0,3,50
15,1,1,Asphalt,80,0,0,3,50
16,1,1,Asphalt,150,0,0,3,50
17,1,1,Grass,430,0,0,3,50
18,1,1,Asphalt,120,0,0,3,50
19,1,1,Asphalt,166,0,0,3,50
20,1,1,Grass,289,0,0,3,50
21,1,1,Asphalt,356,0,0,3,50
22,1,1,Grass,283,0,0,3,50
23,1,1,Soil,444,0,0,3,50
24,1,1,Asphalt,265,0,0,3,50
25,1,1,Flooring,314,0,0,3,50
26,1,1,Asphalt,267,0,0,3,50
27,1,1,Asphalt,105,0,0,3,50
28,1,1,Asphalt,387,0,0,3,50
29,1,1,Flooring,183,0,0,3,50
30,1,1,Asphalt,311,0,0,3,50
31,1,1,Asphalt,97,0,0,3,50
32,1,1,Soil,442,0,0,3,50
33,1,1,Grass,324,0,0,3,50
34,1,1,Beach,137,0,0,3,50
35,1,1,Grass,454,0,0,3,50
36,1,1,Soil,313,0,0,3,50
37,2,1,Concrete,263,0,0,2,50
38,2,1,Flooring,118,0,0,2,50
39,2,1,Flooring,99,0,0,2,50
40,2,1,Flooring,327,0,0,2,50
41,2,1,Flooring,390,0,0,2,50
42,2,1,Concrete,461,1,-30000,2,50
43,2,1,Flooring,353,0,0,2,50
44,2,1,Flooring,408,0,0,2,50
45,2,1,Flooring,412,0,0,2,50
46,2,1,Flooring,423,0,0,2,50
47,2,1,Flooring,403,0,0,2,50
48,2,1,Flooring,371,0,0,2,50
49,2,1,Flooring,116,1,160000,2,50
50,2,1,Flooring,359,0,0,2,50
51,2,1,Flooring,345,0,0,2,50
52,2,1,Flooring,282,0,0,2,50
53,2,1,Flooring,382,1,-30000,2,50
54,2,1,Concrete,143,0,0,2,50
55,2,1,Flooring,332,0,0,2,50
56,2,1,Concrete,340,0,0,2,50
57,2,1,Flooring,334,0,0,2,50
58,2,1,Flooring,121,0,0,2,50
59,2,1,Flooring,292,0,0,2,50
60,2,1,Flooring,360,1,130000,2,50
61,2,1,Concrete,91,0,0,2,50
62,2,1,Concrete,119,0,0,2,50
63,2,1,Flooring,346,1,95000,2,50
64,2,1,Flooring,98,0,0,2,50
65,2,1,Flooring,368,0,0,2,50
