id,talent_group_id,talent_level,item_category_1,item_id_1,item_num_1,item_category_2,item_id_2,item_num_2,item_category_3,item_id_3,item_num_3,item_category_4,item_id_4,item_num_4,item_category_5,item_id_5,item_num_5,item_category_6,item_id_6,item_num_6
1,100101,2,11,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,100101,3,11,10,30,11,78,5,11,87,5,0,0,0,0,0,0,0,0,0
3,100101,4,11,10,60,11,74,15,11,78,15,11,83,15,11,87,15,11,44,2
4,100101,5,11,10,100,11,74,30,11,78,30,11,83,30,11,87,30,11,44,10
5,100201,2,11,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,100201,3,11,7,30,11,80,5,11,84,5,0,0,0,0,0,0,0,0,0
7,100201,4,11,7,60,11,73,15,11,78,15,11,80,15,11,84,15,11,44,2
8,100201,5,11,7,100,11,73,30,11,78,30,11,80,30,11,84,30,11,44,10
9,100301,2,11,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,100301,3,11,7,30,11,78,5,11,91,5,0,0,0,0,0,0,0,0,0
11,100301,4,11,7,60,11,73,15,11,78,15,11,87,15,11,91,15,11,44,2
12,100301,5,11,7,100,11,73,30,11,78,30,11,87,30,11,91,30,11,44,10
13,100401,2,11,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,100401,3,11,4,30,11,79,5,11,90,5,0,0,0,0,0,0,0,0,0
15,100401,4,11,4,60,11,71,15,11,79,15,11,84,15,11,90,15,11,44,2
16,100401,5,11,4,100,11,71,30,11,79,30,11,84,30,11,90,30,11,44,10
17,100601,2,11,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,100601,3,11,4,30,11,85,5,11,91,5,0,0,0,0,0,0,0,0,0
19,100601,4,11,4,60,11,75,15,11,85,15,11,84,15,11,91,15,11,44,2
20,100601,5,11,4,100,11,75,30,11,85,30,11,84,30,11,91,30,11,44,10
21,100701,2,11,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,100701,3,11,10,30,11,74,5,11,80,5,0,0,0,0,0,0,0,0,0
23,100701,4,11,10,60,11,74,15,11,80,15,11,83,15,11,92,15,11,44,2
24,100701,5,11,10,100,11,74,30,11,80,30,11,83,30,11,92,30,11,44,10
25,100801,2,11,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,100801,3,11,4,30,11,78,5,11,79,5,0,0,0,0,0,0,0,0,0
27,100801,4,11,4,60,11,76,15,11,78,15,11,79,15,11,89,15,11,44,2
28,100801,5,11,4,100,11,76,30,11,78,30,11,79,30,11,89,30,11,44,10
29,100901,2,11,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,100901,3,11,7,30,11,72,5,11,91,5,0,0,0,0,0,0,0,0,0
31,100901,4,11,7,60,11,72,15,11,82,15,11,86,15,11,91,15,11,44,2
32,100901,5,11,7,100,11,72,30,11,82,30,11,86,30,11,91,30,11,44,10
33,101001,2,11,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,101001,3,11,4,30,11,81,5,11,85,5,0,0,0,0,0,0,0,0,0
35,101001,4,11,4,60,11,75,15,11,79,15,11,81,15,11,85,15,11,44,2
36,101001,5,11,4,100,11,75,30,11,79,30,11,81,30,11,85,30,11,44,10
37,101101,2,11,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,101101,3,11,7,30,11,80,5,11,91,5,0,0,0,0,0,0,0,0,0
39,101101,4,11,7,60,11,80,15,11,87,15,11,90,15,11,91,15,11,44,2
40,101101,5,11,7,100,11,80,30,11,87,30,11,90,30,11,91,30,11,44,10
41,101301,2,11,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,101301,3,11,10,30,11,74,5,11,80,5,0,0,0,0,0,0,0,0,0
43,101301,4,11,10,60,11,74,15,11,80,15,11,83,15,11,84,15,11,44,2
44,101301,5,11,10,100,11,74,30,11,80,30,11,83,30,11,84,30,11,44,10
45,101401,2,11,7,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,101401,3,11,7,30,11,75,5,11,87,5,0,0,0,0,0,0,0,0,0
47,101401,4,11,7,60,11,75,15,11,78,15,11,87,15,11,91,15,11,44,2
48,101401,5,11,7,100,11,75,30,11,78,30,11,87,30,11,91,30,11,44,10
49,101701,2,11,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,101701,3,11,7,30,11,73,5,11,91,5,0,0,0,0,0,0,0,0,0
51,101701,4,11,7,60,11,73,15,11,78,15,11,83,15,11,91,15,11,44,2
52,101701,5,11,7,100,11,73,30,11,78,30,11,83,30,11,91,30,11,44,10
53,101801,2,11,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,101801,3,11,7,30,11,77,5,11,84,5,0,0,0,0,0,0,0,0,0
55,101801,4,11,7,60,11,77,15,11,82,15,11,84,15,11,89,15,11,44,2
56,101801,5,11,7,100,11,77,30,11,82,30,11,84,30,11,89,30,11,44,10
57,102401,2,11,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,102401,3,11,10,30,11,74,5,11,80,5,0,0,0,0,0,0,0,0,0
59,102401,4,11,10,60,11,74,15,11,80,15,11,83,15,11,91,15,11,44,2
60,102401,5,11,10,100,11,74,30,11,80,30,11,83,30,11,91,30,11,44,10
61,102701,2,11,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
