id,chara_id,race_dress_id,nickname_id,card_rarity_data_id,post,speed,stamina,pow,guts,wiz,proper_distance_short,proper_distance_mile,proper_distance_middle,proper_distance_long,proper_running_style_nige,proper_running_style_senko,proper_running_style_sashi,proper_running_style_oikomi,proper_ground_turf,proper_ground_dirt,skill_set_id
1,1011,101101,73,10110103,2,581,535,562,598,614,1,7,6,7,2,6,7,2,7,1,51101122
2,1061,106101,126,10610103,2,694,538,660,507,575,7,7,6,5,1,6,7,4,7,1,51106122
3,1020,102001,164,10200103,0,658,696,658,418,437,1,5,7,7,7,6,4,3,7,1,51102032
4,1001,100101,66,10010103,2,587,619,570,490,529,2,5,7,7,1,6,7,5,7,1,51100132
5,1014,101401,68,10140103,0,731,687,687,742,708,2,7,7,6,3,7,6,5,7,6,52101422
6,1014,101416,68,10140203,2,969,766,988,762,903,2,7,7,6,3,6,7,5,7,6,53101423
7,1035,103501,47,10350103,2,635,588,635,568,493,1,2,7,6,1,6,7,1,7,1,51103531
8,1032,103201,48,10320103,2,575,658,643,388,645,1,4,7,6,3,7,6,2,7,1,51103231
9,1005,100501,80,10050103,0,624,601,650,673,569,6,7,7,3,5,7,5,1,7,2,51100531
10,1003,100301,76,10030103,2,640,655,629,582,629,2,3,7,6,1,7,4,2,7,1,51100331
11,1017,101701,78,10170103,0,906,778,810,666,784,3,5,7,7,6,7,6,5,7,1,52101732
12,1017,101743,78,10170203,0,991,851,886,728,858,3,5,7,7,6,7,6,5,7,1,53101732
13,1028,102801,166,10280103,0,783,508,759,597,686,7,6,2,1,6,7,5,1,7,2,52102821
14,1051,105101,223,10510103,2,744,530,735,658,678,7,7,3,1,2,6,7,1,7,2,52105121
15,1010,101001,83,10100103,0,699,595,686,684,679,7,7,3,1,5,7,3,1,7,6,52101021
16,1053,105301,230,10530103,2,792,573,792,660,594,7,7,5,1,5,6,7,5,7,4,52105321
17,1038,103801,89,10380103,0,756,622,750,708,796,7,4,1,1,6,7,3,1,7,2,52103836
18,1038,103826,89,10380203,0,877,626,870,789,887,7,4,1,1,6,7,3,1,7,2,52103846
