id,priority,condition_type,condition_value_1,condition_value_2,point,race_point_name_id,sort_order
1,1,1,20,0,150,0,13
2,1,1,19,0,130,0,13
3,1,1,18,0,125,0,13
4,1,1,17,0,120,0,13
5,1,1,16,0,115,0,13
6,1,1,15,0,110,0,13
7,1,1,14,0,105,0,13
8,1,1,13,0,100,0,13
9,1,1,12,0,95,0,13
10,1,1,11,0,90,0,13
11,1,1,10,0,85,0,13
12,1,1,9,0,80,0,13
13,1,1,8,0,75,0,13
14,1,1,7,0,70,0,13
15,1,1,6,0,65,0,13
16,1,1,5,0,60,0,13
17,1,1,4,0,55,0,13
18,1,1,3,0,50,0,13
19,1,1,0,0,250,0,13
20,1,1,1,0,150,0,13
21,1,1,2,0,100,0,13
22,1,2,3,8,200,0,14
23,1,7,1,0,50,1,16
24,1,8,3,10,150,2,17
25,1,8,3,9,140,2,17
26,1,8,3,8,130,2,17
27,1,8,3,7,120,2,17
28,1,8,3,6,110,2,17
29,1,8,3,5,100,2,17
30,1,8,3,4,95,2,17
31,1,8,3,3,90,2,17
32,1,8,3,2,85,2,17
33,1,8,3,1,75,2,17
34,1,8,4,10,200,2,17
35,1,8,4,9,190,2,17
36,1,8,4,8,180,2,17
37,1,8,4,7,170,2,17
38,1,8,4,6,160,2,17
39,1,8,4,5,150,2,17
40,1,8,4,4,140,2,17
41,1,8,4,3,130,2,17
42,1,8,4,2,120,2,17
43,1,8,4,1,110,2,17
44,1,8,5,10,200,2,17
45,1,8,5,9,190,2,17
46,1,8,5,8,180,2,17
47,1,8,5,7,170,2,17
48,1,8,5,6,160,2,17
49,1,8,5,5,150,2,17
50,1,8,5,4,140,2,17
51,1,8,5,3,130,2,17
52,1,8,5,2,120,2,17
53,1,8,5,1,110,2,17
54,1,8,2,0,60,2,18
55,1,8,1,0,25,2,19
56,1,9,1,0,50,3,20
57,1,9,2,0,50,3,21
58,1,3,1,0,500,0,1
59,1,3,2,0,400,0,2
60,1,3,3,0,350,0,3
61,1,3,4,0,300,0,4
62,1,3,5,0,250,0,5
63,1,3,6,0,200,0,6
64,1,3,7,0,200,0,7
65,1,3,8,0,150,0,8
66,1,3,9,0,150,0,9
67,1,3,10,0,100,0,10
68,1,3,11,0,100,0,11
69,1,3,12,0,100,0,12
70,1,4,20,99999999,120,0,15
71,1,4,19,20,110,0,15
72,1,4,18,19,105,0,15
73,1,4,17,18,100,0,15
74,1,4,16,17,95,0,15
75,1,4,15,16,90,0,15
76,1,4,14,15,85,0,15
77,1,4,13,14,80,0,15
78,1,4,12,13,75,0,15
79,1,4,11,12,70,0,15
80,1,4,10,11,65,0,15
81,1,4,9,10,60,0,15
82,1,4,8,9,55,0,15
83,1,4,7,8,50,0,15
84,1,4,6,7,45,0,15
85,1,4,5,6,40,0,15
86,1,4,4,5,35,0,15
87,1,4,3,4,30,0,15
88,1,4,2,3,25,0,15
89,1,4,1,2,20,0,15
90,2,10,1,1,500,0,1000
91,1,12,4,1,1000,0,22
92,1,12,5,1,1500,0,23
