id,round_id,scene_type,race_number,cue_name,cuesheet_name,first_bgm_pattern,second_bgm_pattern
1,1,1,1,snd_bgm_GM002_paddock_01,snd_bgm_GM002,1,1
2,1,1,2,snd_bgm_GM002_paddock_01,snd_bgm_GM002,1,1
3,1,1,3,snd_bgm_GM002_paddock_01,snd_bgm_GM002,1,1
4,1,1,4,snd_bgm_GM002_paddock_01,snd_bgm_GM002,1,1
5,1,1,5,snd_bgm_GM002_paddock_01,snd_bgm_GM002,1,1
6,1,2,1,snd_bgm_AM019_entrytable_01,snd_bgm_AM019,1,1
7,1,2,2,snd_bgm_AM019_entrytable_01,snd_bgm_AM019,1,1
8,1,2,3,snd_bgm_AM019_entrytable_01,snd_bgm_AM019,1,1
9,1,2,4,snd_bgm_AM019_entrytable_01,snd_bgm_AM019,1,1
10,1,2,5,snd_bgm_AM019_entrytable_01,snd_bgm_AM019,1,1
11,1,3,1,0,0,12,13
12,1,3,2,0,0,12,13
13,1,3,3,0,0,10,11
14,1,3,4,0,0,10,11
15,1,3,5,0,0,10,11
16,2,1,1,snd_bgm_SM012_paddock_02,snd_bgm_SM012,1,1
17,2,1,2,snd_bgm_SM012_paddock_02,snd_bgm_SM012,1,1
18,2,1,3,snd_bgm_SM012_paddock_02,snd_bgm_SM012,1,1
19,2,1,4,snd_bgm_SM012_paddock_02,snd_bgm_SM012,1,1
20,2,1,5,snd_bgm_SM012_paddock_02,snd_bgm_SM012,1,1
21,2,2,1,snd_bgm_AM003_entrytable_01,snd_bgm_AM003,1,1
22,2,2,2,snd_bgm_AM003_entrytable_01,snd_bgm_AM003,1,1
23,2,2,3,snd_bgm_AM003_entrytable_01,snd_bgm_AM003,1,1
24,2,2,4,snd_bgm_AM003_entrytable_01,snd_bgm_AM003,1,1
25,2,2,5,snd_bgm_AM003_entrytable_01,snd_bgm_AM003,1,1
26,2,3,1,0,0,8,9
27,2,3,2,0,0,8,9
28,2,3,3,0,0,20,21
29,2,3,4,0,0,20,21
30,2,3,5,0,0,20,21
31,3,1,1,snd_bgm_SM012_paddock_02,snd_bgm_SM012,1,1
32,3,1,2,snd_bgm_SM012_paddock_02,snd_bgm_SM012,1,1
33,3,1,3,snd_bgm_SM012_paddock_02,snd_bgm_SM012,1,1
34,3,1,4,snd_bgm_SM012_paddock_02,snd_bgm_SM012,1,1
35,3,1,5,snd_bgm_SM012_paddock_02,snd_bgm_SM012,1,1
36,3,2,1,snd_bgm_AM003_entrytable_01,snd_bgm_AM003,1,1
37,3,2,2,snd_bgm_AM003_entrytable_01,snd_bgm_AM003,1,1
38,3,2,3,snd_bgm_AM003_entrytable_01,snd_bgm_AM003,1,1
39,3,2,4,snd_bgm_AM003_entrytable_01,snd_bgm_AM003,1,1
40,3,2,5,snd_bgm_AM003_entrytable_01,snd_bgm_AM003,1,1
41,3,3,1,0,0,8,9
42,3,3,2,0,0,8,9
43,3,3,3,0,0,20,21
44,3,3,4,0,0,20,21
45,3,3,5,0,0,20,21
46,4,1,1,snd_bgm_GM022_paddock_02,snd_bgm_GM022,1,1
47,4,2,1,snd_bgm_AM025_entrytable_01,snd_bgm_AM025,1,1
48,4,3,1,0,0,18,19
49,5,1,1,snd_bgm_GM022_paddock_02,snd_bgm_GM022,1,1
50,5,2,1,snd_bgm_AM025_entrytable_01,snd_bgm_AM025,1,1
51,5,3,1,0,0,18,19
52,0,11,0,snd_bgm_GM037_loop,snd_bgm_GM037,1,1
53,0,12,0,snd_bgm_GM036_loop,snd_bgm_GM036,1,1
54,0,13,0,snd_bgm_GM012_champions,snd_bgm_GM012,1,1
55,0,14,0,snd_bgm_AM049_champions,snd_bgm_AM049,1,1
