id,champions_id,league_type,round_id,win_count,ranking,rate,reward_set_id,box_grade
1,1,1,1,0,0,10000,101,0
2,1,1,1,1,0,10000,102,1
3,1,1,1,2,0,10000,103,2
4,1,1,1,3,0,10000,104,3
5,1,1,1,4,0,10000,105,4
6,1,1,1,5,0,10000,106,5
7,1,1,2,0,0,10000,107,0
8,1,1,2,1,0,10000,108,1
9,1,1,2,2,0,10000,109,2
10,1,1,2,3,0,10000,110,3
11,1,1,2,4,0,10000,111,4
12,1,1,2,5,0,10000,112,5
13,1,1,3,0,0,10000,113,0
14,1,1,3,1,0,10000,114,1
15,1,1,3,2,0,10000,115,2
16,1,1,3,3,0,10000,116,3
17,1,1,3,4,0,10000,117,4
18,1,1,3,5,0,10000,118,5
19,1,1,4,0,3,10000,119,6
20,1,1,4,0,2,10000,120,7
21,1,1,4,0,1,10000,121,8
22,1,1,5,0,3,10000,122,6
23,1,1,5,0,2,10000,123,7
24,1,1,5,0,1,10000,124,8
25,1,2,1,0,0,10000,151,0
26,1,2,1,1,0,10000,152,1
27,1,2,1,2,0,10000,153,2
28,1,2,1,3,0,10000,154,3
29,1,2,1,4,0,10000,155,4
30,1,2,1,5,0,10000,156,5
31,1,2,2,0,0,10000,157,0
32,1,2,2,1,0,10000,158,1
33,1,2,2,2,0,10000,159,2
34,1,2,2,3,0,10000,160,3
35,1,2,2,4,0,10000,161,4
36,1,2,2,5,0,10000,162,5
37,1,2,3,0,0,10000,163,0
38,1,2,3,1,0,10000,164,1
39,1,2,3,2,0,10000,165,2
40,1,2,3,3,0,10000,166,3
41,1,2,3,4,0,10000,167,4
42,1,2,3,5,0,10000,168,5
43,1,2,4,0,3,10000,169,6
44,1,2,4,0,2,10000,170,7
45,1,2,4,0,1,10000,171,8
46,1,2,5,0,3,10000,172,6
47,1,2,5,0,2,10000,173,7
48,1,2,5,0,1,10000,174,8
49,2,1,1,0,0,10000,201,0
50,2,1,1,1,0,10000,202,1
51,2,1,1,2,0,10000,203,2
52,2,1,1,3,0,10000,204,3
53,2,1,1,4,0,10000,205,4
54,2,1,1,5,0,10000,206,5
55,2,1,2,0,0,10000,207,0
56,2,1,2,1,0,10000,208,1
57,2,1,2,2,0,10000,209,2
58,2,1,2,3,0,10000,210,3
59,2,1,2,4,0,10000,211,4
60,2,1,2,5,0,10000,212,5
61,2,1,3,0,0,10000,213,0
62,2,1,3,1,0,10000,214,1
63,2,1,3,2,0,10000,215,2
64,2,1,3,3,0,10000,216,3
65,2,1,3,4,0,10000,217,4
66,2,1,3,5,0,10000,218,5
67,2,1,4,0,3,10000,219,6
68,2,1,4,0,2,10000,220,7
69,2,1,4,0,1,10000,221,8
70,2,1,5,0,3,10000,222,6
71,2,1,5,0,2,10000,223,7
72,2,1,5,0,1,10000,224,8
73,2,2,1,0,0,10000,251,0
74,2,2,1,1,0,10000,252,1
75,2,2,1,2,0,10000,253,2
76,2,2,1,3,0,10000,254,3
77,2,2,1,4,0,10000,255,4
78,2,2,1,5,0,10000,256,5
79,2,2,2,0,0,10000,257,0
80,2,2,2,1,0,10000,258,1
81,2,2,2,2,0,10000,259,2
82,2,2,2,3,0,10000,260,3
83,2,2,2,4,0,10000,261,4
84,2,2,2,5,0,10000,262,5
85,2,2,3,0,0,10000,263,0
86,2,2,3,1,0,10000,264,1
87,2,2,3,2,0,10000,265,2
88,2,2,3,3,0,10000,266,3
89,2,2,3,4,0,10000,267,4
90,2,2,3,5,0,10000,268,5
91,2,2,4,0,3,10000,269,6
92,2,2,4,0,2,10000,270,7
93,2,2,4,0,1,10000,271,8
94,2,2,5,0,3,10000,272,6
95,2,2,5,0,2,10000,273,7
96,2,2,5,0,1,10000,274,8
97,3,1,1,0,0,10000,301,0
98,3,1,1,1,0,10000,302,1
99,3,1,1,2,0,10000,303,2
100,3,1,1,3,0,10000,304,3
101,3,1,1,4,0,10000,305,4
102,3,1,1,5,0,10000,306,5
103,3,1,2,0,0,10000,307,0
104,3,1,2,1,0,10000,308,1
105,3,1,2,2,0,10000,309,2
106,3,1,2,3,0,10000,310,3
107,3,1,2,4,0,10000,311,4
108,3,1,2,5,0,10000,312,5
109,3,1,3,0,0,10000,313,0
110,3,1,3,1,0,10000,314,1
111,3,1,3,2,0,10000,315,2
112,3,1,3,3,0,10000,316,3
113,3,1,3,4,0,10000,317,4
114,3,1,3,5,0,10000,318,5
115,3,1,4,0,3,10000,319,6
116,3,1,4,0,2,10000,320,7
117,3,1,4,0,1,10000,321,8
118,3,1,5,0,3,10000,322,6
119,3,1,5,0,2,10000,323,7
120,3,1,5,0,1,10000,324,8
121,3,2,1,0,0,10000,351,0
122,3,2,1,1,0,10000,352,1
123,3,2,1,2,0,10000,353,2
124,3,2,1,3,0,10000,354,3
125,3,2,1,4,0,10000,355,4
126,3,2,1,5,0,10000,356,5
127,3,2,2,0,0,10000,357,0
128,3,2,2,1,0,10000,358,1
129,3,2,2,2,0,10000,359,2
130,3,2,2,3,0,10000,360,3
131,3,2,2,4,0,10000,361,4
132,3,2,2,5,0,10000,362,5
133,3,2,3,0,0,10000,363,0
134,3,2,3,1,0,10000,364,1
135,3,2,3,2,0,10000,365,2
136,3,2,3,3,0,10000,366,3
137,3,2,3,4,0,10000,367,4
138,3,2,3,5,0,10000,368,5
139,3,2,4,0,3,10000,369,6
140,3,2,4,0,2,10000,370,7
141,3,2,4,0,1,10000,371,8
142,3,2,5,0,3,10000,372,6
143,3,2,5,0,2,10000,373,7
144,3,2,5,0,1,10000,374,8
145,4,1,1,0,0,10000,401,0
146,4,1,1,1,0,10000,402,1
147,4,1,1,2,0,10000,403,2
148,4,1,1,3,0,10000,404,3
149,4,1,1,4,0,10000,405,4
150,4,1,1,5,0,10000,406,5
151,4,1,2,0,0,10000,407,0
152,4,1,2,1,0,10000,408,1
153,4,1,2,2,0,10000,409,2
154,4,1,2,3,0,10000,410,3
155,4,1,2,4,0,10000,411,4
156,4,1,2,5,0,10000,412,5
157,4,1,3,0,0,10000,413,0
158,4,1,3,1,0,10000,414,1
159,4,1,3,2,0,10000,415,2
160,4,1,3,3,0,10000,416,3
161,4,1,3,4,0,10000,417,4
162,4,1,3,5,0,10000,418,5
163,4,1,4,0,3,10000,419,6
164,4,1,4,0,2,10000,420,7
165,4,1,4,0,1,10000,421,8
166,4,1,5,0,3,10000,422,6
167,4,1,5,0,2,10000,423,7
168,4,1,5,0,1,10000,424,8
169,4,2,1,0,0,10000,451,0
170,4,2,1,1,0,10000,452,1
171,4,2,1,2,0,10000,453,2
172,4,2,1,3,0,10000,454,3
173,4,2,1,4,0,10000,455,4
174,4,2,1,5,0,10000,456,5
175,4,2,2,0,0,10000,457,0
176,4,2,2,1,0,10000,458,1
177,4,2,2,2,0,10000,459,2
178,4,2,2,3,0,10000,460,3
179,4,2,2,4,0,10000,461,4
180,4,2,2,5,0,10000,462,5
181,4,2,3,0,0,10000,463,0
182,4,2,3,1,0,10000,464,1
183,4,2,3,2,0,10000,465,2
184,4,2,3,3,0,10000,466,3
185,4,2,3,4,0,10000,467,4
186,4,2,3,5,0,10000,468,5
187,4,2,4,0,3,10000,469,6
188,4,2,4,0,2,10000,470,7
189,4,2,4,0,1,10000,471,8
190,4,2,5,0,3,10000,472,6
191,4,2,5,0,2,10000,473,7
192,4,2,5,0,1,10000,474,8
193,5,1,1,0,0,10000,501,0
194,5,1,1,1,0,10000,502,1
195,5,1,1,2,0,10000,503,2
196,5,1,1,3,0,10000,504,3
197,5,1,1,4,0,10000,505,4
198,5,1,1,5,0,10000,506,5
199,5,1,2,0,0,10000,507,0
200,5,1,2,1,0,10000,508,1
201,5,1,2,2,0,10000,509,2
202,5,1,2,3,0,10000,510,3
203,5,1,2,4,0,10000,511,4
204,5,1,2,5,0,10000,512,5
205,5,1,3,0,0,10000,513,0
206,5,1,3,1,0,10000,514,1
207,5,1,3,2,0,10000,515,2
208,5,1,3,3,0,10000,516,3
209,5,1,3,4,0,10000,517,4
210,5,1,3,5,0,10000,518,5
211,5,1,4,0,3,10000,519,6
212,5,1,4,0,2,10000,520,7
213,5,1,4,0,1,10000,521,8
214,5,1,5,0,3,10000,522,6
215,5,1,5,0,2,10000,523,7
216,5,1,5,0,1,10000,524,8
217,5,2,1,0,0,10000,551,0
218,5,2,1,1,0,10000,552,1
219,5,2,1,2,0,10000,553,2
220,5,2,1,3,0,10000,554,3
