id,birth_year,birth_month,birth_day,sex,image_color_main,image_color_sub,ui_color_main,ui_color_sub,ui_training_color_1,ui_training_color_2,ui_border_color,ui_num_color_1,ui_num_color_2,ui_turn_color,ui_wipe_color_1,ui_wipe_color_2,ui_wipe_color_3,ui_speech_color_1,ui_speech_color_2,ui_nameplate_color_1,ui_nameplate_color_2,height,bust,scale,skin,shape,socks,personal_dress,tail_model_id,race_running_type,ear_random_time_min,ear_random_time_max,tail_random_time_min,tail_random_time_max,story_ear_random_time_min,story_ear_random_time_max,story_tail_random_time_min,story_tail_random_time_max,attachment_model_id,mini_mayu_shader_type,start_date,chara_category,love_rank_limit
1001,1995,5,2,1,FCA7FF,FF58D9,EE6DCB,FFDEF9,FF7FDD,F759CD,F759CD,FF7FDD,FA50CD,FA50CD,FCCAEE,FCE3F5,FDEDFE,FF7FDD,FF7FDD,FF7CDC,FEB4EA,1,2,158,1,0,3,0,1,1,110,220,30,90,275,425,130,250,-1,0,1483196400,0,12
1002,1994,5,1,1,8FE78D,FBFF3B,29BD70,FFCE48,4BD18C,27B36B,27B36B,4BD18C,27B36B,27B36B,BDF2D6,D4F2E2,FFF5CC,4BD18C,4BD18C,43C883,82ECB5,1,0,161,1,1,6,0,1,1,170,270,180,310,275,425,180,310,-1,0,1483196400,0,10
1003,1988,4,20,1,A8C6FD,5277D6,3376D2,FF99D0,4C91F1,2B75DD,2B75DD,71ADFF,1667D9,1667D9,BCD5F5,D6E4F6,FFEBF6,4C91F1,4C91F1,4C91F1,8DBCFD,1,1,150,1,0,1,0,1,3,130,210,110,210,275,425,110,210,-1,0,1483196400,0,12
1004,1974,5,19,1,F84B40,FFCA3B,EA504A,FFCD00,FF8269,EB654B,EB654B,FF8E66,F76C51,F76C51,FFD0C4,FFE4DE,FFF5CC,FF7D63,FF7D63,FF7559,FFA18E,2,3,164,1,0,4,0,1,1,110,220,30,90,275,425,130,250,-1,0,1483196400,0,12
1005,1992,4,15,1,6C6C6C,181818,444745,33B839,41CC70,28A853,28A853,4BDB7B,2BB258,28A853,BEFAD2,E0FFEB,F0FFF0,41CC70,41CC70,41CC70,7AF5A3,2,2,168,1,0,0,0,1,1,130,210,110,210,275,425,110,210,-1,0,1626058800,0,10
1006,1985,3,27,1,7991EC,293CB2,3A7AD2,ECE7E7,5992DF,3B76C4,3B76C4,71ADFF,3578D4,3578D4,BFD4F5,D8E4F6,FFE0DE,5992DF,5992DF,5992DF,87B7F8,2,2,167,0,0,6,0,1,1,160,250,220,310,275,425,220,310,-1,0,1483196400,0,12
1007,2009,3,6,1,FFFFFF,F84B40,DA3C57,E9DA36,F56E85,DB4D65,DB4D65,FD8297,DD415B,DD415B,FCCAD2,FCE3E7,FAF6E1,FB758C,FB758C,FA667F,FF98AA,2,3,170,0,0,3,0,1,3,130,210,110,210,275,425,110,210,-1,0,1483196400,0,12
1008,2004,4,4,2,FFEF72,2CD9B4,D4C200,3DD1D7,EECF02,D2AE08,DCAB00,EDCF02,EBB600,EBB600,FAEEB1,FBF3CC,E0F4F5,F8D90D,F8D90D,F3C801,F5E15F,2,1,165,2,0,4,0,1,3,130,210,110,210,275,425,110,210,-1,1,1483196400,0,12
1009,2004,5,13,2,8DA3E7,3B61FF,4F64D8,E73472,7396F5,4D75E3,4D75E3,80A1F8,5880EE,5880EE,C8CFFA,E1E5FA,FBDCE7,7C9EFC,7C9EFC,648BF9,9CB6FC,2,3,163,1,2,3,0,1,1,130,210,110,210,275,425,110,210,-1,0,1483196400,0,12
1010,1994,3,23,1,CBFF9E,33B042,73C032,FFAC42,83D93A,67BD1C,67BD1C,83D93A,4DBC0A,4DBC0A,D6F2BD,E3F2D6,FFEED9,82D63C,82D63C,76CC2B,A5EA6A,2,4,172,2,0,4,0,1,1,130,210,110,210,275,425,110,210,-1,0,1483196400,0,10
1011,1995,2,18,1,A3B2D6,3357B0,3A34AC,E3493F,8F8AF7,736DED,736DED,8F8AF7,736DE8,736DE8,CCC8FA,E3E1FA,FCDFDE,8F8AF7,8F8AF7,8F8AFB,AFABFC,1,1,152,1,1,0,0,1,2,170,270,180,310,275,425,180,310,-1,0,1483196400,0,10
1012,1991,3,26,2,5BA5DD,FFFFFF,2185D0,E6453A,40a5f7,3e7dd6,3e7dd6,6eadff,1e85d4,1e85d4,cfe1ff,dbecff,fff0f0,3a9ef0,3a9ef0,3795fa,7acaff,1,3,160,3,0,0,0,1,1,130,210,110,210,275,425,110,210,-1,0,1624244400,0,10
1013,1987,4,3,1,38BDC3,FFFFFF,00B5BE,DFC8E7,3CCFD7,22B7BF,22B7BF,3CCFD7,22B7BF,22B7BF,B5F2F5,CDF3F5,F3E3FC,3CCFD7,3CCFD7,36C7CF,7CE3E9,1,0,159,0,1,2,0,1,1,170,270,180,310,275,425,180,310,-1,0,1483196400,0,12
1014,1995,3,17,1,D64F3E,FDCE46,DD4E31,EFDB28,FF8960,F26A3D,F26A3D,FF8960,F26A3D,F26A3D,FCD4BD,FCE1DC,FBF3CC,FE8B64,FE8B64,FF8358,FEAD91,2,3,163,1,0,4,0,1,1,130,210,110,210,275,425,110,210,-1,3,1483196400,0,12
1015,1996,3,13,1,ECEB61,FF83DA,F271C4,FBE415,f87ecd,ee55b7,ee55b7,f87ecd,e951b2,e951b2,f2c7e3,f7dfef,faf7dc,f87ecd,f87ecd,f975cb,fdabe0,1,1,156,1,0,3,0,1,1,130,210,110,210,275,425,110,210,-1,0,1614654000,0,10
1016,1991,5,3,1,FFACE1,A037BE,75358C,D638A3,ce6bf1,bf39ef,bf39ef,da71ff,c037f1,c037f1,ebb4ff,f5d7ff,ffe5f7,e18bff,e18bff,ce6bf1,e8a7ff,1,3,160,1,0,0,0,2,1,160,250,220,310,275,425,220,310,-1,0,1621220400,0,10
1017,1981,3,13,1,27B798,FFFFFF,1C7763,C6314B,49CDB1,2EB396,2EB396,49CDB1,20AB8E,20AB8E,BFF2E6,D8F2EC,FFE0E7,49CDB1,49CDB1,3AC4A6,78DDC8,2,2,165,1,0,4,0,1,1,160,250,220,310,275,425,220,310,-1,0,1483196400,0,12
1018,1993,4,6,2,27A1B7,FFE672,0092CB,FAE053,54C5F1,34A5D1,34A5D1,54C5F1,34A5D1,34A5D1,CAECFA,E3F3FA,FCF7D9,5FCCF7,5FCCF7,3CB6E6,8EDEFD,2,3,165,0,0,0,0,1,1,160,250,220,310,275,425,220,310,-1,0,1483196400,0,12
1019,1997,5,15,1,F7FFAC,F5D74B,F37F96,F9F189,fc7d96,f75676,f75676,fd8ba1,f35b79,f35b79,ffd1da,ffe4e9,fff9d8,fd738f,fd738f,fd738f,ffafbf,1,1,143,1,1,3,0,1,1,110,220,130,250,275,425,130,250,-1,0,1632106800,0,10
1020,1995,4,26,1,BDE9C9,4CB9A8,65D283,F4DA40,5ECC7D,39A859,3DB35E,83EBA1,4BBD6C,4BBD6C,BAF5CB,D3F5DC,FAF7E6,6ADE8B,6ADE8B,5CD17D,AAFAC1,1,1,155,0,0,0,0,1,2,160,250,220,310,275,425,220,310,-1,0,1623294000,0,10
1021,1984,5,23,1,5DA9E2,AEFAFF,3290D6,C6DAE7,55a5e1,2d8ad0,2d8ad0,70b9ef,2d8ad0,2d8ad0,b4defe,d3ebfd,f0f9ff,55a5e1,55a5e1,55a5e1,a0d2f7,0,0,140,0,0,4,0,1,1,130,210,110,210,275,425,110,210,-1,0,1640142000,0,10
1022,1999,1,27,2,71CC99,109F42,20A95C,EE5340,48c67f,18aa58,18aa58,56df92,18aa58,18aa58,b7f6d3,def9ea,fcf6f5,3cc377,3cc377,3cc377,83e4ae,1,1,158,1,1,1,0,2,1,110,220,130,250,275,425,130,250,-1,0,1639450800,0,10
