id,body_motion,body_motion_type,body_motion_play_type,face_type,cheek,eye_default,ear_motion,tail_motion,tail_motion_type
0,idle01,2,2,FutuA,0,0,EarC,,0
1,idle01,2,2,WaraiA,0,0,EarC,,0
2,idle01,2,2,WaraiC,0,0,EarC,,0
3,idle01,2,2,IkariA,0,0,EarC,,0
4,idle01,2,2,IkariC,0,0,EarC,,0
5,idle01,2,2,KanasiA,0,0,EarC,,0
6,idle01,2,2,KanasiC,0,0,EarC,,0
7,idle01,2,2,KomariA,0,0,EarC,,0
8,idle01,2,2,KomariC,0,0,EarC,,0
9,idle01,2,2,DoyaA,0,0,EarC,,0
10,idle01,2,2,OdorokiA,0,0,EarC,,0
11,idle01,2,2,OdorokiC,0,0,EarC,,0
12,idle01,2,2,JitomeA,0,0,EarC,,0
13,idle01,2,2,DereA,0,0,EarC,,0
14,idle01,2,2,KusyoAL,0,0,EarC,,0
15,idle01,2,2,KusyoCL,0,0,EarC,,0
16,idle01,2,2,Base,0,0,EarC,,0
17,idle01,2,2,KusyoEL,0,0,EarC,,0
18,idle01,2,2,FutuC,0,0,EarC,,0
19,idle01,2,2,CloseA,0,0,EarC,,0
20,idle01,2,2,CloseC,0,0,EarC,,0
21,idle01,2,2,CloseE,0,0,EarC,,0
1000,idle02,2,2,FutuA,0,0,EarC,,0
1001,idle02,2,2,WaraiA,0,0,EarC,,0
1002,idle02,2,2,WaraiC,0,0,EarC,,0
1003,idle02,2,2,IkariA,0,0,EarC,,0
1004,idle02,2,2,IkariC,0,0,EarC,,0
1005,idle02,2,2,KanasiA,0,0,EarC,,0
1006,idle02,2,2,KanasiC,0,0,EarC,,0
1007,idle02,2,2,KomariA,0,0,EarC,,0
1008,idle02,2,2,KomariC,0,0,EarC,,0
1009,idle02,2,2,DoyaA,0,0,EarC,,0
1010,idle02,2,2,OdorokiA,0,0,EarC,,0
1011,idle02,2,2,OdorokiC,0,0,EarC,,0
1012,idle02,2,2,JitomeA,0,0,EarC,,0
1013,idle02,2,2,DereA,0,0,EarC,,0
1014,idle02,2,2,KusyoAL,0,0,EarC,,0
1015,idle02,2,2,KusyoCL,0,0,EarC,,0
1016,idle02,2,2,KusyoEL,0,0,EarC,,0
1017,idle02,2,2,FutuC,0,0,EarC,,0
1018,idle02,2,2,CloseA,0,0,EarC,,0
1019,idle02,2,2,CloseC,0,0,EarC,,0
1020,idle02,2,2,CloseE,0,0,EarC,,0
2000,mot01,2,2,FutuA,0,0,EarC,,0
2001,mot01,2,2,WaraiA,0,0,EarC,,0
2002,mot01,2,2,WaraiC,0,0,EarC,,0
2003,mot01,2,2,IkariA,0,0,EarC,,0
2004,mot01,2,2,IkariC,0,0,EarC,,0
2005,mot01,2,2,KanasiA,0,0,EarC,,0
2006,mot01,2,2,KanasiC,0,0,EarC,,0
2007,mot01,2,2,KomariA,0,0,EarC,,0
2008,mot01,2,2,KomariC,0,0,EarC,,0
2009,mot01,2,2,DoyaA,0,0,EarC,,0
2010,mot01,2,2,OdorokiA,0,0,EarC,,0
2011,mot01,2,2,OdorokiC,0,0,EarC,,0
2012,mot01,2,2,JitomeA,0,0,EarC,,0
2013,mot01,2,2,DereA,0,0,EarC,,0
2014,mot01,2,2,KusyoAL,0,0,EarC,,0
2015,mot01,2,2,KusyoCL,0,0,EarC,,0
2016,mot01,2,2,KusyoEL,0,0,EarC,,0
2017,mot01,2,2,FutuC,0,0,EarC,,0
2018,mot01,2,2,CloseA,0,0,EarC,,0
2019,mot01,2,2,CloseC,0,0,EarC,,0
2020,mot01,2,2,CloseE,0,0,EarC,,0
3000,mot02,2,2,FutuA,0,0,EarC,,0
3001,mot02,2,2,WaraiA,0,0,EarC,,0
3002,mot02,2,2,WaraiC,0,0,EarC,,0
3003,mot02,2,2,IkariA,0,0,EarC,,0
3004,mot02,2,2,IkariC,0,0,EarC,,0
3005,mot02,2,2,KanasiA,0,0,EarC,,0
3006,mot02,2,2,KanasiC,0,0,EarC,,0
3007,mot02,2,2,KomariA,0,0,EarC,,0
3008,mot02,2,2,KomariC,0,0,EarC,,0
3009,mot02,2,2,DoyaA,0,0,EarC,,0
3010,mot02,2,2,OdorokiA,0,0,EarC,,0
3011,mot02,2,2,OdorokiC,0,0,EarC,,0
3012,mot02,2,2,JitomeA,0,0,EarC,,0
3013,mot02,2,2,DereA,0,0,EarC,,0
3014,mot02,2,2,KusyoAL,0,0,EarC,,0
3015,mot02,2,2,KusyoCL,0,0,EarC,,0
3016,mot02,2,2,KusyoEL,0,0,EarC,,0
3017,mot02,2,2,FutuC,0,0,EarC,,0
3018,mot02,2,2,CloseA,0,0,EarC,,0
3019,mot02,2,2,CloseC,0,0,EarC,,0
3020,mot02,2,2,CloseE,0,0,EarC,,0
4000,mot03,2,2,FutuA,0,0,EarC,,0
4001,mot03,2,2,WaraiA,0,0,EarC,,0
4002,mot03,2,2,WaraiC,0,0,EarC,,0
4003,mot03,2,2,IkariA,0,0,EarC,,0
4004,mot03,2,2,IkariC,0,0,EarC,,0
4005,mot03,2,2,KanasiA,0,0,EarC,,0
4006,mot03,2,2,KanasiC,0,0,EarC,,0
4007,mot03,2,2,KomariA,0,0,EarC,,0
4008,mot03,2,2,KomariC,0,0,EarC,,0
4009,mot03,2,2,DoyaA,0,0,EarC,,0
4010,mot03,2,2,OdorokiA,0,0,EarC,,0
4011,mot03,2,2,OdorokiC,0,0,EarC,,0
4012,mot03,2,2,JitomeA,0,0,EarC,,0
4013,mot03,2,2,DereA,0,0,EarC,,0
4014,mot03,2,2,KusyoAL,0,0,EarC,,0
4015,mot03,2,2,KusyoCL,0,0,EarC,,0
4016,mot03,2,2,KusyoEL,0,0,EarC,,0
4017,mot03,2,2,FutuC,0,0,EarC,,0
4018,mot03,2,2,CloseA,0,0,EarC,,0
4019,mot03,2,2,CloseC,0,0,EarC,,0
4020,mot03,2,2,CloseE,0,0,EarC,,0
5000,mot04,2,2,FutuA,0,0,EarC,,0
5001,mot04,2,2,WaraiA,0,0,EarC,,0
5002,mot04,2,2,WaraiC,0,0,EarC,,0
5003,mot04,2,2,IkariA,0,0,EarC,,0
5004,mot04,2,2,IkariC,0,0,EarC,,0
5005,mot04,2,2,KanasiA,0,0,EarC,,0
5006,mot04,2,2,KanasiC,0,0,EarC,,0
5007,mot04,2,2,KomariA,0,0,EarC,,0
5008,mot04,2,2,KomariC,0,0,EarC,,0
5009,mot04,2,2,DoyaA,0,0,EarC,,0
5010,mot04,2,2,OdorokiA,0,0,EarC,,0
5011,mot04,2,2,OdorokiC,0,0,EarC,,0
5012,mot04,2,2,JitomeA,0,0,EarC,,0
5013,mot04,2,2,DereA,0,0,EarC,,0
5014,mot04,2,2,KusyoAL,0,0,EarC,,0
5015,mot04,2,2,KusyoCL,0,0,EarC,,0
5016,mot04,2,2,KusyoEL,0,0,EarC,,0
5017,mot04,2,2,FutuC,0,0,EarC,,0
5018,mot04,2,2,CloseA,0,0,EarC,,0
5019,mot04,2,2,CloseC,0,0,EarC,,0
5020,mot04,2,2,CloseE,0,0,EarC,,0
6000,mot05,2,2,FutuA,0,0,EarC,,0
6001,mot05,2,2,WaraiA,0,0,EarC,,0
6002,mot05,2,2,WaraiC,0,0,EarC,,0
6003,mot05,2,2,IkariA,0,0,EarC,,0
6004,mot05,2,2,IkariC,0,0,EarC,,0
6005,mot05,2,2,KanasiA,0,0,EarC,,0
6006,mot05,2,2,KanasiC,0,0,EarC,,0
6007,mot05,2,2,KomariA,0,0,EarC,,0
6008,mot05,2,2,KomariC,0,0,EarC,,0
6009,mot05,2,2,DoyaA,0,0,EarC,,0
6010,mot05,2,2,OdorokiA,0,0,EarC,,0
6011,mot05,2,2,OdorokiC,0,0,EarC,,0
6012,mot05,2,2,JitomeA,0,0,EarC,,0
6013,mot05,2,2,DereA,0,0,EarC,,0
6014,mot05,2,2,KusyoAL,0,0,EarC,,0
6015,mot05,2,2,KusyoCL,0,0,EarC,,0
6016,mot05,2,2,KusyoEL,0,0,EarC,,0
6017,mot05,2,2,FutuC,0,0,EarC,,0
6018,mot05,2,2,CloseA,0,0,EarC,,0
6019,mot05,2,2,CloseC,0,0,EarC,,0
6020,mot05,2,2,CloseE,0,0,EarC,,0
7000,mot06,2,2,FutuA,0,0,EarC,,0
7001,mot06,2,2,WaraiA,0,0,EarC,,0
7002,mot06,2,2,WaraiC,0,0,EarC,,0
7003,mot06,2,2,IkariA,0,0,EarC,,0
7004,mot06,2,2,IkariC,0,0,EarC,,0
7005,mot06,2,2,KanasiA,0,0,EarC,,0
7006,mot06,2,2,KanasiC,0,0,EarC,,0
7007,mot06,2,2,KomariA,0,0,EarC,,0
7008,mot06,2,2,KomariC,0,0,EarC,,0
7009,mot06,2,2,DoyaA,0,0,EarC,,0
7010,mot06,2,2,OdorokiA,0,0,EarC,,0
7011,mot06,2,2,OdorokiC,0,0,EarC,,0
7012,mot06,2,2,JitomeA,0,0,EarC,,0
7013,mot06,2,2,DereA,0,0,EarC,,0
7014,mot06,2,2,KusyoAL,0,0,EarC,,0
7015,mot06,2,2,KusyoCL,0,0,EarC,,0
7016,mot06,2,2,KusyoEL,0,0,EarC,,0
7017,mot06,2,2,FutuC,0,0,EarC,,0
