id,prop_id,prop_anim_id,layer_index,use_state_name,scene_type
1,100300,100300,0,S,0
2,100300,100300,0,loop,0
3,100300,100300,0,E,0
4,100300,100300,0,act01,0
5,100300,100300,0,act02,0
6,100301,100300,0,,0
7,100302,100300,0,,0
8,100303,100300,0,,0
9,100306,100300,0,,0
10,100300,100300,0,type00_bookA_S,1
11,100300,100300,0,type00_bookA_loop,1
12,100300,100300,0,type00_bookA_E,1
13,100300,100300,0,type00_bookB_S,1
14,100300,100300,0,type00_bookB_loop,1
15,100300,100300,0,type00_bookB_E,1
16,100301,100300,0,,1
17,100302,100300,0,,1
18,100303,100300,0,,1
19,100306,100300,0,,1
