odds_id,get_num,lottery_weight_1_1,lottery_weight_1_2,lottery_weight_2_1,lottery_weight_2_2,lottery_weight_3_1,lottery_weight_3_2,lottery_weight_extra_1,lottery_weight_extra_2
1,1,70,100,75,100,75,100,80,100
2,1,50,25,50,20,50,10,45,10
2,2,10,70,15,75,15,85,35,90
3,1,40,10,40,5,40,5,35,5
3,2,15,25,15,25,15,10,20,10
3,3,5,60,10,65,10,80,30,85
4,1,50,25,50,20,50,10,45,10
4,2,10,70,15,75,15,85,35,90
5,1,70,100,75,100,75,100,80,100
6,1,50,25,50,20,50,10,45,10
6,2,10,70,15,75,15,85,35,90
7,1,40,10,40,5,40,5,35,5
7,2,15,25,15,25,15,10,20,10
7,3,5,60,10,65,10,80,30,85
8,1,50,25,50,20,50,10,45,10
8,2,10,70,15,75,15,85,35,90
9,1,70,100,75,100,75,100,80,100
10,1,50,25,50,20,50,10,45,10
10,2,10,70,15,75,15,85,35,90
11,1,40,10,40,5,40,5,35,5
11,2,15,25,15,25,15,10,20,10
11,3,5,60,10,65,10,80,30,85
12,1,50,25,50,20,50,10,45,10
12,2,10,70,15,75,15,85,35,90
13,1,70,100,75,100,75,100,80,100
14,1,50,25,50,20,50,10,45,10
14,2,10,70,15,75,15,85,35,90
15,1,40,10,40,5,40,5,35,5
15,2,15,25,15,25,15,10,20,10
15,3,5,60,10,65,10,80,30,85
16,1,50,25,50,20,50,10,45,10
16,2,10,70,15,75,15,85,35,90
17,1,70,100,75,100,75,100,80,100
18,1,40,10,40,5,40,5,35,5
18,2,15,25,15,25,15,10,20,10
18,3,5,60,10,65,10,80,30,85
19,1,30,10,30,5,25,5,20,5
19,2,10,10,15,10,20,10,20,10
19,3,10,35,10,30,10,20,20,25
19,4,5,20,5,25,5,25,10,30
19,5,5,15,5,20,5,30,10,30
20,1,70,100,75,100,75,100,80,100
21,1,40,10,40,5,40,5,35,5
21,2,15,25,15,25,15,10,20,10
21,3,5,60,10,65,10,80,30,85
22,1,30,10,30,5,25,5,20,5
22,2,10,10,15,10,20,10,20,10
22,3,10,35,10,30,10,20,20,25
22,4,5,20,5,25,5,25,10,30
22,5,5,15,5,20,5,30,10,30
23,1,70,100,70,100,70,100,80,100
24,1,50,25,45,20,40,10,45,10
24,2,10,70,15,75,20,85,35,90
25,1,70,100,70,100,70,100,80,100
26,1,50,25,45,20,40,10,45,10
26,2,10,70,15,75,20,85,35,90
27,1,70,100,75,100,75,100,80,100
28,1,70,100,75,100,75,100,80,100
29,1,50,25,50,20,50,10,45,10
29,2,10,70,15,75,15,85,35,90
30,1,70,100,75,100,75,100,80,100
31,1,50,25,50,20,50,10,45,10
31,2,10,70,15,75,15,85,35,90
32,1,40,10,40,5,40,5,35,5
32,2,15,25,15,25,15,10,20,10
32,3,5,60,10,65,10,80,30,85
33,1,50,25,50,20,50,10,45,10
33,2,10,70,15,75,15,85,35,90
