id,required_point,rank_level,item_category_1,item_id_1,item_num_1
1,0,1,0,0,0
2,22000,2,90,43,50
3,30000,3,90,43,50
4,40000,4,90,43,50
5,50000,5,90,43,50
6,60000,6,90,43,50
7,72000,7,90,43,50
8,84000,8,90,43,50
9,96000,9,90,43,50
10,108000,10,90,43,50
11,120000,11,90,43,50
12,136000,12,90,43,50
13,152000,13,90,43,50
14,168000,14,90,43,50
15,184000,15,90,43,50
16,200000,16,90,43,50
17,216000,17,90,43,50
18,232000,18,90,43,50
19,248000,19,90,43,50
20,264000,20,90,43,50
21,284000,21,90,43,50
22,304000,22,90,43,50
23,324000,23,90,43,50
24,344000,24,90,43,50
25,364000,25,90,43,50
26,384000,26,90,43,50
27,404000,27,90,43,50
28,424000,28,90,43,50
29,444000,29,90,43,50
30,464000,30,90,43,50
31,484000,31,90,43,50
32,512000,32,90,43,50
33,540000,33,90,43,50
34,568000,34,90,43,50
35,596000,35,90,43,50
36,624000,36,90,43,50
37,652000,37,90,43,50
38,680000,38,90,43,50
39,708000,39,90,43,50
40,736000,40,90,43,50
41,764000,41,90,43,50
42,800000,42,90,43,50
43,836000,43,90,43,50
44,872000,44,90,43,50
45,908000,45,90,43,50
46,944000,46,90,43,50
47,980000,47,90,43,50
48,1016000,48,90,43,50
49,1052000,49,90,43,50
50,1088000,50,90,43,50
51,1124000,51,90,43,50
52,1170000,52,90,43,50
53,1216000,53,90,43,50
54,1262000,54,90,43,50
55,1308000,55,90,43,50
56,1354000,56,90,43,50
57,1400000,57,90,43,50
58,1446000,58,90,43,50
59,1492000,59,90,43,50
60,1538000,60,90,43,50
61,1584000,61,90,43,50
62,1640000,62,90,43,50
63,1696000,63,90,43,50
64,1752000,64,90,43,50
65,1808000,65,90,43,50
66,1864000,66,90,43,50
67,1920000,67,90,43,50
68,1976000,68,90,43,50
69,2032000,69,90,43,50
70,2088000,70,90,43,50
71,2144000,71,90,43,50
72,2212000,72,90,43,50
73,2280000,73,90,43,50
74,2348000,74,90,43,50
75,2416000,75,90,43,50
76,2484000,76,90,43,50
77,2552000,77,90,43,50
78,2620000,78,90,43,50
79,2688000,79,90,43,50
80,2756000,80,90,43,50
81,2824000,81,90,43,50
82,2904000,82,90,43,50
83,2984000,83,90,43,50
84,3064000,84,90,43,50
85,3144000,85,90,43,50
86,3224000,86,90,43,50
87,3304000,87,90,43,50
88,3384000,88,90,43,50
89,3464000,89,90,43,50
90,3544000,90,90,43,50
91,3624000,91,90,43,50
92,3716000,92,90,43,50
93,3808000,93,90,43,50
94,3900000,94,90,43,50
95,3992000,95,90,43,50
96,4084000,96,90,43,50
97,4176000,97,90,43,50
98,4268000,98,90,43,50
99,4360000,99,90,43,50
100,4452000,100,90,43,500
101,4544000,101,90,43,75
102,4640000,102,90,43,75
103,4736000,103,90,43,75
104,4832000,104,90,43,75
105,4928000,105,90,43,75
106,5024000,106,90,43,75
107,5120000,107,90,43,75
108,5216000,108,90,43,75
109,5312000,109,90,43,75
110,5408000,110,90,43,75
111,5504000,111,90,43,75
112,5604000,112,90,43,75
113,5704000,113,90,43,75
114,5804000,114,90,43,75
115,5904000,115,90,43,75
116,6004000,116,90,43,75
117,6104000,117,90,43,75
118,6204000,118,90,43,75
119,6304000,119,90,43,75
120,6404000,120,90,43,75
121,6504000,121,90,43,75
122,6612000,122,90,43,75
123,6720000,123,90,43,75
124,6828000,124,90,43,75
125,6936000,125,90,43,75
126,7044000,126,90,43,75
127,7152000,127,90,43,75
128,7260000,128,90,43,75
129,7368000,129,90,43,75
130,7476000,130,90,43,75
131,7584000,131,90,43,75
132,7700000,132,90,43,75
133,7816000,133,90,43,75
134,7932000,134,90,43,75
135,8048000,135,90,43,75
136,8164000,136,90,43,75
137,8280000,137,90,43,75
138,8396000,138,90,43,75
139,8512000,139,90,43,75
140,8628000,140,90,43,75
141,8744000,141,90,43,75
142,8868000,142,90,43,75
143,8992000,143,90,43,75
144,9116000,144,90,43,75
145,9240000,145,90,43,75
146,9364000,146,90,43,75
147,9488000,147,90,43,75
148,9612000,148,90,43,75
149,9736000,149,90,43,75
150,9860000,150,90,43,75
151,9984000,151,90,43,75
152,10118000,152,90,43,75
153,10252000,153,90,43,75
154,10386000,154,90,43,75
155,10520000,155,90,43,75
156,10654000,156,90,43,75
157,10788000,157,90,43,75
158,10922000,158,90,43,75
159,11056000,159,90,43,75
160,11190000,160,90,43,75
161,11324000,161,90,43,75
162,11468000,162,90,43,75
163,11612000,163,90,43,75
164,11756000,164,90,43,75
165,11900000,165,90,43,75
166,12044000,166,90,43,75
167,12188000,167,90,43,75
168,12332000,168,90,43,75
169,12476000,169,90,43,75
170,12620000,170,90,43,75
171,12764000,171,90,43,75
172,12918000,172,90,43,75
173,13072000,173,90,43,75
174,13226000,174,90,43,75
175,13380000,175,90,43,75
176,13534000,176,90,43,75
177,13688000,177,90,43,75
178,13842000,178,90,43,75
179,13996000,179,90,43,75
180,14150000,180,90,43,75
181,14304000,181,90,43,75
182,14468000,182,90,43,75
183,14632000,183,90,43,75
184,14796000,184,90,43,75
185,14960000,185,90,43,75
186,15124000,186,90,43,75
187,15288000,187,90,43,75
188,15452000,188,90,43,75
189,15616000,189,90,43,75
190,15780000,190,90,43,75
191,15944000,191,90,43,75
192,16118000,192,90,43,75
193,16292000,193,90,43,75
194,16466000,194,90,43,75
195,16640000,195,90,43,75
196,16814000,196,90,43,75
197,16988000,197,90,43,75
198,17162000,198,90,43,75
199,17336000,199,90,43,75
200,17510000,200,90,43,500
