id,condition_type,have_mini,general_purpose,costume_type,chara_id,use_gender,body_shape,body_type,body_type_sub,body_setting,use_race,use_live,use_live_theater,use_home,use_dress_change,is_wet,is_dirt,head_sub_id,use_season,dress_color_main,dress_color_sub,color_num,disp_order,tail_model_id,tail_model_sub_id,mini_mayu_shader_type,start_time,end_time
1,5,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,FFFFFF,FFFFFF,0,190,-1,0,-1,1483196400,2524575600
2,1,1,1,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,1,5E3FC5,AB8FFF,0,1,-1,0,-1,1483196400,2524575600
3,5,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,1,0,1,FFFFFF,FFFFFF,0,190,-1,0,-1,1483196400,2524575600
4,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,FFFFFF,FFFFFF,0,190,-1,0,-1,1483196400,2524575600
5,2,1,1,0,0,0,0,2,1,0,0,1,1,1,0,0,0,0,1,5E3FC5,AB8FFF,0,2,-1,0,-1,1483196400,2524575600
6,5,1,0,0,0,1,0,3,1,0,0,0,0,0,0,1,1,0,1,FFFFFF,FFFFFF,0,190,-1,0,-1,1483196400,2524575600
7,5,0,0,0,0,0,0,6,0,2,0,1,1,0,0,0,0,0,0,FFFFFF,FFFFFF,4,3,-1,0,-1,1483196400,2524575600
8,5,0,0,0,0,0,0,7,0,0,1,1,0,0,0,1,1,0,0,FFFFFF,FFFFFF,0,190,-1,0,-1,1483196400,2524575600
9,5,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,1,0,0,FFFFFF,FFFFFF,0,190,-1,0,-1,1483196400,2524575600
11,5,0,0,0,0,0,0,7,1,0,1,1,0,0,0,1,1,0,0,FFFFFF,FFFFFF,0,190,-1,0,-1,1483196400,2524575600
12,5,0,0,0,0,0,0,7,2,0,1,1,0,0,0,1,1,0,0,FFFFFF,FFFFFF,0,190,-1,0,-1,1483196400,2524575600
13,5,0,1,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,1,5E3FC5,AB8FFF,0,190,-1,0,-1,1483196400,2524575600
14,5,0,1,0,0,0,1,2,1,3,0,0,0,0,0,0,0,0,1,5E3FC5,AB8FFF,0,190,-1,0,-1,1483196400,2524575600
15,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,FFFFFF,FFFFFF,0,201,-1,-1,-1,1483196400,2524575600
16,5,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,FFFFFF,FFFFFF,0,201,-1,-1,-1,1483196400,2524575600
17,5,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,FFFFFF,FFFFFF,0,201,-1,-1,-1,1483196400,2524575600
18,5,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,FFFFFF,FFFFFF,0,201,-1,-1,-1,1483196400,2524575600
19,5,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,FFFFFF,FFFFFF,0,201,-1,-1,-1,1483196400,2524575600
20,5,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,FFFFFF,FFFFFF,0,201,-1,-1,-1,1483196400,2524575600
21,5,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,FFFFFF,FFFFFF,0,201,-1,-1,-1,1483196400,2524575600
22,5,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,FFFFFF,FFFFFF,0,201,-1,-1,-1,1483196400,2524575600
23,5,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,FFFFFF,FFFFFF,0,201,-1,-1,-1,1483196400,2524575600
24,5,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,0,0,0,FFFFFF,FFFFFF,0,201,-1,-1,-1,1483196400,2524575600
25,5,0,0,0,0,0,0,9,0,2,0,1,1,0,0,0,0,0,0,FFFFFF,FFFFFF,4,4,-1,0,-1,1661310000,2524575600
26,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,FFFFFF,FFFFFF,0,190,-1,0,-1,1483196400,2524575600
