id,command_name,base_state_name,layer_index,tail_motion_type,start_blend_time,end_blend_time
1,foot_hirakiN01,foot_hirakiN01_plus,2,0,2300,1600
2,foot_hirakiN01_mirror,foot_hirakiN01_plus_mirror,2,0,2300,1600
3,foot_hirakiS01,foot_hirakiS01_plus,2,0,2300,1600
4,foot_hirakiS01_mirror,foot_hirakiS01_plus_mirror,2,0,2300,1600
5,foot_hirakiX01,foot_hirakiX01_plus,2,0,2300,1600
6,foot_hirakiX01_mirror,foot_hirakiX01_plus_mirror,2,0,2300,1600
7,foot_sonobaN01,foot_sonobaN01_plus,2,0,2300,1600
8,foot_sonobaN01_mirror,foot_sonobaN01_plus_mirror,2,0,2300,1600
9,foot_toziN01,foot_toziN01_plus,2,0,2300,1600
10,foot_toziN01_mirror,foot_toziN01_plus_mirror,2,0,2300,1600
11,foot_toziS01,foot_toziS01_plus,2,0,2300,1600
12,foot_toziS01_mirror,foot_toziS01_plus_mirror,2,0,2300,1600
13,foot_toziX01,foot_toziX01_plus,2,0,2300,1600
14,foot_toziX01_mirror,foot_toziX01_plus_mirror,2,0,2300,1600
15,turn,turn_plus,2,0,2300,1600
16,turn_mirror,turn_plus_mirror,2,0,2300,1600
17,downA,downA_plus,2,0,2300,1600
18,downAE,downAE_plus,2,0,2300,1600
19,downB,downB_plus,2,0,2300,1600
20,downBE,downBE_plus,2,0,2300,1600
21,downleftA,downrightA_plus_mirror,2,0,2300,1600
22,downleftAE,downrightAE_plus_mirror,2,0,2300,1600
23,downleftB,downrightB_plus_mirror,2,0,2300,1600
24,downleftBE,downrightBE_plus_mirror,2,0,2300,1600
25,downrightA,downrightA_plus,2,0,2300,1600
26,downrightAE,downrightAE_plus,2,0,2300,1600
27,downrightB,downrightB_plus,2,0,2300,1600
28,downrightBE,downrightBE_plus,2,0,2300,1600
29,down_lookL,down_lookR_plus_mirror,2,0,2300,1600
30,down_lookLE,down_lookRE_plus_mirror,2,0,2300,1600
31,down_lookR,down_lookR_plus,2,0,2300,1600
32,down_lookRE,down_lookRE_plus,2,0,2300,1600
33,down_neckA,down_neckA_plus,2,0,2300,1600
34,down_neckA_mirror,down_neckA_plus_mirror,2,0,2300,1600
35,leftA,rightA_plus_mirror,2,0,5000,3000
36,leftAE,rightAE_plus_mirror,2,0,5000,3000
37,leftB,rightB_plus_mirror,2,0,2300,1600
38,leftBE,rightBE_plus_mirror,2,0,2300,1600
39,questionL,questionR_plus_mirror,2,0,2300,1600
40,questionLE,questionRE_plus_mirror,2,0,2300,1600
41,questionR,questionR_plus,2,0,2300,1600
42,questionRE,questionRE_plus,2,0,2300,1600
43,rightA,rightA_plus,2,0,5000,3000
44,rightAE,rightAE_plus,2,0,5000,3000
45,rightB,rightB_plus,2,0,2300,1600
46,rightBE,rightBE_plus,2,0,2300,1600
47,upA,upA_plus,2,0,2300,1600
48,upAE,upAE_plus,2,0,2300,1600
49,upB,upB_plus,2,0,2300,1600
50,upBE,upBE_plus,2,0,2300,1600
51,upleftA,uprightA_plus_mirror,2,0,2300,1600
52,upleftAE,uprightAE_plus_mirror,2,0,2300,1600
