gacha_id,card_id,card_type,pay_item_num,disp_order
30002,100101,1,200,1
30002,100201,1,200,2
30002,100301,1,200,3
30002,100401,1,200,4
30002,101301,1,200,5
30002,100601,1,200,6
30002,101701,1,200,7
30002,101001,1,200,8
30002,103001,1,200,9
30003,30001,2,200,1
30003,30002,2,200,2
30003,30003,2,200,3
30003,30004,2,200,4
30003,30005,2,200,5
30003,30006,2,200,6
30003,30007,2,200,7
30003,30008,2,200,8
30003,30009,2,200,9
30003,30010,2,200,10
30003,30011,2,200,11
30003,30012,2,200,12
30003,30013,2,200,13
30003,30014,2,200,14
30003,30015,2,200,15
30003,30016,2,200,16
30003,30017,2,200,17
30003,30018,2,200,18
30003,30020,2,200,19
30003,30021,2,200,20
30004,101501,1,200,1
30005,30024,2,200,1
30006,102601,1,200,1
30007,30026,2,200,1
30008,102301,1,200,1
30009,30027,2,200,1
30010,100302,1,200,1
30010,101302,1,200,2
30011,30028,2,200,1
30011,30029,2,200,2
30012,103801,1,200,1
30013,30031,2,200,1
30014,105001,1,200,1
30015,30032,2,200,1
30016,104601,1,200,1
30017,30016,2,200,1
30017,30021,2,200,2
30018,101601,1,200,1
30019,30038,2,200,1
30020,102402,1,200,1
30020,101802,1,200,2
30021,30039,2,200,1
30021,30040,2,200,2
30022,102001,1,200,1
30023,30002,2,200,1
30023,30009,2,200,2
30024,101201,1,200,1
30025,30042,2,200,1
30026,101402,1,200,1
30026,101102,1,200,2
30027,30055,2,200,1
30027,30056,2,200,2
30028,100501,1,200,1
30029,30048,2,200,1
30030,104001,1,200,1
30031,30005,2,200,2
30031,30018,2,200,1
30032,100102,1,200,1
30032,100402,1,200,2
30033,30045,2,200,1
30033,30046,2,200,2
30034,105801,1,200,1
30035,30001,2,200,1
30035,30003,2,200,2
30036,103701,1,200,1
30037,30054,2,200,1
30038,105602,1,200,1
30039,30034,2,200,1
30039,30036,2,200,2
30040,102801,1,200,1
30041,30015,2,200,1
30041,30020,2,200,2
30042,101901,1,200,1
30043,30063,2,200,1
30044,103002,1,200,1
30044,104502,1,200,1
30045,30064,2,200,1
30045,30065,2,200,2
30046,103901,1,200,1
30047,30032,2,200,1
30047,30008,2,200,2
30048,102501,1,200,1
30049,30043,2,200,1
30050,101702,1,200,1
30050,104002,1,200,1
30051,30068,2,200,1
30051,30069,2,200,2
30052,104801,1,200,1
30053,30028,2,200,1
30053,30007,2,200,2
30054,105901,1,200,1
30055,30071,2,200,1
30056,100602,1,200,1
30056,102302,1,200,2
30057,30072,2,200,1
30057,30073,2,200,2
30058,102201,1,200,1
30059,30075,2,200,1
30060,102101,1,200,1
30061,30054,2,200,1
30061,30024,2,200,2
30062,105202,1,200,1
30062,101502,1,200,2
30063,30077,2,200,1
30063,30078,2,200,2
30064,100101,1,200,1
30064,100201,1,200,2
30064,100301,1,200,3
30064,100401,1,200,4
30064,100601,1,200,5
30064,101001,1,200,6
30064,101301,1,200,7
30064,101501,1,200,8
30064,101701,1,200,9
30064,103001,1,200,10
30064,102601,1,200,11
30064,102301,1,200,12
30064,100302,1,200,13
30064,101302,1,200,14
30064,103801,1,200,15
30064,105001,1,200,16
30064,104601,1,200,17
30064,101601,1,200,18
30064,102402,1,200,19
30064,101802,1,200,20
30064,102001,1,200,21
30064,101201,1,200,22
30064,101402,1,200,23
30064,101102,1,200,24
30064,100501,1,200,25
30064,104001,1,200,26
30064,100102,1,200,27
30064,100402,1,200,28
30064,105801,1,200,29
30064,103701,1,200,30
30064,105602,1,200,31
30064,102801,1,200,32
30064,101901,1,200,33
30064,103002,1,200,34
30064,104502,1,200,35
30064,103901,1,200,36
30064,102501,1,200,37
30064,101702,1,200,38
30064,104002,1,200,39
30064,104801,1,200,40
30064,105901,1,200,41
30064,100602,1,200,42
30064,102302,1,200,43
30064,102201,1,200,44
30064,102101,1,200,45
30064,105202,1,200,46
30064,101502,1,200,47
30065,30080,2,200,1
30066,106901,1,200,1
30067,30036,2,200,1
30067,30021,2,200,2
30068,102602,1,200,1
30068,103702,1,200,2
30069,30082,2,200,1
30069,30083,2,200,2
30070,107101,1,200,1
30071,30085,2,200,1
30072,103301,1,200,1
30073,30010,2,200,1
30073,30039,2,200,1
30074,106801,1,200,1
30075,30086,2,200,1
30076,106701,1,200,1
