id,gacha_id,target_draw_type,start_date,end_date
1,30002,1,1614110400,1614653999
2,30005,1,1614654000,1615258799
3,30015,1,1619751600,1620269999
4,30016,1,1620270000,1621022399
5,30034,1,1629082800,1629428399
6,30036,1,1629428400,1629748799
7,30037,1,1629748800,1630292399
8,30039,1,1630292400,1630612799
9,30060,10,1640574000,1640919599
10,30063,10,1640919600,1641412799
11,30070,1,1644807600,1644980399
12,30072,1,1644980400,1645214399
13,30073,1,1645214400,1645671599
14,30074,10,1645671600,1646164799
15,30075,10,1646164800,1646621999
16,30077,10,1646622000,1646683199
17,30076,1,1646622000,1647572399
18,30079,1,1647572400,1648522799
19,30087,1,1651114800,1651953599
20,30086,1,1651953600,1652151599
21,30088,1,1652151600,1652817599
22,30106,1,1660618800,1660877999
23,30108,1,1660878000,1661309999
24,30111,10,1661310000,1661741999
25,30113,10,1661742000,1662148799
26,30139,10,1672282800,1672628399
27,30138,10,1672628400,1673121599
28,30148,1,1676343600,1676750399
29,30149,1,1676750400,1677207599
30,30151,10,1677207600,1678219199
