id,type_1,type_2,type_3,type_4
6,3,0,0,0
11,5,0,0,0
19,0,0,0,0
20,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
26,0,0,0,0
27,6,0,0,0
28,4,0,0,0
29,4,0,0,0
30,4,0,0,0
31,0,0,0,0
32,4,4,0,0
33,0,0,0,0
34,0,0,0,0
35,0,0,0,0
36,7,0,0,0
37,7,4,0,0
38,7,0,0,0
39,4,4,0,0
40,4,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,8,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,9,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0,0,0,0
60,0,0,0,0
61,0,0,0,0
62,0,0,0,0
63,3,0,0,0
65,10,0,0,0
66,10,0,0,0
67,10,0,0,0
1005,0,0,0,0
1006,2,0,0,0
1007,3,4,0,0
9000,0,0,0,0
9001,0,0,0,0
9002,0,0,0,0
9003,0,0,0,0
9004,0,0,0,0
9005,0,0,0,0
9006,0,0,0,0
9007,0,0,0,0
9209,0,0,0,0
9210,0,0,0,0
9211,0,0,0,0
9212,0,0,0,0
10001,0,0,0,0
10002,0,0,0,0
10003,0,0,0,0
10004,0,0,0,0
10005,0,0,0,0
10006,0,0,0,0
10007,0,0,0,0
10008,0,0,0,0
10009,0,0,0,0
10010,0,0,0,0
10011,0,0,0,0
10013,0,0,0,0
10014,0,0,0,0
10015,0,0,0,0
10016,0,0,0,0
10017,0,0,0,0
10018,0,0,0,0
10019,0,0,0,0
10020,0,0,0,0
10021,0,0,0,0
10022,0,0,0,0
10023,0,0,0,0
10024,0,0,0,0
10025,0,0,0,0
10026,0,0,0,0
10027,0,0,0,0
10028,0,0,0,0
10029,0,0,0,0
10030,0,0,0,0
99999,99,0,0,0
