id,pos_index,priority,height,width,posi_vertical,posi_horizontal,detail_value,url_value,url,start_date,end_date
1001,3,1,256,172,-11,85,1,0,0,1519884000,2524575600
1004,3,0,256,162,-11,85,1,1,https://anime-umamusume.jp/archive/1st/bd/,1519884000,1640962800
1005,1,1,123,256,-9,-80,1,1,https://www.youtube.com/channel/UCAWxPGGuIfWME2KTLUmSCHw,1519884000,2524575600
1006,2,0,256,181,3,3,1,1,https://anime-umamusume.jp/,1519884000,2524575600
1007,3,0,256,164,-11,85,1,1,https://anime-umamusume.jp/bd/,1519884000,2524575600
1009,2,0,256,192,3,3,1,1,https://www.youtube.com/playlist?list=PLzFNGS7Rcf-NQVVNdLtg51ol1Z6iNw8h8,1619924400,1621022399
1010,3,0,256,164,-11,85,1,1,https://anime-umamusume.jp/bd/,1624244400,2524575600
1011,3,0,256,164,-11,85,1,1,https://anime-umamusume.jp/bd/,1626750000,2524575600
1012,3,0,256,164,-11,85,1,1,https://anime-umamusume.jp/bd/,1628650800,1644375599
1013,2,0,177,179,-3,8,1,1,https://umamusume.jp/products/detail.php?id=products-036,1632106800,2524575600
1015,2,0,256,180,-11,1,1,1,https://topgunmovie.jp/,1650596400,1656557999
1017,2,0,256,210,-11,1,1,1,https://umamusume.jp/products/detail.php?id=products-038,1646017200,1656557999
1018,2,0,256,171,-11,3,1,0,,1643943600,1644461999
1019,2,0,256,171,-11,3,1,1,https://www.family.co.jp/campaign/spot/2202_umamusume_cp.html,1644462000,1646017199
1020,3,0,253,256,-11,80,1,1,https://umamusume.jp/products/detail.php?id=products-039,1644375600,1654829999
1021,1,0,256,256,-11,-77,1,1,https://umamusume.jp/anime/1st-anniversary/,1645671600,1648609199
1022,1,0,256,192,-11,-75,1,1,https://www.youtube.com/playlist?list=PLzFNGS7Rcf-MqoT8eyLenBxZtT25Axy3W,1651114800,1652817599
1023,1,0,135,256,-9,-77,1,1,https://umamusume.jp/mejiro/,1648785600,1649390399
1024,3,0,256,200,-11,80,1,1,https://umamusume.jp/products/detail.php?id=products-044,1654830000,1661309999
1025,2,1,256,192,-11,3,1,1,https://umamusume.jp/,1519884000,2524575600
1026,2,2,256,256,-11,3,1,1,https://umamusume.jp/products/detail.php?id=products-046,1656558000,1664506799
1027,3,4,256,172,-11,80,1,1,https://umamusume.cystore.com/,1661310000,1664593199
1028,2,0,256,256,-11,3,1,1,https://umamusume.jp/products/detail.php?id=products-047,1664420400,2524575600
1029,1,4,134,256,-9,-80,1,1,https://www.youtube.com/playlist?list=PLzFNGS7Rcf-NQHlzyeN_TL_xsvKThT7hz,1665975600,1680058799
1030,2,4,256,170,-11,3,1,1,https://number.bunshun.jp/list/magazine/number,1666234800,1667530799
1031,3,4,256,181,-11,80,1,1,https://www.tokyomegaillumi.jp/,1665802800,1673233199
1032,2,3,256,179,-11,3,1,1,https://umamusume.jp/event/sd4th/,1664506800,1668308399
1034,2,4,180,256,-11,5,1,1,https://www.umamusume-stage.com/,1670814000,1675004399
1036,2,4,186,256,-11,5,1,1,https://www.sej.co.jp/cmp/um2302.html?utm_source=cygames&utm_medium=referral&utm_campaign=um2302,1676343600,1678244399
