id,item_category,group_id,effect_type_1,effect_target_1,effect_value_1,effect_type_2,effect_target_2,effect_value_2,add_value_1,add_value_2,add_value_3,limit_num,sort,rare,enable_request,request_reward,item_place_id,sell_item_id,sell_price,start_date,end_date
1,11,0,0,0,0,0,0,0,0,0,0,99999,2,0,1,5,1,59,10,2017/1/1 0:00:00,2050/1/1 0:00:00
4,11,0,0,0,0,0,0,0,0,0,0,99999,4,0,1,5,4,59,10,2017/1/1 0:00:00,2050/1/1 0:00:00
7,11,0,0,0,0,0,0,0,0,0,0,99999,7,0,1,5,7,59,10,2017/1/1 0:00:00,2050/1/1 0:00:00
10,11,0,0,0,0,0,0,0,0,0,0,99999,10,0,1,5,10,59,10,2017/1/1 0:00:00,2050/1/1 0:00:00
13,11,0,0,0,0,0,0,0,0,0,0,99999,13,0,1,5,13,59,10,2017/1/1 0:00:00,2050/1/1 0:00:00
25,11,0,0,0,0,0,0,0,0,0,0,9999,16,0,0,0,0,0,0,2017/1/1 0:00:00,2050/1/1 0:00:00
26,11,0,0,0,0,0,0,0,0,0,0,9999,17,0,0,0,0,0,0,2017/1/1 0:00:00,2050/1/1 0:00:00
27,11,0,0,0,0,0,0,0,0,0,0,9999,18,0,0,0,0,0,0,2017/1/1 0:00:00,2050/1/1 0:00:00
28,11,0,0,0,0,0,0,0,0,0,0,9999,19,0,0,0,0,0,0,2017/1/1 0:00:00,2050/1/1 0:00:00
32,20,0,2,0,30,0,0,0,0,0,0,9999,23,0,0,0,0,0,0,2017/1/1 0:00:00,2050/1/1 0:00:00
34,21,0,2,0,1,0,0,0,0,0,0,9999,25,0,0,0,0,0,0,2017/1/1 0:00:00,2050/1/1 0:00:00
35,21,0,2,0,5,0,0,0,0,0,0,9999,26,0,0,0,0,0,0,2017/1/1 0:00:00,2050/1/1 0:00:00
41,40,0,1,0,0,0,0,0,0,1,1,9999,1,0,0,0,0,0,0,2017/1/1 0:00:00,2050/1/1 0:00:00
43,90,0,0,0,0,0,0,0,0,0,0,9999999,38,1,0,0,0,0,0,2017/1/1 0:00:00,2050/1/1 0:00:00
44,93,0,0,0,0,0,0,0,0,0,0,99999,1,1,0,0,44,0,0,2017/1/1 0:00:00,2050/1/1 0:00:00
45,94,0,0,0,0,0,0,0,0,0,0,999999,40,0,0,0,0,0,0,2023/2/24 12:00:00,2023/3/13 11:59:59
48,160,0,1,0,1,0,0,0,0,0,0,999999,4,0,0,0,0,0,0,2017/1/1 0:00:00,2050/1/1 0:00:00
49,160,0,1,0,2,0,0,0,0,0,0,999999,5,0,0,0,0,0,0,2017/1/1 0:00:00,2050/1/1 0:00:00
50,160,0,1,0,3,0,0,0,0,0,0,999999,6,0,0,0,0,0,0,2017/1/1 0:00:00,2050/1/1 0:00:00
57,99,0,0,0,0,0,0,0,0,0,0,999999,7,0,0,0,0,0,0,2017/1/1 0:00:00,2050/1/1 0:00:00
