id,item_exchange_top_id,disp_order,condition_type,condition_value_1,condition_value_2,change_item_limit_type,change_item_limit_num,change_item_category,change_item_id,change_item_num,additional_piece_num,pay_item_category,pay_item_id,pay_item_num,price_change_group_id,start_date,end_date
27,2000,202,0,0,0,1,40,98,132,1,0,103,98,1000,0,1496242800,2542978799
2001,2000,3,0,0,0,1,5,51,30019,1,0,103,98,10000,0,1496242800,2542978799
2002,2000,4,0,0,0,1,10,102,103001,5,0,103,98,2000,0,1496242800,1617220799
2003,2000,4,0,0,0,1,10,102,100701,5,0,103,98,2000,0,1619751600,1621022399
2004,2000,5,0,0,0,1,20,30,110,1000,0,103,98,1500,0,1619751600,1621022399
2005,2000,6,0,0,0,4,1,40,41,1,0,103,98,20000,0,1638327600,2542978799
2006,2000,7,0,0,0,4,1,40,111,1,0,103,98,20000,0,1638327600,2542978799
2007,2000,1,0,0,0,1,10,102,100701,5,0,103,98,2000,0,1651114800,1652817599
2008,2000,2,0,0,0,1,10,102,100101,5,0,103,98,3000,0,1651302000,1652817599
2009,2000,1,0,0,0,1,10,102,100602,5,0,103,98,3000,0,1669604400,1672282799
2010,2000,2,0,0,0,1,10,102,102302,5,0,103,98,3000,0,1669604400,1672282799
2201,2000,201,0,0,0,4,30,30,110,1000,0,103,98,1000,0,1496242800,2542978799
2301,2000,301,0,0,0,4,30,11,69,1,0,103,98,1000,0,1496242800,2542978799
2302,2000,302,0,0,0,4,30,11,70,1,0,103,98,1000,0,1496242800,2542978799
2303,2000,303,0,0,0,4,30,11,76,1,0,103,98,1000,0,1496242800,2542978799
2304,2000,304,0,0,0,4,30,11,78,1,0,103,98,1000,0,1496242800,2542978799
2305,2000,305,0,0,0,4,30,11,79,1,0,103,98,1000,0,1496242800,2542978799
2306,2000,306,0,0,0,4,30,11,85,1,0,103,98,1000,0,1496242800,2542978799
2307,2000,101,0,0,0,4,4,11,160,1,0,103,98,1000,0,1646622000,2542978799
2308,2000,102,0,0,0,4,2,11,161,1,0,103,98,2000,0,1646622000,2542978799
2309,2000,110,0,0,0,4,2,11,162,1,0,103,98,4000,0,1646622000,2542978799
2310,2000,111,0,0,0,4,1,11,163,1,0,103,98,6000,0,1646622000,2542978799
2311,2000,307,0,0,0,4,30,11,106,1,0,103,98,1000,0,1660878000,2542978799
2312,2000,308,0,0,0,4,30,11,177,1,0,103,98,1000,0,1660878000,2542978799
2313,2000,50,0,0,0,4,20,172,190,1,0,103,98,1000,0,1674788400,2542978799
3101,3000,100101,0,0,0,1,650,102,100101,1,0,97,115,1,10,1496242800,2542978799
3102,3000,100201,0,0,0,1,650,102,100201,1,0,97,115,1,10,1496242800,2542978799
3103,3000,100301,0,0,0,1,650,102,100301,1,0,97,115,1,10,1496242800,2542978799
3104,3000,100401,0,0,0,1,650,102,100401,1,0,97,115,1,10,1496242800,2542978799
3105,3000,100601,0,0,0,1,650,102,100601,1,0,97,115,1,10,1496242800,2542978799
3106,3000,101001,0,0,0,1,650,102,101001,1,0,97,115,1,10,1496242800,2542978799
3107,3000,101301,0,0,0,1,650,102,101301,1,0,97,115,1,10,1496242800,2542978799
3108,3000,101701,0,0,0,1,650,102,101701,1,0,97,115,1,10,1496242800,2542978799
3109,3000,103001,0,0,0,1,650,102,103001,1,0,97,115,1,10,1496242800,2542978799
3110,3000,101501,0,0,0,1,650,102,101501,1,0,97,115,1,10,1614654000,2542978799
3111,3000,102601,0,0,0,1,650,102,102601,1,0,97,115,1,10,1615258800,2542978799
3112,3000,102301,0,0,0,1,650,102,102301,1,0,97,115,1,10,1615258800,2542978799
3113,3000,100302,0,0,0,1,650,102,100302,1,0,97,115,1,10,1617073200,2542978799
3114,3000,101302,0,0,0,1,650,102,101302,1,0,97,115,1,10,1617073200,2542978799
3115,3000,103801,0,0,0,1,650,102,103801,1,0,97,115,1,10,1618455600,2542978799
