id,transition_type,transition_value
1,1,0
4,1,0
7,1,0
10,1,0
13,1,0
44,1,0
44,2,7000
44,2,7001
69,1,0
69,2,2000
70,1,0
70,2,2000
71,1,0
71,2,8000
72,1,0
72,2,4000
73,1,0
73,2,7002
74,1,0
74,2,4000
75,1,0
75,2,7002
76,1,0
76,2,2000
77,1,0
77,2,4000
78,1,0
78,2,2000
79,1,0
79,2,2000
80,1,0
80,2,8000
81,1,0
81,2,8000
82,1,0
82,2,4000
83,1,0
83,2,7000
83,2,7001
84,1,0
84,2,4000
85,1,0
85,2,2000
86,1,0
86,2,7002
87,1,0
87,2,7002
88,1,0
88,2,4000
89,1,0
89,2,7002
90,1,0
90,2,8000
91,1,0
91,2,7000
91,2,7001
92,1,0
92,2,7002
101,1,0
101,2,7002
102,1,0
102,2,8000
103,1,0
103,2,4000
104,1,0
104,2,7002
105,1,0
105,2,8000
106,1,0
106,2,2000
175,1,0
175,2,7002
176,1,0
177,1,0
177,2,2000
179,1,0
179,2,8000
144,2,10000
145,2,10001
156,2,11000
160,2,2000
161,2,2000
162,2,2000
163,2,2000
100101,2,3000
100201,2,3000
100301,2,3000
100401,2,3000
100601,2,3000
100701,2,3000
100801,2,3000
100901,2,3000
101001,2,3000
101101,2,3000
101301,2,3000
101401,2,3000
101701,2,3000
101801,2,3000
102401,2,3000
102701,2,3000
103001,2,3000
103201,2,3000
103501,2,3000
104101,2,3000
104501,2,3000
105201,2,3000
105601,2,3000
106001,2,3000
106101,2,3000
101501,2,3000
102601,2,3000
102301,2,3000
100302,2,3000
101302,2,3000
103801,2,3000
105001,2,3000
104601,2,3000
101601,2,3000
101802,2,3000
102402,2,3000
102001,2,3000
101201,2,3000
101102,2,3000
101402,2,3000
100501,2,3000
104001,2,3000
100102,2,3000
100402,2,3000
105801,2,3000
103701,2,3000
105602,2,3000
102801,2,3000
101901,2,3000
103002,2,3000
104502,2,3000
103901,2,3000
102501,2,3000
101702,2,3000
104002,2,3000
104801,2,3000
105901,2,3000
100602,2,3000
102302,2,3000
102201,2,3000
102101,2,3000
101502,2,3000
105202,2,3000
106901,2,3000
102602,2,3000
103702,2,3000
107101,2,3000
103301,2,3000
106201,2,3000
106801,2,3000
106701,2,3000
107401,2,3000
800000,5,0
100502,2,3000
102002,2,3000
105101,2,3000
107201,2,3000
106002,2,3000
106102,2,3000
103101,2,3000
106401,2,3000
102202,2,3000
103802,2,3000
103401,2,3000
104401,2,3000
101002,2,3000
105902,2,3000
103601,2,3000
100103,2,3000
100702,2,3000
101303,2,3000
105301,2,3000
109801,2,3000
104602,2,3000
103502,2,3000
105002,2,3000
102901,2,3000
104201,2,3000
101902,2,3000
105802,2,3000
108701,2,3000
107801,2,3000
102102,2,3000
103402,2,3000
104901,2,3000
110001,2,3000
100802,2,3000
100902,2,3000
104701,2,3000
101602,2,3000
106702,2,3000
106802,2,3000
109901,2,3000
106501,2,3000
102702,2,3000
103102,2,3000
104301,2,3000
106601,2,3000
105701,2,3000
