music_id,sort,condition_type,is_hidden,version_type,request_type,lamp_color,lamp_animation,name_texture_length,song_type,bgm_cue_name_short,bgm_cuesheet_name_short,bgm_cue_name_gamesize,bgm_cuesheet_name_gamesize,short_length,alter_jacket,start_date,end_date
1001,9,1,0,1,0,5,1,220,5,snd_bgm_CS1001_Short,snd_bgm_CS1001_Short,snd_bgm_CS1001_GameSize,snd_bgm_CS1001_GameSize,28000,0,1561960800,4102412399
1003,611,0,0,1,0,5,1,195,1,snd_bgm_CS1003_Short,snd_bgm_CS1003_Short,snd_bgm_CS1003_GameSize,snd_bgm_CS1003_GameSize,32500,0,1667962800,4102412399
1004,401,1,0,1,0,2,2,340,3,snd_bgm_CS1004_Short,snd_bgm_CS1004_Short,snd_bgm_CS1004_GameSize,snd_bgm_CS1004_GameSize,28500,0,1629774000,4102412399
1005,3,1,0,1,0,5,1,220,1,snd_bgm_CS1005_Short,snd_bgm_CS1005_Short,snd_bgm_CS1005_GameSize,snd_bgm_CS1005_GameSize,23000,0,1561960800,4102412399
1006,1,0,0,1,0,3,1,220,2,snd_bgm_CS1006_Short,snd_bgm_CS1006_Short,snd_bgm_CS1006_GameSize,snd_bgm_CS1006_GameSize,24000,0,1561960800,4102412399
1007,2,1,0,1,0,3,1,335,1,snd_bgm_CS1007_Short,snd_bgm_CS1007_Short,snd_bgm_CS1007_GameSize,snd_bgm_CS1007_GameSize,23000,0,1561960800,4102412399
1008,7,1,0,1,0,1,1,285,4,snd_bgm_CS1008_Short,snd_bgm_CS1008_Short,snd_bgm_CS1008_GameSize,snd_bgm_CS1008_GameSize,38700,0,1561960800,4102412399
1009,6,1,0,1,0,2,1,346,3,snd_bgm_CS1009_Short,snd_bgm_CS1009_Short,snd_bgm_CS1009_GameSize,snd_bgm_CS1009_GameSize,36500,0,1561960800,4102412399
1010,8,1,0,1,0,4,1,275,1,snd_bgm_CS1010_Short,snd_bgm_CS1010_Short,snd_bgm_CS1010_GameSize,snd_bgm_CS1010_GameSize,27000,1,1561960800,4102412399
1012,602,0,0,1,0,3,1,341,1,snd_bgm_CS1012_Short,snd_bgm_CS1012_Short,snd_bgm_CS1012_GameSize,snd_bgm_CS1012_GameSize,25100,0,1646622000,4102412399
1013,613,0,0,1,0,4,2,301,6,snd_bgm_CS1013_Short,snd_bgm_CS1013_Short,snd_bgm_CS1013_GameSize,snd_bgm_CS1013_GameSize,46000,0,1667962800,4102412399
1023,502,0,0,1,0,4,1,405,2,snd_bgm_CS1023_Short,snd_bgm_CS1023_Short,snd_bgm_CS1023_GameSize,snd_bgm_CS1023_GameSize,23500,0,1527832801,4102412400
