id,setlist_id,set_order,music_id,play_length
100101,1,1,1001,74000
100102,1,2,1035,88000
100103,1,3,1006,83000
100104,1,4,1003,93000
100105,1,5,1041,93000
100106,1,6,1005,87000
100107,1,7,1054,120500
100108,1,8,1062,72000
100109,1,9,1071,95000
100110,1,10,1070,89000
100111,1,11,1074,96000
100112,1,12,1047,86000
100113,1,13,1053,98000
100114,1,14,1004,98000
100115,1,15,1072,83000
100116,1,16,1027,82000
100117,1,17,1008,134000
100118,1,18,1079,97000
100119,1,19,1048,114500
100120,1,20,1066,87000
100121,1,21,1069,96000
100122,1,22,1065,104000
100123,1,23,1063,91000
100124,1,24,1009,103000
100125,1,25,1056,116000
100126,1,26,1068,113000
100127,1,27,1013,123000
100128,1,28,1010,90000
100129,1,29,1050,80000
100130,1,30,1036,102000
100131,1,31,1001,74000
100201,2,1,1001,74000
100202,2,2,1046,73000
100203,2,3,1034,82000
100204,2,4,1006,83000
100205,2,5,1061,68000
100206,2,6,1007,75000
100207,2,7,1057,96000
100208,2,8,1073,109000
100209,2,9,1077,84000
100210,2,10,1012,83000
100211,2,11,1028,80000
100212,2,12,1064,77000
100213,2,13,1053,98000
100214,2,14,1054,120500
100215,2,15,1008,134000
100216,2,16,1048,114500
100217,2,18,1078,83000
100218,2,19,1075,120000
100219,2,20,1067,95000
100220,2,21,1032,85000
100221,2,22,1043,99000
100222,2,23,1025,99000
100223,2,24,1026,102000
100224,2,25,1030,79000
100225,2,26,1031,120000
100226,2,27,1051,89000
100227,2,28,1076,81000
100228,2,29,1050,80000
100229,2,30,1036,102000
100230,2,31,1001,74000
100231,2,17,1024,109000
