id,setlist_music_id,performer
10010001,100101,1001
10010003,100101,1003
10010004,100101,1004
10010005,100101,1016
10010006,100101,1026
10010007,100101,1030
10010008,100101,1033
10010009,100101,1060
10010010,100101,1061
10010011,100101,1067
10010012,100101,1068
10010013,100101,1069
10010014,100101,1077
10010015,100101,1006
10010016,100101,1009
10010017,100101,1010
10010018,100101,1021
10010019,100101,1024
10010020,100101,1027
10010021,100101,1045
10010022,100101,1059
10010023,100101,1071
10010024,100101,1072
10010025,100101,1074
10010026,100101,1076
10010027,100101,1078
10010028,100101,1085
10010029,100101,1087
10010030,100101,1093
10010031,100102,1026
10010032,100102,1030
10010033,100102,1061
10010034,100102,1006
10010035,100102,1010
10010036,100102,1021
10010037,100102,1027
10010038,100102,1059
10010039,100102,1071
10010040,100102,1074
10010041,100103,1076
10010042,100103,1078
10010043,100103,1085
10010044,100103,1087
10010045,100103,1093
10010046,100103,1098
10010047,100104,1001
10010048,100104,1003
10010049,100104,1060
10010050,100104,1024
10010051,100104,1045
10010052,100104,1072
10010053,100105,1016
10010054,100105,1068
10010055,100105,1021
10010056,100106,1009
10010057,100106,1059
10010058,100106,1085
10010059,100106,1087
10010060,100107,1001
10010061,100107,1004
10010062,100107,1033
10010063,100107,1067
10010064,100107,1069
10010065,100107,1077
10010066,100107,1006
10010067,100107,1027
10010068,100107,1072
10010069,100108,1001
10010070,100108,1003
10010071,100108,1061
10010072,100109,1024
10010073,100110,1078
10010074,100111,1087
10010075,100112,1003
10010076,100112,1030
10010077,100112,1060
10010078,100112,1059
10010079,100112,1072
10010080,100113,1009
10010081,100113,1024
10010082,100113,1076
10010083,100113,1078
10010084,100113,1085
10010085,100113,1087
10010086,100113,1093
10010087,100113,1098
10010088,100114,1009
10010089,100114,1010
10010090,100114,1024
10010091,100114,1027
10010092,100114,1059
10010093,100114,1074
10010094,100115,1076
10010095,100116,1004
10010096,100116,1060
10010097,100116,1061
10010098,100116,1010
10010099,100116,1085
10010100,100116,1087
10010101,100116,1093
10010102,100116,1098
10010103,100117,1030
10010104,100117,1068
10010105,100117,1006
10010106,100117,1045
10010107,100117,1074
10010108,100117,1078
10010109,100118,1026
10010110,100118,1033
10010111,100118,1067
10010112,100118,1069
10010113,100118,1077
10010114,100118,1072
10010115,100119,1001
10010116,100119,1060
10010117,100119,1004
10010118,100119,1016
10010119,100119,1061
10010120,100119,1009
10010121,100119,1021
10010122,100120,1021
10010123,100121,1071
10010124,100122,1045
10010125,100123,1006
10010126,100124,1069
10010127,100124,1006
10010128,100124,1021
10010129,100124,1045
10010130,100124,1071
10010131,100124,1072
10010132,100125,1027
10010133,100125,1059
10010134,100125,1071
10010135,100125,1074
10010136,100126,1003
10010137,100127,1016
10010138,100127,1033
10010139,100127,1077
10010140,100127,1010
10010141,100127,1076
10010142,100127,1078
10010143,100127,1098
10010144,100128,1001
10010145,100128,1004
10010146,100128,1003
10010147,100128,1026
10010148,100128,1030
10010149,100128,1060
10010150,100128,1067
10010151,100128,1068
10010152,100128,1085
10010153,100128,1093
10010154,100129,1001
10010156,100129,1003
10010157,100129,1004
10010158,100129,1016
10010159,100129,1026
10010160,100129,1030
10010161,100129,1033
10010162,100129,1060
10010163,100129,1061
10010164,100129,1067
10010165,100129,1068
10010166,100129,1069
10010167,100129,1077
10010168,100129,1006
10010169,100129,1009
10010170,100129,1010
10010171,100129,1021
10010172,100129,1024
10010173,100129,1027
10010174,100129,1045
10010175,100129,1059
10010176,100129,1071
10010177,100129,1072
10010178,100129,1074
10010179,100129,1076
10010180,100129,1078
10010181,100129,1085
10010182,100129,1087
10010183,100129,1093
10010184,100129,1098
10010185,100130,1001
10010187,100130,1003
10010188,100130,1004
10010189,100130,1016
10010190,100130,1026
10010191,100130,1030
10010192,100130,1033
10010193,100130,1060
10010194,100130,1061
10010195,100130,1067
10010196,100130,1068
10010197,100130,1069
10010198,100130,1077
10010199,100130,1006
10010200,100130,1009
10010201,100130,1010
10010202,100130,1021
10010203,100130,1024
10010204,100130,1027
10010205,100130,1045
10010206,100130,1059
10010207,100130,1071
10010208,100130,1072
10010209,100130,1074
10010210,100130,1076
10010211,100130,1078
10010212,100130,1085
10010213,100130,1087
10010214,100130,1093
10010215,100130,1098
10010216,100131,1001
10010218,100131,1003
10010219,100131,1004
10010220,100131,1016
10010221,100131,1026
10010222,100131,1030
10010223,100131,1033
10010224,100131,1060
10010225,100131,1061
10010226,100131,1067
10010227,100131,1068
10010228,100131,1069
10010229,100131,1077
10010230,100131,1006
10010231,100131,1009
10010232,100131,1010
10010233,100131,1021
10010234,100131,1024
10010235,100131,1027
10010236,100131,1045
10010237,100131,1059
10010238,100131,1071
10010239,100131,1072
10010240,100131,1074
10010241,100131,1076
10010242,100131,1078
10010243,100131,1085
10010244,100131,1087
10010245,100131,1093
10010246,100131,1098
10010247,100101,1098
10020001,100201,1001
10020003,100201,1003
10020004,100201,1004
10020005,100201,1016
10020006,100201,1026
10020007,100201,1030
10020008,100201,1033
10020009,100201,1060
10020010,100201,1061
10020011,100201,1067
10020012,100201,1068
10020013,100201,1069
10020014,100201,1077
10020015,100201,1007
10020016,100201,1011
10020017,100201,1014
10020018,100201,1015
10020019,100201,1017
10020020,100201,1035
10020021,100201,1046
10020022,100201,1058
10020023,100201,1062
10020024,100201,1063
10020025,100201,1064
10020026,100201,1065
10020027,100201,1066
10020028,100201,1073
10020029,100201,1083
10020030,100201,1084
10020032,100202,1004
10020033,100202,1026
10020034,100202,1068
10020035,100202,1046
10020036,100202,1064
10020037,100202,1065
10020038,100202,1066
10020039,100203,1001
10020040,100203,1061
10020041,100203,1011
10020042,100203,1014
10020043,100203,1073
10020044,100204,1033
10020045,100204,1077
10020046,100204,1015
10020047,100205,1073
10020048,100205,1083
10020049,100205,1084
10020050,100206,1026
10020051,100206,1060
10020052,100206,1069
10020053,100206,1058
10020054,100206,1063
10020055,100207,1046
10020056,100208,1065
10020057,100209,1003
10020058,100209,1067
10020059,100209,1062
10020060,100209,1066
10020061,100209,1084
10020062,100210,1003
10020063,100210,1016
10020064,100210,1069
10020065,100210,1007
10020066,100210,1014
10020067,100210,1017
10020068,100210,1058
10020069,100210,1083
10020070,100211,1003
10020071,100211,1068
10020072,100211,1017
10020073,100211,1073
10020074,100212,1003
10020075,100212,1017
10020076,100213,1046
10020077,100213,1058
10020078,100213,1062
10020079,100213,1063
10020080,100213,1064
10020081,100213,1065
10020082,100213,1084
10020083,100214,1004
10020084,100214,1033
10020085,100214,1067
10020086,100214,1069
10020087,100214,1077
10020088,100214,1014
10020089,100214,1035
10020090,100214,1066
10020091,100214,1084
10020092,100215,1030
10020093,100215,1068
10020094,100215,1007
10020095,100215,1011
10020096,100215,1015
10020097,100215,1083
10020098,100216,1001
10020099,100216,1060
10020100,100216,1004
10020101,100216,1016
10020102,100216,1061
10020103,100216,1011
10020104,100216,1015
10020105,100217,1067
10020106,100217,1068
10020107,100218,1007
10020108,100218,1064
10020109,100218,1065
10020110,100219,1060
10020111,100219,1062
10020112,100219,1063
10020113,100219,1066
10020114,100220,1060
10020115,100220,1062
10020116,100220,1063
10020117,100220,1066
10020118,100221,1003
10020119,100221,1013
10020120,100222,1067
10020121,100222,1013
10020122,100223,1030
10020123,100224,1035
10020124,100225,1016
10020127,100226,1001
10020129,100226,1016
10020130,100226,1030
10020131,100226,1007
10020132,100226,1035
10020133,100226,1013
10020134,100227,1001
10020136,100227,1016
10020137,100227,1030
10020138,100227,1007
10020139,100227,1035
10020140,100227,1013
10020141,100228,1001
10020143,100228,1003
10020144,100228,1004
10020145,100228,1016
10020146,100228,1026
10020147,100228,1030
10020148,100228,1033
10020149,100228,1060
10020150,100228,1061
10020151,100228,1067
10020152,100228,1068
10020153,100228,1069
10020154,100228,1077
10020155,100228,1007
10020156,100228,1011
10020157,100228,1014
10020158,100228,1015
10020159,100228,1017
10020160,100228,1035
10020161,100228,1046
10020162,100228,1058
10020163,100228,1062
10020164,100228,1063
10020165,100228,1064
10020166,100228,1065
10020167,100228,1066
10020168,100228,1073
10020169,100228,1083
10020170,100228,1084
10020171,100229,1001
10020173,100229,1003
10020174,100229,1004
10020175,100229,1016
10020176,100229,1026
10020177,100229,1030
10020178,100229,1033
10020179,100229,1060
10020180,100229,1061
10020181,100229,1067
10020182,100229,1068
10020183,100229,1069
10020184,100229,1077
10020185,100229,1007
10020186,100229,1011
10020187,100229,1014
10020188,100229,1015
10020189,100229,1017
10020190,100229,1035
10020191,100229,1046
10020192,100229,1058
10020193,100229,1062
10020194,100229,1063
10020195,100229,1064
10020196,100229,1065
10020197,100229,1066
10020198,100229,1073
10020199,100229,1083
10020200,100229,1084
10020201,100229,1013
10020202,100230,1001
10020204,100230,1003
10020205,100230,1004
10020206,100230,1016
10020207,100230,1026
10020208,100230,1030
10020209,100230,1033
10020210,100230,1060
10020211,100230,1061
10020212,100230,1067
10020213,100230,1068
10020214,100230,1069
10020215,100230,1077
10020216,100230,1007
10020217,100230,1011
10020218,100230,1014
10020219,100230,1015
10020220,100230,1017
10020221,100230,1035
10020222,100230,1046
10020223,100230,1058
10020224,100230,1062
10020225,100230,1063
10020226,100230,1064
10020227,100230,1065
10020228,100230,1066
10020229,100230,1073
10020230,100230,1083
10020231,100230,1084
10020232,100230,1013
10020233,100231,1004
10020234,100231,1017
10020235,100231,1083
