id,group_id,legend_bg_id,legend_bg_sub_id,image_id,difficulty,race_instance_id,season,weather,ground,legend_race_boss_npc_id,cost_num,drop_reward_odds_id,victory_reward_odds_id,first_clear_item_category_1,first_clear_item_id_1,first_clear_item_num_1,first_clear_item_category_2,first_clear_item_id_2,first_clear_item_num_2,first_clear_item_category_3,first_clear_item_id_3,first_clear_item_num_3,pick_up_item_category_1,pick_up_item_id_1,pick_up_item_num_1,pick_up_item_category_2,pick_up_item_id_2,pick_up_item_num_2,pick_up_item_category_3,pick_up_item_id_3,pick_up_item_num_3,notice_date,start_date,end_date
2,101406,24,111,101401,3,592001,3,1,1,173,1,10001,10002,102,101401,10,90,43,150,91,59,10000,102,101401,1,0,0,0,0,0,0,,1615863600,1616097599
3,100106,24,111,100101,3,592002,3,1,1,175,1,10003,10004,102,100101,10,90,43,150,91,59,10000,102,100101,1,0,0,0,0,0,0,,1616097600,1616356799
4,101706,24,111,101701,3,592003,3,1,1,177,1,10005,10006,102,101701,10,90,43,150,91,59,10000,102,101701,1,0,0,0,0,0,0,,1616356800,1616615999
6,106106,77,111,106101,3,594501,3,1,1,109,1,10007,10008,102,106101,10,90,43,150,91,59,10000,102,106101,1,0,0,0,0,0,0,1618196400,1618455600,1618689599
7,101006,77,111,101001,3,594503,3,1,1,111,1,10009,10010,102,101001,10,90,43,150,91,59,10000,102,101001,1,0,0,0,0,0,0,1618689600,1618689600,1618948799
8,104106,77,111,104101,3,594502,3,1,1,113,1,10011,10012,102,104101,10,90,43,150,91,59,10000,102,104101,1,0,0,0,0,0,0,1618948800,1618948800,1619207999
9,103801,77,111,103801,3,594504,3,1,1,115,1,10013,10014,102,103801,10,90,43,150,91,59,10000,102,103801,1,0,0,0,0,0,0,1619208000,1619208000,1619467199
11,103506,24,111,103501,3,593501,1,1,1,117,1,10015,10016,102,103501,10,90,43,150,91,59,10000,102,103501,1,0,0,0,0,0,0,1621134000,1621393200,1621627199
12,100806,24,111,100801,3,593502,1,1,1,119,1,10017,10018,102,100801,10,90,43,150,91,59,10000,102,100801,1,0,0,0,0,0,0,1621627200,1621627200,1621886399
13,100306,24,111,100301,3,593503,1,1,1,179,1,10019,10020,102,100301,10,90,43,150,91,59,10000,102,100301,1,0,0,0,0,0,0,1621886400,1621886400,1622145599
15,102406,79,111,102401,3,593004,1,1,1,129,1,10027,10028,102,102401,10,90,43,150,91,59,10000,102,102401,1,0,0,0,0,0,0,1623639600,1623898800,1624132799
16,101306,79,111,101301,3,593002,1,1,1,125,1,10023,10024,102,101301,10,90,43,150,91,59,10000,102,101301,1,0,0,0,0,0,0,1624132800,1624132800,1624391999
17,101506,79,111,101501,3,593003,1,1,1,127,1,10025,10026,102,101501,10,90,43,150,91,59,10000,102,101501,1,0,0,0,0,0,0,1624392000,1624392000,1624651199
18,104506,79,111,104501,3,593001,1,1,1,181,1,10021,10022,102,104501,10,90,43,150,91,59,10000,102,104501,1,0,0,0,0,0,0,1624651200,1624651200,1624910399
19,102706,79,111,102701,3,594001,1,1,1,131,1,10029,10030,102,102701,10,90,43,150,91,59,10000,102,102701,1,0,0,0,0,0,0,1628650800,1628996400,1629230399
20,100206,78,111,100201,3,594002,1,1,1,133,1,10031,10032,102,100201,10,90,43,150,91,59,10000,102,100201,1,0,0,0,0,0,0,1629230400,1629230400,1629489599
21,100706,78,111,100701,3,594003,1,1,1,135,1,10033,10034,102,100701,10,90,43,150,91,59,10000,102,100701,1,0,0,0,0,0,0,1629489600,1629489600,1629748799
22,100406,78,111,100401,3,596001,4,1,1,137,1,10035,10036,102,100401,10,90,43,150,91,59,10000,102,100401,1,0,0,0,0,0,0,1631242800,1631588400,1631822399
23,100506,78,111,100501,3,596002,4,1,1,139,1,10037,10038,102,100501,10,90,43,150,91,59,10000,102,100501,1,0,0,0,0,0,0,1631822400,1631822400,1632081599
24,102606,78,111,102601,3,596003,4,1,1,141,1,10039,10040,102,102601,10,90,43,150,91,59,10000,102,102601,1,0,0,0,0,0,0,1632081600,1632081600,1632340799
26,105606,79,111,105601,3,595001,3,1,1,143,1,10041,10042,102,105601,10,90,43,150,91,59,10000,102,105601,1,0,0,0,0,0,0,1633921200,1634266800,1634500799
27,102006,79,111,102001,3,595002,3,1,1,145,1,10043,10044,102,102001,10,90,43,150,91,59,10000,102,102001,1,0,0,0,0,0,0,1634500800,1634500800,1634759999
28,102306,79,411,102301,3,595003,3,2,1,147,1,10045,10046,102,102301,10,90,43,150,91,59,10000,102,102301,1,0,0,0,0,0,0,1634760000,1634760000,1635019199
29,101806,24,111,101801,3,596501,3,1,1,149,1,10047,10048,102,101801,10,90,43,150,91,59,10000,102,101801,1,0,0,0,0,0,0,1636340400,1636686000,1636919999
30,103706,24,411,103701,3,596502,3,2,1,151,1,10049,10050,102,103701,10,90,43,150,91,59,10000,102,103701,1,0,0,0,0,0,0,1636920000,1636920000,1637179199
31,101906,24,411,101901,3,596503,3,3,3,153,1,10051,10052,102,101901,10,90,43,150,91,59,10000,102,101901,1,0,0,0,0,0,0,1637179200,1637179200,1637438399
33,106006,77,111,106001,3,595501,4,1,1,155,1,10053,10054,102,106001,10,90,43,150,91,59,10000,102,106001,1,0,0,0,0,0,0,1639796400,1640142000,1640375999
34,101106,77,411,101101,3,595502,4,2,1,157,1,10055,10056,102,101101,10,90,43,150,91,59,10000,102,101101,1,0,0,0,0,0,0,1640376000,1640376000,1640635199
35,100606,77,111,100601,3,595503,4,1,1,159,1,10057,10058,102,100601,10,90,43,150,91,59,10000,102,100601,1,0,0,0,0,0,0,1640635200,1640635200,1640894399
37,101206,78,111,101201,3,597001,4,1,1,161,1,10059,10060,102,101201,10,90,43,150,91,59,10000,102,101201,1,0,0,0,0,0,0,1643943600,1644289200,1644523199
38,105906,78,111,105901,3,597002,4,1,1,163,1,10061,10062,102,105901,10,90,43,150,91,59,10000,102,105901,1,0,0,0,0,0,0,1644523200,1644523200,1644782399
39,104006,78,411,104001,3,597003,4,2,1,165,1,10063,10064,102,104001,10,90,43,150,91,59,10000,102,104001,1,0,0,0,0,0,0,1644782400,1644782400,1645041599
41,103206,77,111,103201,3,597501,5,1,1,167,1,10065,10066,102,103201,10,90,43,150,91,59,10000,102,103201,1,0,0,0,0,0,0,1646276400,1646622000,1646855999
42,105006,77,111,105001,3,597502,5,1,1,169,1,10067,10068,102,105001,10,90,43,150,91,59,10000,102,105001,1,0,0,0,0,0,0,1646856000,1646856000,1647115199
43,101606,77,111,101601,3,597503,5,1,1,171,1,10069,10070,102,101601,10,90,43,150,91,59,10000,102,101601,1,0,0,0,0,0,0,1647115200,1647115200,1647374399
45,101307,79,111,101302,3,1200001,1,1,1,183,1,10071,10072,102,101302,10,90,43,150,91,59,10000,102,101302,1,0,0,0,0,0,0,1651806000,1652151600,1652385599
46,103006,79,111,103001,3,1200002,1,1,1,185,1,10073,10074,102,103001,10,90,43,150,91,59,10000,102,103001,1,0,0,0,0,0,0,1652385600,1652385600,1652644799
47,107406,79,411,107401,3,1200003,1,2,1,187,1,10075,10076,102,107401,10,90,43,150,91,59,10000,102,107401,1,0,0,0,0,0,0,1652644800,1652644800,1652903999
48,102106,78,111,102101,3,1200101,1,1,1,189,1,10077,10078,102,102101,10,90,43,150,91,59,10000,102,102101,1,0,0,0,0,0,0,1655694000,1656039600,1656273599
49,105806,78,111,105801,3,1200102,1,1,1,191,1,10079,10080,102,105801,10,90,43,150,91,59,10000,102,105801,1,0,0,0,0,0,0,1656273600,1656273600,1656532799
51,105106,77,411,105101,3,1200201,3,2,1,193,1,10081,10082,102,105101,10,90,43,150,91,59,10000,102,105101,1,0,0,0,0,0,0,1663556400,1663902000,1664135999
52,102806,77,111,102801,3,1200202,3,1,1,195,1,10083,10084,102,102801,10,90,43,150,91,59,10000,102,102801,1,0,0,0,0,0,0,1664136000,1664136000,1664395199
53,102206,79,111,102201,3,1200301,3,1,1,197,1,10085,10086,102,102201,10,90,43,150,91,59,10000,102,102201,1,0,0,0,0,0,0,1666148400,1666407600,1666641599
54,103906,79,111,103901,3,1200302,3,1,1,199,1,10087,10088,102,103901,10,90,43,150,91,59,10000,102,103901,1,0,0,0,0,0,0,1666641600,1666641600,1666900799
55,106406,77,111,106401,3,1200401,4,1,1,201,1,10089,10090,102,106401,10,90,43,150,91,59,10000,102,106401,1,0,0,0,0,0,0,1671678000,1671937200,1672171199
56,100906,77,111,100901,3,1200402,4,1,1,203,1,10091,10092,102,100901,10,90,43,150,91,59,10000,102,100901,1,0,0,0,0,0,0,1672171200,1672171200,1672430399
