id,chara_id,race_dress_id,nickname_id,card_rarity_data_id,post,speed,stamina,pow,guts,wiz,proper_distance_short,proper_distance_mile,proper_distance_middle,proper_distance_long,proper_running_style_nige,proper_running_style_senko,proper_running_style_sashi,proper_running_style_oikomi,proper_ground_turf,proper_ground_dirt,skill_set_id
103,1014,101401,68,10140103,0,641,610,604,647,622,6,7,7,4,3,7,6,5,7,7,32101402
105,1001,100101,66,10010103,0,643,670,620,544,591,2,5,7,7,1,6,7,5,7,1,32100102
107,1017,101701,78,10170103,0,638,617,608,557,660,3,6,7,7,6,7,6,5,7,1,32101702
109,1061,106101,126,10610103,2,847,386,955,463,728,7,6,6,5,1,6,7,4,7,1,32106102
111,1010,101001,83,10100103,0,849,419,826,430,691,7,7,3,1,5,7,3,1,7,5,32101002
113,1041,104101,71,10410103,0,753,415,744,451,707,7,6,1,1,6,7,2,1,7,1,32104102
115,1038,103801,89,10380103,0,772,367,699,551,634,7,7,3,1,5,7,3,1,7,5,32103802
117,1035,103501,47,10350103,2,651,633,807,666,732,1,2,7,6,1,6,7,1,7,1,32103502
119,1008,100801,74,10080103,2,673,577,853,502,713,2,7,7,2,5,6,7,2,7,1,32100802
121,1003,100301,76,10030103,0,738,606,726,582,726,2,3,7,6,1,7,4,2,7,1,32100302
123,1045,104501,72,10450103,0,530,608,501,580,515,1,1,7,7,4,7,6,1,7,1,32104502
125,1013,101301,127,10130103,0,601,727,518,522,476,1,2,7,7,6,7,4,2,7,1,32101302
127,1015,101501,86,10150103,0,621,763,578,529,454,1,3,7,7,5,7,6,1,7,1,32101502
129,1024,102401,70,10240103,2,555,769,617,569,462,4,4,7,7,6,6,6,7,7,1,32102402
131,1027,102701,82,10270103,2,662,672,640,621,640,3,5,7,6,2,6,7,2,7,1,32102702
133,1002,100201,67,10020103,0,655,543,699,629,692,4,7,7,3,7,5,3,1,7,1,32100201
135,1007,100701,77,10070103,2,632,664,624,638,656,1,5,7,7,1,6,6,7,7,1,32100702
137,1004,100401,69,10040103,0,754,530,718,512,650,6,7,6,5,7,3,1,1,7,4,32100401
139,1005,100501,80,10050103,0,781,538,728,582,672,6,7,6,3,5,7,5,1,7,2,32100501
141,1026,102601,87,10260103,0,751,556,713,532,713,5,7,7,6,7,3,1,1,7,1,32102602
143,1056,105601,79,10560103,2,596,794,616,496,430,2,5,7,7,1,6,7,2,7,2,32105601
145,1020,102001,164,10200103,0,605,759,575,365,532,1,5,7,7,7,6,4,3,7,1,32102001
147,1023,102301,151,10230103,0,608,760,582,442,440,2,5,7,7,3,7,6,3,7,2,32102303
149,1018,101801,43,10180103,0,664,594,678,697,739,5,6,7,3,4,7,6,1,7,1,32101803
151,1037,103701,46,10370103,2,706,619,703,596,683,1,2,7,7,1,6,7,5,7,1,32103701
153,1019,101901,167,10190103,2,748,549,650,619,708,2,7,7,1,1,6,7,6,7,7,32101901
155,1060,106001,81,10600103,2,728,624,594,602,661,1,5,7,7,2,6,7,4,7,7,32106001
157,1011,101101,73,10110103,2,680,575,632,672,691,1,7,7,7,2,6,7,2,7,1,32101102
159,1006,100601,84,10060103,0,613,648,597,713,721,6,7,7,7,2,7,6,4,7,7,32100602
161,1012,101201,85,10120103,2,554,726,694,691,578,6,7,7,5,1,6,5,7,7,7,32101202
163,1059,105901,171,10590103,2,618,740,602,724,551,2,7,7,3,5,6,7,1,7,1,32105902
165,1040,104001,44,10400103,2,594,732,567,707,610,2,7,6,6,2,6,7,2,7,4,32104002
167,1032,103201,48,10320103,0,840,578,720,518,610,1,4,7,6,3,7,6,2,7,1,32103201
169,1050,105001,160,10500103,2,728,717,658,666,602,5,6,7,5,1,1,6,7,7,1,32105003
171,1016,101601,161,10160103,2,702,729,672,613,605,6,6,7,7,4,7,6,2,7,1,32101603
173,1014,101401,68,10140103,0,603,544,580,718,712,6,7,7,6,3,7,6,5,7,7,32101404
175,1001,100101,66,10010103,2,615,558,626,639,729,2,5,7,7,1,6,7,5,7,1,32100106
177,1017,101701,78,10170103,0,701,540,642,581,700,3,6,7,7,6,7,6,5,7,1,32101703
179,1003,100301,76,10030103,0,610,576,703,609,727,2,3,7,6,1,7,4,2,7,1,32100305
181,1045,104501,72,10450103,0,400,713,380,643,750,1,1,7,7,4,7,6,1,7,1,32104503
183,1013,101302,127,10130203,0,686,715,593,484,601,1,2,7,7,6,7,4,2,7,3,32101303
185,1030,103001,45,10300103,0,676,692,601,538,645,3,5,7,7,6,7,5,1,7,1,32103003
187,1074,107401,186,10740103,2,578,655,571,487,624,2,5,7,7,1,4,6,7,7,1,32107401
189,1021,102101,173,10210103,2,710,690,723,641,547,1,3,7,7,1,6,7,6,7,2,32102116
191,1058,105801,165,10580103,0,736,776,703,641,602,1,2,7,7,2,7,6,3,7,3,32105816
193,1051,105101,223,10510103,2,689,496,666,675,638,7,7,3,1,2,6,7,1,7,2,32105116
195,1028,102801,166,10280103,0,663,469,745,639,673,7,6,2,1,6,7,5,1,7,2,32102816
197,1022,102201,172,10220103,0,713,493,690,699,661,2,7,7,5,4,7,3,5,7,1,32102216
199,1039,103901,168,10390103,2,725,513,708,699,647,4,6,7,2,1,5,7,4,7,1,32103916
201,1064,106401,226,10640103,0,870,741,714,616,619,1,2,7,7,7,3,2,1,7,1,32106416
203,1009,100901,75,10090103,0,780,696,763,597,609,2,7,7,7,7,6,3,1,7,1,32100916
