id,npc_group_id,chara_id,mob_id,race_dress_id,race_instance_id,speed,stamina,pow,guts,wiz,proper_distance_short,proper_distance_mile,proper_distance_middle,proper_distance_long,proper_running_style_nige,proper_running_style_senko,proper_running_style_sashi,proper_running_style_oikomi,proper_ground_turf,proper_ground_dirt,skill_set_id
101,20,1,8332,8,0,452,265,284,483,382,1,1,6,6,6,5,4,3,6,1,32833201
102,20,1,8335,12,0,433,305,360,530,543,1,1,6,6,5,6,5,4,6,1,32833501
103,20,1018,0,101801,0,531,502,571,566,606,5,6,7,3,4,7,6,1,7,1,32101801
104,20,1,8341,8,0,328,385,508,405,352,1,1,6,6,5,6,5,4,6,1,32834101
105,20,1,8347,12,0,367,508,362,512,400,1,1,6,6,5,6,5,4,6,1,32834701
106,20,1,8350,11,0,489,650,439,312,463,1,1,6,6,5,6,5,4,6,1,32835001
107,20,1,8353,12,0,427,394,583,432,392,1,1,6,6,4,5,6,5,6,1,32835301
108,20,1,8356,11,0,258,389,454,353,445,1,1,6,6,4,5,6,5,6,1,32835601
109,20,1,8359,12,0,342,462,342,290,378,1,1,6,6,4,5,6,5,6,1,32835901
110,20,1,8362,11,0,455,432,598,369,437,1,1,6,6,4,5,6,5,6,1,32836201
111,20,1001,0,100101,0,568,596,526,473,510,2,5,7,7,1,6,7,5,7,1,32100101
112,20,1,8368,11,0,347,302,349,401,445,1,1,6,6,3,4,5,6,6,1,32836801
113,20,1,8380,8,0,372,515,389,340,290,1,1,6,6,3,4,5,6,6,1,32838001
114,20,1,8371,8,0,300,536,433,389,256,1,1,6,6,3,4,5,6,6,1,32837101
115,20,1,8374,11,0,447,383,415,198,417,1,1,6,6,3,4,5,6,6,1,32837401
116,20,1,8355,8,0,422,489,361,254,382,1,1,6,6,4,5,6,5,6,1,32835501
117,20,1,8358,11,0,401,317,422,420,326,1,1,6,6,4,5,6,5,6,1,32835801
201,21,1,8332,8,0,452,265,284,483,382,1,1,6,6,6,5,4,3,6,1,32833201
202,21,1,8335,12,0,433,305,360,530,543,1,1,6,6,5,6,5,4,6,1,32833501
203,21,1,8338,11,0,383,406,376,419,325,1,1,6,6,5,6,5,4,6,1,32833801
204,21,1,8341,8,0,328,385,508,405,352,1,1,6,6,5,6,5,4,6,1,32834101
205,21,1,8347,12,0,367,508,362,512,400,1,1,6,6,5,6,5,4,6,1,32834701
206,21,1,8350,11,0,489,650,439,312,463,1,1,6,6,5,6,5,4,6,1,32835001
207,21,1,8353,12,0,427,394,583,432,392,1,1,6,6,4,5,6,5,6,1,32835301
208,21,1,8356,11,0,258,389,454,353,445,1,1,6,6,4,5,6,5,6,1,32835601
209,21,1,8359,12,0,342,462,342,290,378,1,1,6,6,4,5,6,5,6,1,32835901
210,21,1,8362,11,0,455,432,598,369,437,1,1,6,6,4,5,6,5,6,1,32836201
211,21,1,8365,12,0,326,407,515,254,428,1,1,6,6,4,5,6,5,6,1,32836501
212,21,1,8368,11,0,347,302,349,401,445,1,1,6,6,3,4,5,6,6,1,32836801
213,21,1,8371,8,0,300,536,433,389,256,1,1,6,6,3,4,5,6,6,1,32837101
214,21,1,8374,11,0,447,383,415,198,417,1,1,6,6,3,4,5,6,6,1,32837401
215,21,1,8355,8,0,422,489,361,254,382,1,1,6,6,4,5,6,5,6,1,32835501
216,21,1,8358,11,0,401,317,422,420,326,1,1,6,6,4,5,6,5,6,1,32835801
301,22,1,8332,8,0,452,265,284,483,382,1,1,6,6,6,5,4,3,6,1,32833201
302,22,1,8335,12,0,433,305,360,530,543,1,1,6,6,5,6,5,4,6,1,32833501
303,22,1,8338,11,0,383,406,376,419,325,1,1,6,6,5,6,5,4,6,1,32833801
304,22,1,8341,8,0,328,385,508,405,352,1,1,6,6,5,6,5,4,6,1,32834101
305,22,1,8347,12,0,367,508,362,512,400,1,1,6,6,5,6,5,4,6,1,32834701
306,22,1,8350,11,0,489,650,439,312,463,1,1,6,6,5,6,5,4,6,1,32835001
307,22,1,8353,12,0,427,394,583,432,392,1,1,6,6,4,5,6,5,6,1,32835301
308,22,1,8356,11,0,258,389,454,353,445,1,1,6,6,4,5,6,5,6,1,32835601
309,22,1,8359,12,0,342,462,342,290,378,1,1,6,6,4,5,6,5,6,1,32835901
310,22,1,8362,11,0,455,432,598,369,437,1,1,6,6,4,5,6,5,6,1,32836201
311,22,1,8365,12,0,326,407,515,254,428,1,1,6,6,4,5,6,5,6,1,32836501
312,22,1,8368,11,0,347,302,349,401,445,1,1,6,6,3,4,5,6,6,1,32836801
313,22,1,8371,8,0,300,536,433,389,256,1,1,6,6,3,4,5,6,6,1,32837101
314,22,1,8374,11,0,447,383,415,198,417,1,1,6,6,3,4,5,6,6,1,32837401
315,22,1,8355,8,0,422,489,361,254,382,1,1,6,6,4,5,6,5,6,1,32835501
316,22,1,8358,11,0,401,317,422,420,326,1,1,6,6,4,5,6,5,6,1,32835801
401,23,1,8001,8,0,526,290,446,366,608,6,5,1,1,6,5,4,3,6,1,32800101
402,23,1,8004,8,0,376,130,435,528,730,6,5,1,1,6,5,4,3,6,1,32800401
403,23,1,8007,11,0,429,290,446,366,608,6,5,1,1,5,6,5,4,6,1,32800701
404,23,1,8010,11,0,610,407,310,330,408,6,5,1,1,5,6,5,4,6,1,32801001
405,23,1,8013,8,0,410,245,325,443,613,6,5,1,1,5,6,5,4,6,1,32801301
406,23,1,8022,11,0,418,157,419,529,536,6,5,2,1,4,5,6,5,6,1,32802201
407,23,1,8025,11,0,543,204,446,341,594,6,5,2,1,4,5,6,5,6,1,32802501
408,23,1,8028,8,0,495,187,405,542,460,6,5,2,1,4,5,6,5,6,1,32802801
409,23,1,8040,12,0,496,269,305,498,635,6,5,2,1,3,4,5,6,6,1,32804001
410,23,1,8385,8,0,455,169,426,520,511,6,5,1,1,6,5,4,3,6,1,32838501
