id,group_id,bracket_number,chara_id,mob_id,is_player,dress_id,chara_color_type,motivation,running_style,speed,stamina,pow,guts,wiz,proper_distance_short,proper_distance_mile,proper_distance_middle,proper_distance_long,proper_running_style_nige,proper_running_style_senko,proper_running_style_sashi,proper_running_style_oikomi,proper_ground_turf,proper_ground_dirt,skill_set_id,show_skill_type
71,9,1,1,8000,0,1,0,5,1,171,176,156,185,153,2,4,5,6,6,5,4,3,6,1,8064,0
72,9,2,1,8001,0,1,0,2,2,188,185,182,167,167,2,4,5,6,5,6,5,4,6,1,8067,0
73,9,3,1,8002,0,1,0,4,3,165,168,188,166,175,2,4,5,6,4,5,6,5,6,1,8072,0
74,9,4,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,9,5,1,8003,0,1,0,4,4,155,176,168,190,166,2,4,5,6,2,4,5,6,6,3,8076,0
76,9,6,1,8004,0,1,0,3,1,189,165,150,176,159,2,3,5,6,6,5,4,3,6,1,8062,0
77,9,7,1,8005,0,1,0,4,2,172,190,167,181,179,2,4,5,6,5,6,5,4,6,2,8067,0
78,9,8,1,8006,0,1,0,2,3,164,180,166,158,156,2,4,5,6,4,5,6,1,6,1,8072,0
79,9,9,1,8007,0,1,0,2,4,163,181,153,190,185,1,3,5,6,3,4,5,6,6,1,8079,0
80,10,1,1,8073,0,1,0,4,4,225,208,222,214,209,3,5,6,1,2,4,5,6,6,1,8059,0
81,10,2,1,8074,0,1,0,4,2,222,217,227,231,230,2,3,6,1,5,6,5,4,6,1,8047,0
82,10,3,1,8075,0,1,0,4,3,217,240,212,220,206,4,5,6,2,4,5,6,2,6,2,8053,0
83,10,4,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,10,5,1,8076,0,1,0,3,1,212,224,221,212,223,1,2,6,1,6,5,4,3,6,1,8042,0
85,10,6,1,8077,0,1,0,1,2,219,211,208,216,220,2,3,6,1,5,6,5,4,6,1,8049,0
86,10,7,1,8078,0,1,0,5,3,238,210,210,230,215,2,2,6,1,4,5,6,2,6,1,8054,0
87,11,1,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,11,2,1006,0,0,100601,0,5,2,371,352,340,368,343,6,7,7,6,2,7,7,4,7,6,100002,0
89,11,3,1007,0,0,100701,0,3,4,120,120,161,115,140,1,5,7,7,1,6,6,7,7,1,100001,0
90,11,4,1,8071,0,11,0,3,3,295,313,327,308,295,1,3,5,7,2,5,7,4,7,3,8071,0
91,11,5,1,8072,0,8,0,2,1,322,294,294,316,299,3,5,6,7,7,6,5,4,7,3,8061,0
