id,race_instance_id,group_id,race_condition_id,clear_rank,bonus_group_id,gimmick_type,gimmick_trigger_skill,gimmick_match_race_asset,gimmick_unmatch_race_asset,bonus_chara_1,bonus_chara_2,bonus_chara_3
1,200901,9,1,1,1,0,0,0,0,1013,0,0
2,202701,10,13,1,1,0,0,0,0,1013,0,0
3,700301,11,19,1,1,0,0,0,0,1013,0,0
4,700401,12,1,1,1,0,0,0,0,1013,0,0
5,701301,13,4,2,2,0,0,0,0,1030,0,0
6,700101,14,13,1,2,0,0,0,0,1030,0,0
7,201101,15,1,1,2,0,0,0,0,1030,0,0
8,700101,16,4,1,2,0,0,0,0,1030,0,0
9,700501,17,14,1,3,0,0,0,0,1035,0,0
10,451701,18,21,1,3,0,0,0,0,1035,0,0
11,700701,19,6,3,3,0,0,0,0,1035,0,0
12,700801,20,1,1,3,0,0,0,0,1035,0,0
13,700901,21,19,1,4,0,0,0,0,0,0,0
14,701001,22,16,1,5,0,0,0,0,0,0,0
15,701101,23,7,3,6,0,0,0,0,0,0,0
16,701201,24,19,1,7,0,0,0,0,0,0,0
17,404501,25,1,1,8,0,0,0,0,0,0,0
18,701401,26,19,2,9,0,0,0,0,0,0,0
19,701501,27,17,5,10,0,0,0,0,0,0,0
20,701601,28,13,1,11,0,0,0,0,0,0,0
21,200601,29,1,1,12,0,0,0,0,0,0,0
22,701701,30,13,3,13,0,0,0,0,0,0,0
23,200901,31,5,1,14,0,0,0,0,0,0,0
24,701801,32,1,1,15,0,0,0,0,0,0,0
25,701901,33,19,2,16,1,300131,1,2,0,0,0
26,702001,34,7,2,12,0,0,0,0,0,0,0
27,702101,35,4,1,12,0,0,0,0,0,0,0
28,702201,36,27,1,0,0,0,0,0,0,0,0
