label,eyebrow_l,eyebrow_r,eye_l,eye_r,mouth,cheek
WaraiA,0,0,0,0,1,1
PrizeA,0,0,12,12,2,1
WaraiB,0,0,0,0,2,1
WaraiC,0,0,9,9,1,1
WaraiD,0,0,9,9,2,1
WaraiE,0,0,9,9,17,1
OdorokiA,7,7,1,1,0,1
OdorokiB,7,7,1,1,5,1
KusyoA,2,2,9,9,1,1
KusyoB,2,2,9,9,2,1
GuruguruA,3,3,14,14,11,1
GuruguruB,8,8,14,14,17,1
GuruguruC,8,8,14,14,9,1
HarapekoA,0,0,13,13,12,1
BoobooA,5,5,11,11,10,1
SleepA,1,1,10,10,12,1
IkariA,5,5,2,2,3,1
IkariB,5,5,2,2,5,1
IkariC,5,5,2,2,8,1
IkariD,5,5,6,6,3,1
IkariE,5,5,6,6,4,1
KomariA,2,2,2,2,3,1
KomariB,2,2,2,2,4,1
KomariC,2,2,7,7,3,1
HawawaA,2,2,12,12,11,1
KiriA,4,4,6,6,1,1
KiriB,5,5,6,6,1,1
KiriC,5,5,0,0,1,1
KanasiA,3,3,2,2,3,1
KanasiB,3,3,2,2,13,1
KanasiC,2,2,6,6,3,1
KanasiD,2,2,6,6,13,1
KanasiE,2,2,3,3,4,1
KanasiF,2,2,3,3,13,1
FightA,5,5,7,7,7,1
