id,label,body_motion,body_motion_type,body_motion_play_type,body_motion_scene_type,scene_sub_folder,chara_type_target,add_layer_index,is_mirror,facial_motion,chara_face_type,transition_time,ear_motion,is_enable_randome_ear,tail_motion,tail_motion_type,is_enable_randome_tail,prop_id,prop_motion,prop_motion_scene_type,prop_attach_node_name_type,is_prop_require_motion_end
1,Idle01,idle01,2,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,,0,0,0
2,Idle02,idle02,2,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,,0,0,0
3,Mot01,mot01,2,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,,0,0,0
4,Mot02,mot02,2,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,,0,0,0
5,Bit01,bit01,3,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,,0,0,0
6,Book,book,3,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,,0,0,0
7,Bookshelf01,bookshelf01,3,2,0,,0,0,0,,WaraiA,15,,1,,0,1,100301,book,4,2,0
8,Bow02,bow02,3,2,0,,0,0,0,,WaraiC,0,,1,,0,1,0,,0,0,0
9,Bow03,bow03,3,2,0,,0,0,0,,WaraiC,0,,1,,0,1,0,,0,0,0
10,Byebye01,byebye01,3,1,0,,0,0,0,,WaraiD,0,,1,,0,1,0,,0,0,0
11,Byebye03,byebye03,3,1,0,,0,0,0,,WaraiB,0,,1,,0,1,0,,0,0,0
12,Byebye04,byebye04,3,1,0,,0,0,0,,WaraiA,0,,1,,0,1,0,,0,0,0
13,Chair01_00,chair01,3,2,0,,0,0,0,,WaraiA,15,,1,,0,0,0,,0,0,0
14,Clap01,clap01,3,2,0,,0,0,0,,WaraiB,0,,1,,0,1,0,,0,0,0
15,Come03,come03,3,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,,0,0,0
16,Dance01,dance01,3,2,0,,0,0,0,,WaraiE,0,,1,,0,1,0,,0,0,0
17,Dance11,dance11,3,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,,0,0,0
18,Fight01,fight01,3,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,,0,0,0
19,Fight04,fight04,3,2,0,,0,0,0,,WaraiC,0,,1,,0,1,0,,0,0,0
20,Fight09,fight09,3,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,,0,0,0
21,Fight12,fight12,3,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,,0,0,0
22,Gatts04,gatts04,3,2,0,,0,0,0,,KiriA,0,,1,,0,1,0,,0,0,0
23,Gatts06,gatts06,3,2,0,,0,0,0,,WaraiB,0,,1,,0,1,0,,0,0,0
24,Happy03,happy03,3,2,0,,0,0,0,,WaraiC,0,,1,,0,1,0,,0,0,0
25,Happy05,happy05,3,2,0,,0,0,0,,WaraiC,0,,1,,0,1,0,,0,0,0
26,Hello04,hello04,3,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,,0,0,0
27,Hope01,hope01,3,2,0,,0,0,0,,WaraiC,0,,1,,0,1,0,,0,0,0
28,Hope03,hope03,3,2,0,,0,0,0,,KomariB,0,,1,,0,1,0,,0,0,0
29,Hungry01,hungry01,3,2,0,,0,0,0,,SleepA,0,,1,,0,1,0,,0,0,0
30,Idea01,idea01,3,2,0,,0,0,0,,OdorokiB,0,,1,,0,1,0,,0,0,0
31,Idea02,idea02,3,2,0,,0,0,0,,OdorokiB,0,,1,,0,1,0,,0,0,0
32,Jump01,jump01,3,1,0,,0,0,0,,WaraiD,0,,1,,0,1,0,,0,0,0
33,Koshiate01,koshiate01,3,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,,0,0,0
34,Muneate02,muneate02,3,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,,0,0,0
35,Muneate03,muneate03,3,2,0,,0,0,0,,WaraiC,0,,1,,0,1,0,,0,0,0
36,NoA,noA_plus,3,3,0,,0,0,0,,WaraiA,0,,1,,0,1,0,,0,0,0
37,Oh01,Oh01,3,1,0,,0,0,0,,WaraiB,0,,1,,0,1,0,,0,0,0
38,Oh02,oh02,3,1,0,,0,0,0,,KiriA,0,,1,,0,1,0,,0,0,0
39,Oh03,oh03,3,1,0,,0,0,0,,WaraiC,0,,1,,0,1,0,,0,0,0
40,Present01,present01,3,2,0,,0,0,0,,WaraiA,0,,1,,0,1,100400,,4,2,0
41,Request01,request01,3,2,0,,0,0,0,,KusyoA,0,,1,,0,1,0,,0,0,0
42,Request02,request02,3,2,0,,0,0,0,,KusyoB,0,,1,,0,1,0,,0,0,0
43,Shy02,shy02,3,2,0,,0,0,0,,KusyoA,0,,1,,0,1,0,,0,0,0
44,Shy03,shy03,3,2,0,,0,0,0,,KomariA,0,,1,,0,1,0,,0,0,0
45,Shy06,shy06,3,2,0,,0,0,0,,KusyoA,0,,1,,0,1,0,,0,0,0
46,Skip01,skip01_loop,3,1,0,,0,0,0,,WaraiC,0,,1,,0,1,0,,0,0,0
47,Soppo06,soppo06,3,2,0,,0,0,0,,BoobooA,0,,1,,0,1,0,,0,0,0
48,Sudachi02,sudachi02,3,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,,0,0,0
49,Tekumi01,tekumi01,3,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,,0,0,0
50,Udekumi02,udekumi02,3,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,,0,0,0
51,Walk01,walk01_loop,3,1,0,,0,0,0,,WaraiA,0,,1,,0,1,0,,0,0,0
52,Yell01,yell01,3,2,0,,0,0,0,,WaraiE,0,,1,,0,1,0,,0,0,0
53,Yell02,yell02,3,2,0,,0,0,0,,WaraiB,0,,1,,0,1,0,,0,0,0
54,Yell03,yell03,3,2,0,,0,0,0,,WaraiE,0,,1,,0,1,0,,0,0,0
55,Pdk01,pdk01,2,1,0,,0,0,0,pdk01,,0,,1,,0,1,0,,0,0,0
56,Run00,run00_loop,3,1,0,,0,0,0,,WaraiA,0,,1,,0,1,0,,0,0,0
57,Kanban01,kanban01,2,2,0,,0,0,0,,WaraiA,0,,1,,0,1,400100,,0,2,0
58,Gatts06_2,gatts06,3,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,,0,0,0
119,Sign01,sign01,3,1,0,,0,0,0,sign01,,0,,1,,0,1,0,,0,0,0
139,TargetClear01,Oh01,3,1,0,,1,0,0,,WaraiB,0,,1,,0,1,0,,0,0,0
140,TargetClear02,fight01,3,2,0,,1,0,0,,WaraiC,0,,1,,0,1,0,,0,0,0
141,TargetClear03,gatts04,3,2,0,,1,0,0,,WaraiD,0,,1,,0,1,0,,0,0,0
142,TargetAllClear01,jump01,3,1,0,,2,0,0,,WaraiC,0,,1,,0,1,0,,0,0,0
143,TargetAllClear02,jump02,3,1,0,,2,0,0,,WaraiC,0,,1,,0,1,0,,0,0,0
144,TargetAllClear03,jump03,3,1,0,,2,0,0,,WaraiC,0,,1,,0,1,0,,0,0,0
145,TrainingClass01,idle01,2,2,0,,3,0,0,,WaraiA,0,,1,,0,1,0,,0,0,0
146,SingleGetItem,single01,3,1,0,,0,0,0,single01,,0,,0,,0,0,100400,,0,2,0
147,SingleGetTips,single02,3,1,0,,0,0,0,single02,,0,,0,,0,0,0,,0,0,0
148,Check01,check01,3,1,0,,0,0,0,,WaraiA,0,,1,,0,1,0,,0,0,0
149,Check02,check02,3,1,0,,0,0,0,,WaraiA,0,,1,,0,1,0,,0,0,0
150,Check03,check03,3,1,0,,0,0,0,,WaraiA,0,,1,,0,1,0,,0,0,0
151,Check04,check04,3,1,0,,0,0,0,,WaraiA,0,,1,,0,1,0,,0,0,0
152,Check05,check05,3,1,0,,0,0,0,,WaraiA,0,,1,,0,1,0,,0,0,0
153,Check12,check12,3,1,0,,0,0,0,,WaraiA,0,,1,,0,1,0,,0,0,0
154,Jump02,jump02,3,1,0,,0,0,0,,WaraiD,0,,1,,0,1,0,,0,0,0
155,Jump03,jump03,3,1,0,,0,0,0,,WaraiD,0,,1,,0,1,0,,0,0,0
156,liveok01,liveok01,3,1,0,,0,0,0,liveok01,,0,,1,,0,1,102400,,0,2,0
157,Res01,res01,7,2,0,,0,0,0,res01,,0,,0,,0,0,0,,0,0,0
158,Res02,res02,4,2,0,,4,0,0,res02,,0,,0,,0,0,0,,0,0,0
159,Res03,res03,4,2,0,,4,0,0,res03,,0,,0,,0,0,0,,0,0,0
100001,Circle01_101,01_101,3,1,1,,0,0,0,01_101,,0,,0,loopS01_tail,0,0,400300,01_101,5,2,0
