id,color_r1,color_r2,color_g1,color_g2,color_b1,color_b2,toon_color_r1,toon_color_r2,toon_color_g1,toon_color_g2,toon_color_b1,toon_color_b2
8000,#6c3875,#3e3638,#f0b370,#3e3638,#3e3638,#6c3875,#511960,#30101f,#c37641,#30101f,#30101f,#511960
8001,#3E3638,#A1372F,#5D2533,#3E3638,#3E3638,#3E3638,#291A25,#6E1F26,#3E141C,#291A25,#291A25,#291A25
8002,#e9ecf0,#5260b8,#ffe1bb,#e9ecf0,#e9ecf0,#e9ecf0,#c3b7d9,#4f408d,#f7b39e,#c3b7d9,#c3b7d9,#c3b7d9
8003,#a1372f,#d7de72,#ffebd9,#6c3875,#6c3875,#a1372f,#702111,#e3ae6c,#ffbebe,#511960,#511960,#702111
8004,#2C474C,#196B61,#B2E5ED,#15676B,#B2E5ED,#A0DDED,#305049,#225047,#789CBE,#1E504D,#789CBE,#6A8DBF
8005,#D7DE72,#EAB3CE,#6E7236,#EAB3CE,#EAB3CE,#D7DE72,#B6AB53,#A47FC8,#4A5B21,#A47FC8,#A47FC8,#B6AB53
8006,#68B366,#F0B370,#F0B370,#3B5631,#68B366,#68B366,#3C8D95,#C37641,#C37641,#123C38,#3C8D95,#3C8D95
8007,#EAB3CE,#F0B370,#692245,#D7DE72,#D7DE72,#EAB3CE,#A47FC8,#C37641,#160A13,#B6AB53,#B6AB53,#A47FC8
8008,#B7B887,#3E3638,#8A8BB8,#5260B8,#5260B8,#1D1F6D,#95A265,#291A25,#537195,#454074,#454074,#130E27
8009,#6C3875,#E9ECF0,#551923,#A1372F,#A1372F,#6C3875,#2C1A53,#C0DCDA,#1B1112,#6E1F26,#6E1F26,#2C1A53
8010,#3E3638,#5260B8,#86757B,#E9ECF0,#E9ECF0,#3E3638,#291A25,#454074,#644861,#C0DCDA,#C0DCDA,#291A25
8011,#e9ecf0,#f0b370,#f0b370,#3e3638,#3e3638,#e9ecf0,#c3b7d9,#c37641,#c37641,#30101f,#30101f,#c3b7d9
8012,#a1372f,#68b366,#f0b370,#a1372f,#a1372f,#a1372f,#702111,#258b76,#c37641,#702111,#702111,#702111
8013,#5260b8,#f0b370,#f0b370,#5260b8,#5260b8,#5260b8,#4f408d,#c37641,#c37641,#4f408d,#4f408d,#4f408d
8014,#d7de72,#ffe1bb,#ffe1bb,#6c3875,#6c3875,#d7de72,#e3ae6c,#f7b39e,#f7b39e,#511960,#511960,#e3ae6c
8015,#68B366,#6C3875,#500E5C,#99D2D9,#99D2D9,#68B366,#3C8D95,#2C1A53,#170A25,#6486AC,#6486AC,#3C8D95
8016,#eab3ce,#ffe1bb,#ffe1bb,#eab3ce,#eab3ce,#eab3ce,#d78bce,#f7b39e,#f7b39e,#d78bce,#d78bce,#d78bce
8017,#99D2D9,#E9ECF0,#4B6B65,#68B366,#68B366,#99D2D9,#6486AC,#C0DCDA,#303F52,#3C8D95,#3C8D95,#6486AC
8018,#6C3875,#A1372F,#751D71,#D7DE72,#D7DE72,#6C3875,#2C1A53,#6E1F26,#2F1535,#B6AB53,#B6AB53,#2C1A53
8019,#3e3638,#ffe7cb,#ffe7cb,#5260b8,#5260b8,#3e3638,#30101f,#fabbad,#fabbad,#4f408d,#4f408d,#30101f
8020,#E9ECF0,#FFE1BB,#531825,#A1372F,#A1372F,#E9ECF0,#C0DCDA,#F7B39E,#1A1011,#6E1F26,#6E1F26,#C0DCDA
8021,#a1372f,#ffebd9,#ffebd9,#e9ecf0,#e9ecf0,#a1372f,#702111,#ffbebe,#ffbebe,#c3b7d9,#c3b7d9,#702111
8022,#5260B8,#FFEBD9,#262856,#3E3638,#3E3638,#5260B8,#454074,#FFBEBE,#27242D,#291A25,#291A25,#454074
8023,#484F5A,#FFE7CB,#FFE7CB,#D7DE72,#D7DE72,#EAB3CE,#1B2945,#FABBAD,#FABBAD,#B6AB53,#B6AB53,#A47FC8
8024,#68b366,#3e3638,#ffebd9,#68b366,#68b366,#68b366,#258b76,#30101f,#ffbebe,#258b76,#258b76,#258b76
8025,#EAB3CE,#E9ECF0,#751475,#6C3875,#6C3875,#EAB3CE,#A47FC8,#C0DCDA,#2C133D,#2C1A53,#2C1A53,#A47FC8
8026,#99D2D9,#A1372F,#581A27,#99D2D9,#99D2D9,#99D2D9,#6486AC,#6E1F26,#1D0910,#6486AC,#6486AC,#6486AC
8027,#6C3875,#5260B8,#755A69,#EAB3CE,#EAB3CE,#6C3875,#2C1A53,#454074,#4F3252,#A47FC8,#A47FC8,#2C1A53
8028,#3E3638,#FFE7CB,#3A5732,#68B366,#68B366,#3E3638,#291A25,#FABBAD,#123C3B,#3C8D95,#3C8D95,#291A25
8029,#3E3638,#FFE7CB,#3A5732,#68B366,#68B366,#3E3638,#291A25,#FABBAD,#123C3B,#3C8D95,#3C8D95,#291A25
8030,#a1372f,#ffe1bb,#ffe1bb,#5260b8,#5260b8,#a1372f,#702111,#f7b39e,#f7b39e,#4f408d,#4f408d,#702111
8031,#5260B8,#F0B370,#243651,#A1372F,#A1372F,#5260B8,#454074,#C37641,#22222B,#6E1F26,#6E1F26,#454074
8032,#D7DE72,#3E3638,#595C2B,#E9ECF0,#E9ECF0,#D7DE72,#B6AB53,#291A25,#394619,#C0DCDA,#C0DCDA,#B6AB53
8033,#68B366,#E9ECF0,#29482F,#3E3638,#3E3638,#68B366,#3C8D95,#C0DCDA,#113127,#291A25,#291A25,#3C8D95
8034,#eab3ce,#ffe7cb,#ffe7cb,#eab3ce,#eab3ce,#eab3ce,#d78bce,#fabbad,#fabbad,#d78bce,#d78bce,#d78bce
8035,#99d2d9,#ffe7cb,#ffe7cb,#99d2d9,#99d2d9,#99d2d9,#8fa8e0,#fabbad,#fabbad,#8fa8e0,#8fa8e0,#8fa8e0
8036,#6C3875,#FFE7CB,#FFE7CB,#716675,#6C3875,#6C3875,#2C1A53,#FABBAD,#FABBAD,#3E3352,#2C1A53,#2C1A53
8037,#3E3638,#FFE1BB,#265D64,#99D2D9,#99D2D9,#3E3638,#291A25,#F7B39E,#405E58,#6486AC,#6486AC,#291A25
8038,#e9ecf0,#ffebd9,#ffebd9,#eab3ce,#eab3ce,#e9ecf0,#c3b7d9,#ffbebe,#ffbebe,#d78bce,#d78bce,#c3b7d9
8039,#A1372F,#FFE1BB,#35522F,#68B366,#68B366,#A1372F,#6E1F26,#F7B39E,#123A39,#3C8D95,#3C8D95,#6E1F26
8040,#5260b8,#ffebd9,#ffebd9,#d7de72,#d7de72,#5260b8,#4f408d,#ffbebe,#ffbebe,#e3ae6c,#e3ae6c,#4f408d
8041,#D7DE72,#584063,#493858,#3B146D,#9175B6,#D7DE72,#B6AB53,#1F1647,#131348,#1B0D35,#474F93,#B6AB53
8042,#68B366,#E9ECF0,#4C2316,#A1372F,#A1372F,#68B366,#3C8D95,#C0DCDA,#320806,#6E1F26,#6E1F26,#3C8D95
8043,#EAB3CE,#FFEBD9,#707273,#E9ECF0,#E9ECF0,#EAB3CE,#A47FC8,#FFBEBE,#445553,#C0DCDA,#C0DCDA,#A47FC8
8044,#99d2d9,#ffebd9,#ffebd9,#3e3638,#3e3638,#99d2d9,#8fa8e0,#ffbebe,#ffbebe,#30101f,#30101f,#8fa8e0
8045,#6C3875,#D7DE72,#6F5D75,#6C3875,#6C3875,#6C3875,#2C1A53,#B6AB53,#3C3251,#2C1A53,#2C1A53,#2C1A53
8046,#3E3638,#FFEBD9,#89787B,#3E3638,#3E3638,#3E3638,#291A25,#FFBEBE,#674B5F,#291A25,#291A25,#291A25
8047,#e9ecf0,#f0b370,#f0b370,#6c3875,#6c3875,#e9ecf0,#c3b7d9,#c37641,#c37641,#511960,#511960,#c3b7d9
8048,#a1372f,#3e3638,#f0b370,#99d2d9,#99d2d9,#a1372f,#702111,#30101f,#c37641,#8fa8e0,#8fa8e0,#702111
8049,#5260b8,#e9ecf0,#f0b370,#eab3ce,#eab3ce,#5260b8,#4f408d,#c3b7d9,#c37641,#d78bce,#d78bce,#4f408d
8050,#D7DE72,#FFE1BB,#BBDE38,#68B366,#68B366,#D7DE72,#B6AB53,#F7B39E,#59BC45,#3C8D95,#3C8D95,#B6AB53
8051,#68B366,#5260B8,#315630,#D7DE72,#D7DE72,#68B366,#3C8D95,#454074,#193B2A,#B6AB53,#B6AB53,#3C8D95
8052,#EAB3CE,#FFEBD9,#1D2F9F,#5260B8,#5260B8,#EAB3CE,#A47FC8,#FFBEBE,#1C195A,#454074,#454074,#A47FC8
8053,#99D2D9,#F0B370,#421317,#A1372F,#A1372F,#99D2D9,#6486AC,#C37641,#230808,#6E1F26,#6E1F26,#6486AC
8054,#6C3875,#EAB3CE,#D284E0,#E9ECF0,#E9ECF0,#6C3875,#2C1A53,#A47FC8,#9457B1,#C0DCDA,#C0DCDA,#2C1A53
8055,#3e3638,#f0b370,#f0b370,#3e3638,#3e3638,#3e3638,#30101f,#c37641,#c37641,#30101f,#30101f,#30101f
8056,#E9ECF0,#FFE1BB,#FFE1BB,#717375,#E9ECF0,#E9ECF0,#C0DCDA,#F7B39E,#F7B39E,#445456,#C0DCDA,#C0DCDA
8057,#A1372F,#3E3638,#491715,#A1372F,#A1372F,#A1372F,#6E1F26,#291A25,#2A0D0A,#6E1F26,#6E1F26,#6E1F26
8058,#5260b8,#e9ecf0,#f0b370,#5260b8,#5260b8,#5260b8,#4f408d,#c3b7d9,#c37641,#4f408d,#4f408d,#4f408d
