id,hair_color_r1,hair_color_r2,hair_color_g1,hair_color_g2,hair_color_b1,hair_color_b2,hair_toon_color_r1,hair_toon_color_r2,hair_toon_color_g1,hair_toon_color_g2,hair_toon_color_b1,hair_toon_color_b2,mayu_color_r1,mayu_color_r2,mayu_color_g1,mayu_color_g2,mayu_color_b1,mayu_color_b2,mayu_toon_color_r1,mayu_toon_color_r2,mayu_toon_color_g1,mayu_toon_color_g2,mayu_toon_color_b1,mayu_toon_color_b2,eye_color_r1,eye_color_r2,eye_color_g1,eye_color_g2,eye_color_b1,eye_color_b2,tail_color_r1,tail_color_r2,tail_color_g1,tail_color_g2,tail_color_b1,tail_color_b2,tail_toon_color_r1,tail_toon_color_r2,tail_toon_color_g1,tail_toon_color_g2,tail_toon_color_b1,tail_toon_color_b2
0,#CFCFD6,#E6EFF1,#B4ADB2,#808080,#A5A6CA,#B4ADB2,#B5A1C8,#BFBFD1,#A49B9E,#808080,#7E77BC,#A49B9E,#FFFFFF,#FFFFFF,#FFFFFF,#4A3939,#8A7B8C,#605855,#FFFFFF,#FFFFFF,#FFFFFF,#4A3939,#8A7B8C,#605855,#40363C,#C2A8BF,#D8D0D8,#464042,#554C4F,#BDB3B7,#FFFFFF,#FFFFFF,#FFFFFF,#8F8ABA,#FFFFFF,#928B91,#FFFFFF,#FFFFFF,#FFFFFF,#7C76A6,#FFFFFF,#807184
1,#C39FAC,#ECDC89,#FACF7E,#808080,#494DD4,#FACF7E,#CAA3B0,#E59F66,#D7986B,#808080,#251980,#D6986A,#FFFFFF,#FFFFFF,#FFFFFF,#4A3018,#C3805B,#C16C57,#FFFFFF,#FFFFFF,#FFFFFF,#4A3018,#C3805B,#C06C56,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B,#ECCECE,#FFFFFF,#FFFFFF,#8F6BA8,#FFFFFF,#F6CB7C,#ECCECE,#FFFFFF,#FFFFFF,#8F70A6,#FFFFFF,#C58E76
2,#D2ABD9,#BC1623,#C0615D,#808080,#353537,#C0615D,#D2ABD9,#78151D,#964C48,#808080,#130C0D,#954B47,#FFFFFF,#FFFFFF,#FFFFFF,#29120C,#853A40,#863826,#FFFFFF,#FFFFFF,#FFFFFF,#29120C,#853A40,#863826,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#EEDDE3,#FFFFFF,#FFFFFF,#6B386F,#FFFFFF,#BC5E5B,#EFDEE3,#FFFFFF,#FFFFFF,#652C57,#FFFFFF,#7F373E
3,#E296C9,#D6BE2F,#9C505D,#808080,#3EA4B0,#9C505D,#B96FAF,#784420,#7B3D46,#808080,#1C5378,#7B3D46,#FFFFFF,#FFFFFF,#FFFFFF,#441D23,#6B2D3C,#8B3842,#FFFFFF,#FFFFFF,#FFFFFF,#441D23,#6B2D3C,#8B3842,#4B2732,#D8868E,#FFCFCE,#502138,#703444,#D89096,#E7ABDB,#FFFFFF,#FFFFFF,#553659,#FFFFFF,#974E5A,#E7ACDB,#FFFFFF,#FFFFFF,#782F6B,#FFFFFF,#76353D
4,#9C68CF,#D16852,#524142,#808080,#8C183A,#524142,#9C68CF,#98364E,#352525,#808080,#461554,#352524,#FFFFFF,#FFFFFF,#FFFFFF,#341513,#2E1B1B,#73343A,#FFFFFF,#FFFFFF,#FFFFFF,#341513,#2E1B1B,#73333A,#352723,#A98E87,#C7A79E,#402A29,#523C39,#AD8F88,#D3CCE2,#FFFFFF,#FFFFFF,#362B46,#FFFFFF,#433437,#857C9A,#FFFFFF,#FFFFFF,#3D2E52,#FFFFFF,#392421
5,#50505B,#E6EFF1,#4B3D47,#4B3D47,#A5A6CA,#4B3D47,#2E2D30,#BFBFD1,#4B4144,#4B4144,#7E77BC,#4B4144,#FFFFFF,#FFFFFF,#FFFFFF,#332C2E,#4B4144,#806E74,#FFFFFF,#FFFFFF,#FFFFFF,#332C2E,#4B4144,#806E74,#40363C,#C2A8BF,#D8D0D8,#464042,#554C4F,#BDB3B7,#E6CFDF,#FFFFFF,#FFFFFF,#39304B,#FFFFFF,#4B3D47,#E6CFDF,#FFFFFF,#FFFFFF,#39304B,#FFFFFF,#4B4144
6,#FFFFFF,#E6EFF1,#E2CADB,#4B3D47,#A5A6CA,#E2CADB,#C0C0C0,#BFBFD1,#E0B9C4,#4B4144,#7E77BC,#E0B9C4,#FFFFFF,#FFFFFF,#FFFFFF,#332A2D,#E0B9C4,#B2939C,#FFFFFF,#FFFFFF,#FFFFFF,#332A2D,#E0B9C4,#B2939C,#40363C,#C2A8BF,#D8D0D8,#464042,#554C4F,#BDB3B7,#E6CFDF,#FFFFFF,#FFFFFF,#A98FE0,#FFFFFF,#E2CADB,#E6CFDF,#FFFFFF,#FFFFFF,#A98FE0,#FFFFFF,#E0B9C4
7,#CFCFD4,#E6EFF1,#EDEDED,#808080,#A5A6CA,#EEEEEE,#D0C9D6,#BFBFD1,#DBD8D9,#808080,#7E77BC,#DBD8D9,#FFFFFF,#FFFFFF,#FFFFFF,#333233,#DBD8D9,#B2B0B1,#FFFFFF,#FFFFFF,#FFFFFF,#333233,#DBD8D9,#B2B0B1,#40363C,#C2A8BF,#D8D0D8,#464042,#554C4F,#BDB3B7,#E6CFCF,#FFFFFF,#FFFFFF,#A58CDB,#FFFFFF,#EEEEEE,#E6CFCF,#FFFFFF,#FFFFFF,#A58CDB,#FFFFFF,#DBD8D9
8,#D1D1D1,#E6EFF1,#897D86,#808080,#A5A6CA,#897D86,#B5A1C8,#BFBFD1,#98878D,#808080,#7E77BC,#98878D,#FFFFFF,#FFFFFF,#FFFFFF,#332D2F,#98878D,#98878D,#FFFFFF,#FFFFFF,#FFFFFF,#332D2F,#98878D,#98878D,#40363C,#C2A8BF,#D8D0D8,#464042,#554C4F,#BDB3B7,#E6CFDF,#FFFFFF,#FFFFFF,#726198,#FFFFFF,#897D86,#E6CFDF,#FFFFFF,#FFFFFF,#726198,#FFFFFF,#98878D
9,#CFCFD6,#E6EFF1,#848484,#808080,#A5A6CA,#848484,#B5A1C8,#BFBFD1,#848484,#808080,#7E77BC,#848484,#FFFFFF,#FFFFFF,#FFFFFF,#333333,#848484,#848484,#FFFFFF,#FFFFFF,#FFFFFF,#333333,#848484,#848484,#40363C,#C2A8BF,#D8D0D8,#464042,#554C4F,#BDB3B7,#E6CFCF,#FFFFFF,#FFFFFF,#645484,#FFFFFF,#848484,#E6CFCF,#FFFFFF,#FFFFFF,#645484,#FFFFFF,#848484
