id,other_group,bg_group,time_group,bg_id,bg_sub,order,pos_x,pos_y,width,height,start_date
2001,0,1,2,2,110,1,800000,0,10000,10000,1609426800
2002,0,1,3,2,120,2,800000,0,10000,10000,1609426800
2003,0,1,4,2,130,3,0,0,10000,10000,1609426800
2004,0,1,5,2,410,4,800000,0,10000,10000,1609426800
2005,0,1,2,2,8111,5,0,0,10000,10000,1609426800
2006,0,1,2,3,110,6,7640000,0,10000,10000,1609426800
2007,0,1,3,3,120,7,7640000,0,10000,10000,1609426800
2008,0,1,4,3,130,8,7640000,0,10000,10000,1609426800
2009,0,1,5,3,410,9,7640000,0,10000,10000,1609426800
2010,0,1,2,3,8111,10,0,0,10000,10000,1609426800
2011,0,1,2,3,10111,11,3840000,0,10000,10000,1609426800
2012,0,1,2,4,110,12,1280000,0,10000,10000,1609426800
2013,0,1,3,4,120,13,1280000,0,10000,10000,1609426800
2014,0,1,4,4,130,14,1280000,0,10000,10000,1609426800
2015,1,1,2,4,7110,15,1280000,0,10000,10000,1609426800
2016,0,1,2,16,110,16,6000000,0,10000,10000,1609426800
2017,0,1,3,16,120,17,6000000,0,10000,10000,1609426800
2018,0,1,4,16,130,18,6000000,0,10000,10000,1609426800
2019,0,1,2,53,110,19,8950000,0,10000,10000,1609426800
2020,0,1,3,53,120,20,8950000,0,10000,10000,1609426800
2021,0,1,4,53,130,21,8950000,0,10000,10000,1609426800
2022,0,1,2,115,110,22,1860000,0,10000,10000,1609426800
2023,0,1,3,115,120,23,1860000,0,10000,10000,1609426800
2024,0,1,2,70,110,24,0,0,10000,10000,1609426800
2025,0,1,2,71,110,25,0,0,10000,10000,1609426800
2026,0,1,2,72,110,26,-11740000,0,10000,10000,1609426800
2027,1,1,2,10,110,27,1760000,0,10000,10000,1609426800
2028,1,1,3,10,121,28,1750000,0,10000,10000,1609426800
2029,0,1,4,10,130,29,1760000,0,10000,10000,1609426800
2030,0,2,2,1,1110,31,14720000,0,10000,10000,1609426800
2031,0,2,3,1,120,32,14720000,0,10000,10000,1609426800
2032,0,2,4,1,130,33,14720000,0,10000,10000,1609426800
2033,0,2,5,1,210,34,14720000,0,10000,10000,1609426800
2034,0,2,2,1,9110,35,14720000,0,10000,10000,1609426800
2035,0,2,4,1,6130,36,14720000,0,10000,10000,1609426800
2036,0,2,2,6,110,37,-11550000,0,10000,10000,1609426800
2037,0,2,3,6,120,38,-11550000,0,10000,10000,1609426800
2038,0,2,4,6,130,39,-11550000,0,10000,10000,1609426800
2039,0,2,2,7,110,40,6540000,0,10000,10000,1609426800
2040,0,2,3,7,120,41,6540000,0,10000,10000,1609426800
2041,0,2,4,7,130,42,6540000,0,10000,10000,1609426800
2042,0,2,5,7,210,43,6540000,0,10000,10000,1609426800
2043,0,2,5,7,410,44,0,0,10000,10000,1609426800
2044,0,2,2,7,8111,45,6540000,0,10000,10000,1609426800
2045,0,2,2,11,110,46,0,0,10000,10000,1609426800
2046,0,2,4,11,130,47,0,0,10000,10000,1609426800
2047,0,2,2,11,6110,48,0,0,10000,10000,1609426800
2048,0,2,4,11,6130,49,0,0,10000,10000,1609426800
2049,0,2,2,14,110,50,-3820000,0,10000,10000,1609426800
2050,0,2,4,14,130,51,-3820000,0,10000,10000,1609426800
2051,0,2,2,15,110,52,-380000,0,10000,10000,1609426800
2052,0,2,4,15,130,53,-380000,0,10000,10000,1609426800
2053,0,2,2,17,110,54,-1500000,0,10000,10000,1609426800
2054,0,2,4,17,130,55,-1500000,0,10000,10000,1609426800
2055,0,2,2,19,110,56,3340000,0,10000,10000,1609426800
2056,0,2,4,19,130,57,3340000,0,10000,10000,1609426800
2057,0,2,2,20,110,58,5380000,0,10000,10000,1609426800
2058,0,2,5,20,210,59,5380000,0,10000,10000,1609426800
2059,0,2,2,103,11110,60,5380000,0,10000,10000,1609426800
2060,1,2,2,162,110,61,4080000,0,10000,10000,1609426800
2061,0,2,2,22,110,63,-2000000,0,10000,10000,1609426800
2062,0,2,4,22,130,64,-2000000,0,10000,10000,1609426800
2063,0,2,2,91,100,65,5620000,0,10000,10000,1609426800
2064,0,2,3,91,120,66,5620000,0,10000,10000,1609426800
2065,0,2,2,75,1,67,0,0,10000,10000,1609426800
2066,0,2,2,140,110,68,-1040000,0,10000,10000,1609426800
2067,0,2,4,140,130,69,-1040000,0,10000,10000,1609426800
2068,0,2,2,136,110,70,-2400000,0,10000,10000,1609426800
2069,0,2,2,141,110,71,3040000,0,10000,10000,1609426800
2070,0,2,4,141,130,72,3040000,0,10000,10000,1609426800
2071,0,3,2,23,111,73,2290000,0,10000,10000,1609426800
2072,0,3,3,23,121,74,2290000,0,10000,10000,1609426800
2073,0,3,5,23,411,75,2290000,0,10000,10000,1609426800
2074,0,3,2,105,111,76,-2860000,0,10000,10000,1609426800
2075,0,3,3,105,121,77,-2860000,0,10000,10000,1609426800
2076,0,3,5,105,411,78,-2860000,0,10000,10000,1609426800
2077,0,3,2,116,111,79,560000,0,10000,10000,1609426800
2078,0,3,3,116,121,80,560000,0,10000,10000,1609426800
2079,0,3,5,116,411,81,560000,0,10000,10000,1609426800
2080,0,3,2,24,110,82,-3750000,0,10000,10000,1609426800
2081,0,3,4,24,130,83,-3750000,0,10000,10000,1609426800
2082,0,3,2,77,110,84,9190000,0,10000,10000,1609426800
2083,0,3,4,77,130,85,9190000,0,10000,10000,1609426800
2084,0,3,2,78,110,86,11115000,0,10009,10000,1609426800
2085,0,3,4,78,130,87,11115000,0,10009,10000,1609426800
2086,0,3,2,79,110,88,10440000,0,10000,10000,1609426800
2087,0,3,4,79,134,89,10440000,0,10000,10000,1609426800
2088,0,3,2,109,111,90,9050000,0,10000,10000,1609426800
2089,0,3,2,108,111,91,7960000,0,10000,10000,1609426800
2090,0,3,2,114,111,92,11100000,0,10000,10000,1609426800
2091,0,3,3,114,121,93,11100000,0,10000,10000,1609426800
2092,0,3,4,114,131,94,11100000,0,10000,10000,1609426800
2093,0,3,2,76,110,95,-1280000,0,10000,10000,1609426800
2094,0,3,3,76,120,96,-1280000,0,10000,10000,1609426800
2095,0,3,5,76,410,97,-1280000,0,10000,10000,1609426800
2096,0,3,2,110,110,98,0,0,10000,10000,1609426800
2097,0,3,5,110,410,99,0,0,10000,10000,1609426800
2098,0,3,2,55,110,100,3190000,0,10000,10000,1609426800
2099,0,3,5,55,410,101,3200000,0,10000,10000,1609426800
2100,0,3,2,56,111,102,800000,0,10000,10000,1609426800
2101,0,3,5,56,411,103,810000,0,10000,10000,1609426800
2102,0,3,2,25,110,104,-5160000,0,10000,10000,1609426800
2103,0,3,4,25,130,105,-5160000,0,10000,10000,1609426800
2104,0,3,2,26,110,106,-5080000,0,10000,10000,1609426800
2105,0,3,3,26,120,107,-5080000,0,10000,10000,1609426800
2106,0,3,4,26,130,108,-5080000,0,10000,10000,1609426800
2107,0,4,2,39,110,109,10140000,0,10000,10000,1609426800
2108,0,4,3,39,120,110,10140000,0,10000,10000,1609426800
2109,0,4,4,39,130,111,10140000,0,10000,10000,1609426800
2110,0,4,2,40,2110,112,-11600000,0,10000,10000,1609426800
2111,0,4,4,40,2130,113,-11600000,0,10000,10000,1609426800
2112,0,4,1,42,2150,114,-8105000,0,10009,10000,1609426800
2113,0,4,2,42,2110,115,-8000000,0,10000,10000,1609426800
2114,0,4,3,42,2120,116,-7990000,0,10000,10000,1609426800
2115,0,4,4,42,2130,117,-9240000,0,10000,10000,1609426800
2116,0,4,2,59,110,118,0,0,10000,10000,1609426800
2117,0,4,4,59,130,119,0,0,10000,10000,1609426800
2118,0,4,2,60,110,120,-420000,0,10000,10000,1609426800
2119,0,4,3,60,120,121,-420000,0,10000,10000,1609426800
2120,0,4,4,60,130,122,-420000,0,10000,10000,1609426800
2121,0,4,2,62,110,123,-10380000,0,10000,10000,1609426800
2122,0,4,2,34,110,124,4090000,0,10000,10000,1609426800
2123,0,4,3,34,120,125,4090000,0,10000,10000,1609426800
2124,0,4,4,34,130,126,4090000,0,10000,10000,1609426800
2125,1,4,2,34,7111,127,4090000,0,10000,10000,1609426800
2126,1,4,4,34,7131,128,4090000,0,10000,10000,1609426800
2127,1,4,2,112,110,129,6180000,0,10000,10000,1609426800
2128,1,4,5,112,410,130,6180000,0,10000,10000,1609426800
2129,1,4,2,113,110,131,7400000,0,10000,10000,1609426800
2130,1,4,5,113,410,132,7400000,0,10000,10000,1609426800
2131,1,4,2,126,110,133,5000000,0,10000,10000,1609426800
2132,1,4,3,126,120,134,5000000,0,10000,10000,1609426800
2133,1,5,2,131,111,135,1020000,0,10000,10000,1609426800
2134,1,5,4,131,130,136,1020000,0,10000,10000,1609426800
2135,0,5,5,35,1,138,-1150000,0,10000,10000,1609426800
2136,0,5,5,36,1,139,-4370000,0,10000,10000,1609426800
2137,0,5,5,44,0,140,11230000,0,10000,10000,1609426800
2138,0,5,2,67,110,141,-480000,0,10000,10000,1609426800
2139,0,5,4,67,130,142,-480000,0,10000,10000,1609426800
2140,0,5,2,97,100,143,10100000,0,10000,10000,1609426800
2141,1,5,2,127,110,144,150000,0,10000,10000,1609426800
2142,1,5,3,127,120,145,150000,0,10000,10000,1609426800
2143,0,5,5,130,0,146,-5125000,0,10009,10000,1609426800
2144,0,5,2,154,110,147,-7160000,0,10000,10000,1609426800
2145,1,5,5,147,0,148,200000,0,10000,10000,1609426800
2146,1,1,4,150,130,30,8620000,0,10000,10000,1609426800
2147,1,4,5,157,6310,137,5580000,0,10000,10000,1609426800
2148,1,5,5,156,0,149,7475000,0,10009,10000,1609426800
2149,1,5,5,155,6000,150,6980000,0,10000,10000,1609426800
2150,1,2,5,161,0,62,6500000,0,10000,10000,1609426800
