id,group,grade,course_set,thumbnail_id,ff_cue_name,ff_cuesheet_name,ff_anim,ff_camera,ff_camera_sub,ff_sub,start_gate,start_gate_panel,goal_gate,goal_flower,audience,entry_num,is_dirtgrade,start_date
1001,1,100,10611,1001,snd_mfx_1001_CL,snd_mfx_1001_CL,1001,101,1,0,0,0,1,1,0,16,0,1498838400
1002,1,100,10701,1002,snd_mfx_1002_CL,snd_mfx_1002_CL,1002,102,0,0,0,0,1,1,0,18,0,1498838400
1003,1,100,10905,1003,snd_mfx_1002_CL,snd_mfx_1002_CL,1003,102,0,0,0,0,1,1,0,16,0,1498838400
1004,1,100,10903,1004,snd_mfx_1002_CL,snd_mfx_1002_CL,1004,102,0,0,0,0,2,2,0,18,0,1498838400
1005,1,100,10504,1005,snd_mfx_1001_CL,snd_mfx_1001_CL,1005,101,0,0,0,0,1,1,0,18,0,1498838400
1006,1,100,10811,1006,snd_mfx_1002_CL,snd_mfx_1002_CL,1006,102,0,0,0,0,1,1,0,18,0,1498838400
1007,1,100,10602,1007,snd_mfx_1001_CL,snd_mfx_1001_CL,1007,101,0,0,0,0,2,2,0,18,0,1498838400
1008,1,100,10602,1008,snd_mfx_1001_CL,snd_mfx_1001_CL,1008,101,0,0,0,0,3,3,0,18,0,1498838400
1009,1,100,10606,1009,snd_mfx_1001_CL,snd_mfx_1001_CL,1009,101,0,0,0,0,4,4,0,18,0,1498838400
1010,1,100,10606,1010,snd_mfx_1001_CL,snd_mfx_1001_CL,1010,101,0,0,0,0,5,5,0,18,0,1498838400
1011,1,100,10602,1011,snd_mfx_1001_CL,snd_mfx_1001_CL,1011,101,0,0,0,0,6,6,0,18,0,1498838400
1012,1,100,10906,1012,snd_mfx_1003_CL,snd_mfx_1003_CL,1012,103,0,0,0,0,3,3,0,18,0,1498838400
1013,1,100,10501,1013,snd_mfx_1001_CL,snd_mfx_1001_CL,1013,101,0,0,0,0,2,2,0,16,0,1498838400
1014,1,100,10807,1014,snd_mfx_1002_CL,snd_mfx_1002_CL,1014,102,0,0,0,0,2,2,0,18,0,1498838400
1015,1,100,10810,1015,snd_mfx_1002_CL,snd_mfx_1002_CL,1015,102,0,0,0,0,3,3,0,18,0,1498838400
1016,1,100,10604,1016,snd_mfx_1001_CL,snd_mfx_1001_CL,1016,101,0,0,0,0,7,7,0,18,0,1498838400
1017,1,100,10808,1017,snd_mfx_1002_CL,snd_mfx_1002_CL,1017,102,0,0,0,0,4,4,0,18,0,1498838400
1018,1,100,10805,1018,snd_mfx_1002_CL,snd_mfx_1002_CL,1018,102,0,0,0,0,5,5,0,18,0,1498838400
1019,1,100,10606,1019,snd_mfx_1001_CL,snd_mfx_1001_CL,1019,101,0,0,0,0,8,8,0,18,0,1498838400
1020,1,100,10708,1020,snd_mfx_1002_CL,snd_mfx_1002_CL,1020,102,1,0,0,0,2,2,0,16,0,1498838400
1021,1,100,10903,1021,snd_mfx_1002_CL,snd_mfx_1002_CL,1021,102,0,0,0,0,4,4,0,18,0,1498838400
1022,1,100,10903,1022,snd_mfx_1002_CL,snd_mfx_1002_CL,1022,102,0,0,0,0,5,5,0,18,0,1498838400
1023,1,100,10506,1023,snd_mfx_1001_CL,snd_mfx_1001_CL,1023,101,0,0,0,0,3,3,0,16,0,1498838400
1024,1,100,10504,1024,snd_mfx_1001_CL,snd_mfx_1001_CL,1024,101,0,0,0,0,4,4,0,18,0,1498838400
1025,1,100,10808,1012,snd_mfx_1002_CL,snd_mfx_1002_CL,1025,102,0,0,0,0,6,0,0,18,0,1498838400
1026,1,100,10810,1015,snd_mfx_1002_CL,snd_mfx_1002_CL,1015,102,0,0,0,0,3,3,0,17,0,1498838400
1027,1,100,10914,1027,snd_mfx_1002_CL,snd_mfx_1002_CL,1027,102,0,0,0,0,6,3,0,18,0,1616036400
1028,1,100,10604,1028,snd_mfx_1001_CL,snd_mfx_1001_CL,1028,101,0,0,0,0,9,0,0,18,0,1498838400
1101,1,100,11103,1101,snd_mfx_1015_CL,snd_mfx_1015_CL,1101,313,0,0,100,0,1,0,0,16,1,1498838400
1102,1,100,11103,1102,snd_mfx_1015_CL,snd_mfx_1015_CL,1102,313,0,0,100,0,2,0,0,16,1,1498838400
1103,1,100,11102,1103,snd_mfx_1015_CL,snd_mfx_1015_CL,1103,313,0,0,100,0,3,0,0,16,1,1498838400
1104,1,100,11101,1104,snd_mfx_1015_CL,snd_mfx_1015_CL,1104,313,0,0,100,0,4,0,0,16,1,1498838400
1105,1,100,11103,1105,snd_mfx_1015_CL,snd_mfx_1015_CL,1105,313,0,0,100,0,5,0,0,16,1,1498838400
1106,1,100,11103,1106,snd_mfx_1014_CL,snd_mfx_1014_CL,1106,313,0,0,100,0,6,0,0,16,1,1498838400
1107,1,100,11303,1107,snd_mfx_1016_CL,snd_mfx_1016_CL,1107,231,0,0,103,0,1,0,0,14,1,1660878000
1108,1,100,11302,1108,snd_mfx_1016_CL,snd_mfx_1016_CL,1108,231,0,0,103,0,2,0,0,14,1,1660878000
1109,1,100,11402,1109,snd_mfx_1017_CL,snd_mfx_1017_CL,1109,232,0,0,104,0,1,0,0,14,1,1660878000
1110,1,100,11502,1110,snd_mfx_1018_CL,snd_mfx_1018_CL,1110,133,0,0,105,0,1,0,0,16,1,1660878000
1111,1,100,11302,1103,snd_mfx_1016_CL,snd_mfx_1016_CL,1111,231,0,0,103,0,4,0,0,14,1,1660878000
1112,1,100,11301,1104,snd_mfx_1016_CL,snd_mfx_1016_CL,1112,231,0,0,103,0,5,0,0,12,1,1660878000
1113,1,100,11303,1105,snd_mfx_1016_CL,snd_mfx_1016_CL,1113,231,0,0,103,0,3,0,0,14,1,1660878000
1114,1,100,11402,1103,snd_mfx_1017_CL,snd_mfx_1017_CL,1114,232,0,0,104,0,3,0,0,14,1,1660878000
1115,1,100,11401,1104,snd_mfx_1017_CL,snd_mfx_1017_CL,1115,232,0,0,104,0,4,0,0,14,1,1660878000
1116,1,100,11403,1105,snd_mfx_1017_CL,snd_mfx_1017_CL,1116,232,0,0,104,0,2,0,0,14,1,1660878000
1117,1,100,11503,1103,snd_mfx_1018_CL,snd_mfx_1018_CL,1117,133,0,0,105,0,3,0,0,16,1,1660878000
1118,1,100,11501,1104,snd_mfx_1018_CL,snd_mfx_1018_CL,1118,133,0,0,105,0,4,0,0,16,1,1660878000
1119,1,100,11504,1105,snd_mfx_1018_CL,snd_mfx_1018_CL,1119,133,0,0,105,0,2,0,0,16,1,1660878000
1201,1,100,11203,1023,snd_mfx_1001_CL,snd_mfx_1001_CL,1023,101,0,0,201,101,1,1,0,18,0,1498838400
2001,1,200,10809,2001,snd_mfx_1008_CL,snd_mfx_1008_CL,2001,208,0,0,0,0,0,0,0,18,0,1498838400
2002,1,200,10708,2002,snd_mfx_1006_CL,snd_mfx_1006_CL,2002,206,0,0,0,0,0,0,0,16,0,1498838400
2003,1,200,10505,2003,snd_mfx_1005_CL,snd_mfx_1005_CL,2003,205,0,0,0,0,0,0,0,18,0,1498838400
2004,1,200,10808,2004,snd_mfx_1008_CL,snd_mfx_1008_CL,2004,208,0,0,0,0,0,0,0,18,0,1498838400
2005,1,200,10503,2005,snd_mfx_1005_CL,snd_mfx_1005_CL,2005,205,0,0,0,0,0,0,0,16,0,1498838400
2006,1,200,10504,2006,snd_mfx_1005_CL,snd_mfx_1005_CL,2006,205,0,0,0,0,0,0,0,18,0,1498838400
2007,1,200,10704,2007,snd_mfx_1006_CL,snd_mfx_1006_CL,2007,206,0,0,0,0,0,0,0,18,0,1498838400
2008,1,200,10902,2008,snd_mfx_1008_CL,snd_mfx_1008_CL,2008,208,0,0,0,0,0,0,0,18,0,1498838400
2009,1,200,10909,2009,snd_mfx_1008_CL,snd_mfx_1008_CL,2009,208,0,0,0,0,0,0,0,16,0,1498838400
2010,1,200,10503,2010,snd_mfx_1005_CL,snd_mfx_1005_CL,2010,205,0,0,0,0,0,0,0,16,0,1498838400
2011,1,200,10506,2011,snd_mfx_1005_CL,snd_mfx_1005_CL,2011,205,0,0,0,0,0,0,0,16,0,1498838400
2012,1,200,10903,2012,snd_mfx_1008_CL,snd_mfx_1008_CL,2012,208,0,0,0,0,0,0,0,18,0,1498838400
2013,1,200,10502,2013,snd_mfx_1005_CL,snd_mfx_1005_CL,2013,205,0,0,0,0,0,0,0,16,0,1498838400
2014,1,200,10805,2014,snd_mfx_1008_CL,snd_mfx_1008_CL,2014,208,0,0,0,0,0,0,0,18,0,1498838400
2015,1,200,10604,2015,snd_mfx_1005_CL,snd_mfx_1005_CL,2015,205,0,0,0,0,0,0,0,18,0,1498838400
2016,1,200,10606,2016,snd_mfx_1005_CL,snd_mfx_1005_CL,2016,205,0,0,0,0,0,0,0,18,0,1498838400
2017,1,200,10808,2017,snd_mfx_1008_CL,snd_mfx_1008_CL,2017,208,0,0,0,0,0,0,0,18,0,1498838400
2018,1,200,10601,2018,snd_mfx_1005_CL,snd_mfx_1005_CL,2018,205,0,0,0,0,0,0,0,18,0,1498838400
2019,1,200,10607,2019,snd_mfx_1005_CL,snd_mfx_1005_CL,2019,205,0,0,0,0,0,0,0,18,0,1498838400
2020,1,200,10104,2020,snd_mfx_1004_CL,snd_mfx_1004_CL,2020,204,0,0,0,0,0,0,0,16,0,1498838400
2021,1,200,10901,2021,snd_mfx_1008_CL,snd_mfx_1008_CL,2021,208,0,0,0,0,0,0,0,16,0,1498838400
2022,1,200,10904,2022,snd_mfx_1008_CL,snd_mfx_1008_CL,2022,208,0,0,0,0,0,0,0,18,0,1498838400
2023,1,200,10505,2023,snd_mfx_1005_CL,snd_mfx_1005_CL,2023,205,0,0,0,0,0,0,0,18,0,1498838400
2024,1,200,10907,2024,snd_mfx_1008_CL,snd_mfx_1008_CL,2024,208,0,0,0,0,0,0,0,18,0,1498838400
2025,1,200,10505,2025,snd_mfx_1005_CL,snd_mfx_1005_CL,2025,205,0,0,0,0,0,0,0,18,0,1498838400
2026,1,200,10603,2026,snd_mfx_1005_CL,snd_mfx_1005_CL,2026,205,0,0,0,0,0,0,0,18,0,1498838400
2027,1,200,10809,2027,snd_mfx_1008_CL,snd_mfx_1008_CL,2027,208,0,0,0,0,0,0,0,18,0,1498838400
2028,1,200,10603,2028,snd_mfx_1005_CL,snd_mfx_1005_CL,2028,205,0,0,0,0,0,0,0,18,0,1498838400
2029,1,200,10803,2029,snd_mfx_1008_CL,snd_mfx_1008_CL,2029,208,0,0,0,0,0,0,0,18,0,1498838400
2030,1,200,10601,2030,snd_mfx_1005_CL,snd_mfx_1005_CL,2030,205,0,0,0,0,0,0,0,18,0,1498838400
2031,1,200,10607,2031,snd_mfx_1005_CL,snd_mfx_1005_CL,2031,205,0,0,0,0,0,0,0,18,0,1498838400
2032,1,200,10805,2032,snd_mfx_1008_CL,snd_mfx_1008_CL,2032,208,0,0,0,0,0,0,0,18,0,1498838400
2033,1,200,10507,2033,snd_mfx_1005_CL,snd_mfx_1005_CL,2033,205,0,0,0,0,0,0,0,16,0,1498838400
2034,1,200,10902,2034,snd_mfx_1008_CL,snd_mfx_1008_CL,2034,208,0,0,0,0,0,0,0,18,0,1498838400
2035,1,200,10503,2010,snd_mfx_1005_CL,snd_mfx_1005_CL,2010,205,0,0,0,0,0,0,0,5,0,1498838400
2036,1,200,11102,2036,snd_mfx_1015_CL,snd_mfx_1015_CL,2036,215,0,0,100,0,0,0,0,16,1,1660878000
2037,1,200,11101,2037,snd_mfx_1015_CL,snd_mfx_1015_CL,2037,215,0,0,100,0,0,0,0,16,1,1660878000
2038,1,200,11303,2038,snd_mfx_1016_CL,snd_mfx_1016_CL,2038,231,0,0,103,0,0,0,0,14,1,1660878000
2039,1,200,11303,2039,snd_mfx_1016_CL,snd_mfx_1016_CL,2039,231,0,0,103,0,0,0,0,14,1,1660878000
2040,1,200,11404,2040,snd_mfx_1017_CL,snd_mfx_1017_CL,2040,232,0,0,104,0,0,0,0,14,1,1660878000
2041,1,200,11403,2041,snd_mfx_1017_CL,snd_mfx_1017_CL,2041,232,0,0,104,0,0,0,0,14,1,1660878000
3001,1,300,10805,3001,snd_mfx_1008_CL,snd_mfx_1008_CL,3001,208,0,0,0,0,0,0,0,18,0,1498838400
3002,1,300,10504,3002,snd_mfx_1005_CL,snd_mfx_1005_CL,3002,205,0,0,0,0,0,0,0,18,0,1498838400
3003,1,300,10805,3003,snd_mfx_1008_CL,snd_mfx_1008_CL,3003,208,0,0,0,0,0,0,0,18,0,1498838400
3004,1,300,10502,3004,snd_mfx_1005_CL,snd_mfx_1005_CL,3004,205,0,0,0,0,0,0,0,16,0,1498838400
3005,1,300,10704,3005,snd_mfx_1006_CL,snd_mfx_1006_CL,3005,206,0,0,0,0,0,0,0,18,0,1498838400
3006,1,300,10504,3006,snd_mfx_1005_CL,snd_mfx_1005_CL,3006,205,0,0,0,0,0,0,0,18,0,1498838400
3007,1,300,10801,3007,snd_mfx_1008_CL,snd_mfx_1008_CL,3007,208,0,0,0,0,0,0,0,18,0,1498838400
3008,1,300,10610,3008,snd_mfx_1005_CL,snd_mfx_1005_CL,3008,205,0,0,0,0,0,0,0,16,0,1498838400
3009,1,300,10806,3009,snd_mfx_1008_CL,snd_mfx_1008_CL,3009,208,0,0,0,0,0,0,0,18,0,1498838400
3010,1,300,10602,3010,snd_mfx_1005_CL,snd_mfx_1005_CL,3010,205,0,0,0,0,0,0,0,18,0,1498838400
3011,1,300,10602,3011,snd_mfx_1005_CL,snd_mfx_1005_CL,3011,205,0,0,0,0,0,0,0,18,0,1498838400
3012,1,300,10603,3012,snd_mfx_1005_CL,snd_mfx_1005_CL,3012,205,0,0,0,0,0,0,0,18,0,1498838400
3013,1,300,10803,3013,snd_mfx_1008_CL,snd_mfx_1008_CL,3013,208,0,0,0,0,0,0,0,18,0,1498838400
3014,1,300,10608,3014,snd_mfx_1005_CL,snd_mfx_1005_CL,3014,205,0,0,0,0,0,0,0,18,0,1498838400
3015,1,300,11002,3015,snd_mfx_1006_CL,snd_mfx_1006_CL,3015,206,0,0,0,0,0,0,0,16,0,1498838400
3016,1,300,10903,3016,snd_mfx_1008_CL,snd_mfx_1008_CL,3016,208,0,0,0,0,0,0,0,18,0,1498838400
3017,1,300,10902,3017,snd_mfx_1008_CL,snd_mfx_1008_CL,3017,208,0,0,0,0,0,0,0,18,0,1498838400
3018,1,200,10903,3018,snd_mfx_1008_CL,snd_mfx_1008_CL,3018,208,0,0,0,0,0,0,0,18,0,1498838400
3019,1,300,10501,3019,snd_mfx_1005_CL,snd_mfx_1005_CL,3019,205,0,0,0,0,0,0,0,16,0,1498838400
3020,1,300,10503,3020,snd_mfx_1005_CL,snd_mfx_1005_CL,3020,205,0,0,0,0,0,0,0,16,0,1498838400
3021,1,300,10702,3021,snd_mfx_1006_CL,snd_mfx_1006_CL,3021,206,0,0,0,0,0,0,0,18,0,1498838400
3022,1,300,10503,3022,snd_mfx_1005_CL,snd_mfx_1005_CL,3022,205,0,0,0,0,0,0,0,16,0,1498838400
3023,1,300,10904,3023,snd_mfx_1008_CL,snd_mfx_1008_CL,3023,208,0,0,0,0,0,0,0,18,0,1498838400
3024,1,300,10509,3024,snd_mfx_1005_CL,snd_mfx_1005_CL,3024,205,0,0,0,0,0,0,0,16,0,1498838400
3025,1,300,10502,3025,snd_mfx_1005_CL,snd_mfx_1005_CL,3025,205,0,0,0,0,0,0,0,16,0,1498838400
3026,1,300,10912,3026,snd_mfx_1008_CL,snd_mfx_1008_CL,3026,208,0,0,0,0,0,0,0,16,0,1498838400
3027,1,300,10402,3027,snd_mfx_1007_CL,snd_mfx_1007_CL,3027,207,0,0,0,0,0,0,0,16,0,1498838400
3028,1,300,10307,3028,snd_mfx_1007_CL,snd_mfx_1007_CL,3028,207,0,0,0,0,0,0,0,18,0,1498838400
3029,1,300,10815,3029,snd_mfx_1008_CL,snd_mfx_1008_CL,3029,208,0,0,0,0,0,0,0,16,0,1498838400
3030,1,300,10905,3030,snd_mfx_1008_CL,snd_mfx_1008_CL,3030,208,0,0,0,0,0,0,0,16,0,1498838400
3031,1,300,10905,3031,snd_mfx_1008_CL,snd_mfx_1008_CL,3031,208,0,0,0,0,0,0,0,16,0,1498838400
3032,1,300,10603,3032,snd_mfx_1005_CL,snd_mfx_1005_CL,3032,205,0,0,0,0,0,0,0,18,0,1498838400
3033,1,300,10611,3033,snd_mfx_1005_CL,snd_mfx_1005_CL,3033,205,0,0,0,0,0,0,0,16,0,1498838400
3034,1,300,10202,3034,snd_mfx_1004_CL,snd_mfx_1004_CL,3034,204,0,0,0,0,0,0,0,16,0,1498838400
3035,1,300,10701,3035,snd_mfx_1006_CL,snd_mfx_1006_CL,3035,206,0,0,0,0,0,0,0,18,0,1498838400
3036,1,300,10402,3036,snd_mfx_1007_CL,snd_mfx_1007_CL,3036,207,0,0,0,0,0,0,0,16,0,1498838400
