id,race_type,race_instance_id,grade,single_mode_route_race_id,single_mode_program_id,difficulty,paddock_bgm_cue_name,paddock_bgm_cuesheet_name,entrytable_bgm_cue_name,entrytable_bgm_cuesheet_name,first_bgm_pattern,second_bgm_pattern,result_cutin_bgm_cue_name_1,result_cutin_bgm_cuesheet_name_1,result_cutin_bgm_cue_name_2,result_cutin_bgm_cuesheet_name_2,result_cutin_bgm_cue_name_3,result_cutin_bgm_cuesheet_name_3,result_list_bgm_cue_name_1,result_list_bgm_cuesheet_name_1,result_list_bgm_cue_name_2,result_list_bgm_cuesheet_name_2,result_list_bgm_cue_name_3,result_list_bgm_cuesheet_name_3
1,4,700401,-1,-1,-1,-1,snd_bgm_GM002_paddock_01,snd_bgm_GM002,snd_bgm_AM019_entrytable_01,snd_bgm_AM019,12,13,snd_bgm_GM037_jingle,snd_bgm_GM037,snd_bgm_GM037_jingle_short,snd_bgm_GM037,snd_bgm_GM036_jingle,snd_bgm_GM036,snd_bgm_GM037_loop,snd_bgm_GM037,snd_bgm_GM037_loop,snd_bgm_GM037,snd_bgm_GM036_loop,snd_bgm_GM036
2,4,200901,-1,-1,-1,-1,snd_bgm_SM012_paddock_02,snd_bgm_SM012,snd_bgm_AM003_entrytable_01,snd_bgm_AM003,8,9,snd_bgm_GM037_jingle,snd_bgm_GM037,snd_bgm_GM037_jingle_short,snd_bgm_GM037,snd_bgm_GM036_jingle,snd_bgm_GM036,snd_bgm_GM037_loop,snd_bgm_GM037,snd_bgm_GM037_loop,snd_bgm_GM037,snd_bgm_GM036_loop,snd_bgm_GM036
3,4,202701,-1,-1,-1,-1,snd_bgm_SM012_paddock_02,snd_bgm_SM012,snd_bgm_AM003_entrytable_01,snd_bgm_AM003,8,9,snd_bgm_GM037_jingle,snd_bgm_GM037,snd_bgm_GM037_jingle_short,snd_bgm_GM037,snd_bgm_GM036_jingle,snd_bgm_GM036,snd_bgm_GM037_loop,snd_bgm_GM037,snd_bgm_GM037_loop,snd_bgm_GM037,snd_bgm_GM036_loop,snd_bgm_GM036
4,4,700301,-1,-1,-1,-1,snd_bgm_SM012_paddock_02,snd_bgm_SM012,snd_bgm_AM003_entrytable_01,snd_bgm_AM003,8,9,snd_bgm_GM037_jingle,snd_bgm_GM037,snd_bgm_GM037_jingle_short,snd_bgm_GM037,snd_bgm_GM036_jingle,snd_bgm_GM036,snd_bgm_GM037_loop,snd_bgm_GM037,snd_bgm_GM037_loop,snd_bgm_GM037,snd_bgm_GM036_loop,snd_bgm_GM036
5,4,701301,-1,-1,-1,-1,snd_bgm_GM022_paddock_02,snd_bgm_GM022,snd_bgm_DM022_entrytable,snd_bgm_DM022,1,2,snd_bgm_GM004_jingle,snd_bgm_GM004,snd_bgm_GM037_jingle_short,snd_bgm_GM037,snd_bgm_GM036_jingle,snd_bgm_GM036,snd_bgm_GM004_loop,snd_bgm_GM004,snd_bgm_GM037_loop,snd_bgm_GM037,snd_bgm_GM036_loop,snd_bgm_GM036
6,4,700101,-1,-1,-1,-1,snd_bgm_GM002_paddock_01,snd_bgm_GM002,snd_bgm_AM019_entrytable_01,snd_bgm_AM019,12,13,snd_bgm_GM037_jingle,snd_bgm_GM037,snd_bgm_GM037_jingle_short,snd_bgm_GM037,snd_bgm_GM036_jingle,snd_bgm_GM036,snd_bgm_GM037_loop,snd_bgm_GM037,snd_bgm_GM037_loop,snd_bgm_GM037,snd_bgm_GM036_loop,snd_bgm_GM036
7,4,201101,-1,-1,-1,-1,snd_bgm_SM012_paddock_02,snd_bgm_SM012,snd_bgm_AM003_entrytable_01,snd_bgm_AM003,8,9,snd_bgm_GM037_jingle,snd_bgm_GM037,snd_bgm_GM037_jingle_short,snd_bgm_GM037,snd_bgm_GM036_jingle,snd_bgm_GM036,snd_bgm_GM037_loop,snd_bgm_GM037,snd_bgm_GM037_loop,snd_bgm_GM037,snd_bgm_GM036_loop,snd_bgm_GM036
8,6,102301,-1,-1,-1,-1,snd_bgm_GM022_paddock_02,snd_bgm_GM022,snd_bgm_DM022_entrytable,snd_bgm_DM022,1,2,snd_bgm_GM004_jingle,snd_bgm_GM004,snd_bgm_GM037_jingle_short,snd_bgm_GM037,snd_bgm_GM036_jingle,snd_bgm_GM036,snd_bgm_GM004_loop,snd_bgm_GM004,snd_bgm_GM037_loop,snd_bgm_GM037,snd_bgm_GM036_loop,snd_bgm_GM036
9,6,101001,-1,-1,-1,-1,snd_bgm_GM022_paddock_02,snd_bgm_GM022,snd_bgm_DM022_entrytable,snd_bgm_DM022,1,2,snd_bgm_GM004_jingle,snd_bgm_GM004,snd_bgm_GM037_jingle_short,snd_bgm_GM037,snd_bgm_GM036_jingle,snd_bgm_GM036,snd_bgm_GM004_loop,snd_bgm_GM004,snd_bgm_GM037_loop,snd_bgm_GM037,snd_bgm_GM036_loop,snd_bgm_GM036
10,6,-1,-1,-1,1082,-1,snd_bgm_GM022_paddock_02,snd_bgm_GM022,snd_bgm_DM022_entrytable,snd_bgm_DM022,1,2,snd_bgm_GM004_jingle,snd_bgm_GM004,snd_bgm_GM037_jingle_short,snd_bgm_GM037,snd_bgm_GM036_jingle,snd_bgm_GM036,snd_bgm_GM004_loop,snd_bgm_GM004,snd_bgm_GM037_loop,snd_bgm_GM037,snd_bgm_GM036_loop,snd_bgm_GM036
