id,cutin_category,card_id,chara_id,extension_sec,extension_sec_long
1,1,0,0,10000,10000
2,3,100101,0,23333,91666
3,3,100201,0,26000,81666
4,3,100301,0,24000,76666
5,3,100401,0,24666,76000
6,3,100601,0,26000,73666
7,3,100701,0,23333,23000
8,3,100801,0,23333,23000
9,3,100901,0,23333,23000
10,3,101001,0,25000,63333
11,3,101101,0,23333,23000
12,3,101301,0,26333,73000
13,3,101401,0,23333,23000
14,3,101701,0,24666,84333
15,3,101801,0,23333,23000
16,3,102401,0,23333,23000
17,3,102701,0,23333,23000
18,3,103001,0,23666,70666
19,3,103201,0,23333,23000
20,3,103501,0,23333,23000
21,3,104101,0,23333,23000
22,3,104501,0,23333,23000
23,3,105201,0,23333,23000
24,3,105601,0,23333,23000
25,3,106001,0,23333,23000
26,3,106101,0,23333,23000
27,2,0,1001,11666,11666
28,2,0,1002,11666,11666
29,2,0,1003,11666,11666
30,2,0,1004,11666,11666
31,2,0,1006,11666,11666
32,2,0,1007,11666,11666
33,2,0,1008,11666,11666
34,2,0,1009,11666,11666
35,2,0,1010,11666,11666
36,2,0,1011,11666,11666
37,2,0,1013,11666,11666
38,2,0,1014,11666,11666
39,2,0,1017,11666,11666
40,2,0,1018,11666,11666
41,2,0,1024,11666,11666
42,2,0,1027,11666,11666
43,2,0,1030,11666,11666
44,2,0,1032,11666,11666
45,2,0,1035,11666,11666
46,2,0,1041,11666,11666
47,2,0,1045,11666,11666
48,2,0,1052,11666,11666
49,2,0,1056,11666,11666
50,2,0,1060,11666,11666
51,2,0,1061,11666,11666
52,3,101501,0,25333,91666
53,2,0,1015,11666,11666
54,3,102601,0,29000,90000
55,2,0,1026,11666,11666
56,3,102301,0,12333,88333
57,2,0,1023,11666,11666
58,3,100302,0,24000,94666
59,3,101302,0,27000,94666
60,3,103801,0,23000,94666
61,2,0,1038,11666,11666
62,3,105001,0,23000,107000
63,2,0,1050,11666,11666
64,3,104601,0,24333,99666
65,2,0,1046,11666,11666
66,3,101601,0,30666,92000
67,2,0,1016,11666,11666
68,3,101802,0,32666,101000
69,3,102402,0,23000,94333
70,3,102001,0,26666,94000
71,2,0,1020,11666,11666
72,3,101201,0,25000,93333
73,2,0,1012,11666,11666
74,3,101102,0,26666,94666
75,3,101402,0,26666,97666
76,3,100501,0,26333,105000
77,2,0,1005,11666,11666
78,3,104001,0,30666,96666
79,2,0,1040,11666,11666
80,3,100102,0,41333,95000
81,3,100402,0,26666,94666
82,3,105801,0,40000,94666
83,2,0,1058,11666,11666
84,3,103701,0,31666,94333
85,2,0,1037,11666,11666
86,3,105602,0,29333,94666
87,3,102801,0,26666,94666
88,2,0,1028,11666,11666
89,3,101901,0,33333,93333
90,2,0,1019,11666,11666
91,3,103002,0,27333,94666
92,3,104502,0,35333,96666
93,3,103901,0,37333,94666
94,2,0,1039,11666,11666
95,3,102501,0,27333,94666
96,2,0,1025,11666,11666
97,3,101702,0,29000,92666
98,3,104002,0,35666,100000
99,3,104801,0,52333,94666
100,2,0,1048,11666,11666
101,3,105901,0,23000,99666
102,2,0,1059,11666,11666
103,3,102302,0,32333,95000
104,3,100602,0,23000,99666
105,3,102201,0,26000,89000
106,2,0,1022,11666,11666
107,3,102101,0,21000,88666
108,2,0,1021,11666,11666
109,3,101502,0,23000,94666
110,3,105202,0,19333,108000
111,3,106901,0,30000,101333
112,2,0,1069,11666,11666
113,3,102602,0,21333,98000
114,3,103702,0,27333,95666
115,3,107101,0,31666,95666
116,2,0,1071,11666,11666
117,3,103301,0,31000,94666
118,2,0,1033,11666,11666
119,3,106201,0,24666,24666
120,2,0,1062,11666,11666
121,3,106801,0,26666,99666
122,2,0,1068,11666,11666
123,3,106701,0,28333,99666
124,2,0,1067,11666,11666
125,3,107401,0,34333,100333
126,2,0,1074,11666,11666
127,3,100502,0,27000,99666
128,3,102002,0,23333,95000
129,3,105101,0,33333,96000
130,2,0,1051,11666,11666
131,3,107201,0,26333,94666
132,2,0,1072,11666,11666
133,3,106002,0,23333,96666
134,3,106102,0,23333,91333
135,3,103101,0,26666,95333
136,2,0,1031,11666,11666
137,3,106401,0,25000,94333
138,2,0,1064,11666,11666
139,3,103802,0,32333,94666
140,3,102202,0,27000,94333
141,3,103401,0,26666,91666
142,2,0,1034,11666,11666
143,3,104401,0,23333,95000
144,2,0,1044,11666,11666
145,3,101002,0,32000,92666
146,3,105902,0,26666,98000
147,3,103601,0,23000,91000
148,2,0,1036,11666,11666
149,3,100103,0,23333,43333
150,3,9100101,0,154333,154333
151,3,9101101,0,120000,120000
152,3,101303,0,25000,94666
153,3,100702,0,23000,100666
154,3,105301,0,23000,93666
155,2,0,1053,11666,11666
156,3,109801,0,27333,96333
