id,bgm_time_1,bgm_cue_name_1,bgm_cuesheet_name_1,bgm_time_2,bgm_cue_name_2,bgm_cuesheet_name_2,bgm_time_3,bgm_cue_name_3,bgm_cuesheet_name_3,bgm_time_4,bgm_cue_name_4,bgm_cuesheet_name_4,bgm_time_5,bgm_cue_name_5,bgm_cuesheet_name_5,bgm_time_6,bgm_cue_name_6,bgm_cuesheet_name_6,bgm_time_7,bgm_cue_name_7,bgm_cuesheet_name_7,bgm_time_8,bgm_cue_name_8,bgm_cuesheet_name_8,bgm_time_9,bgm_cue_name_9,bgm_cuesheet_name_9,bgm_time_10,bgm_cue_name_10,bgm_cuesheet_name_10,bgm_time_11,bgm_cue_name_11,bgm_cuesheet_name_11,bgm_time_12,bgm_cue_name_12,bgm_cuesheet_name_12,bgm_time_13,bgm_cue_name_13,bgm_cuesheet_name_13,bgm_time_14,bgm_cue_name_14,bgm_cuesheet_name_14,bgm_time_15,bgm_cue_name_15,bgm_cuesheet_name_15,bgm_time_16,bgm_cue_name_16,bgm_cuesheet_name_16,bgm_time_17,bgm_cue_name_17,bgm_cuesheet_name_17,bgm_time_18,bgm_cue_name_18,bgm_cuesheet_name_18,bgm_time_19,bgm_cue_name_19,bgm_cuesheet_name_19,bgm_time_20,bgm_cue_name_20,bgm_cuesheet_name_20,bgm_time_21,bgm_cue_name_21,bgm_cuesheet_name_21,bgm_time_22,bgm_cue_name_22,bgm_cuesheet_name_22,bgm_time_23,bgm_cue_name_23,bgm_cuesheet_name_23,bgm_time_24,bgm_cue_name_24,bgm_cuesheet_name_24,bgm_time_25,bgm_cue_name_25,bgm_cuesheet_name_25,bgm_time_26,bgm_cue_name_26,bgm_cuesheet_name_26,bgm_time_27,bgm_cue_name_27,bgm_cuesheet_name_27,bgm_time_28,bgm_cue_name_28,bgm_cuesheet_name_28,bgm_time_29,bgm_cue_name_29,bgm_cuesheet_name_29,bgm_time_30,bgm_cue_name_30,bgm_cuesheet_name_30
1,99,snd_bgm_DM029A_race_short,snd_bgm_DM029,999,snd_bgm_DM029A_race_full,snd_bgm_DM029,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
2,10,snd_bgm_DM029B_race_ls_01,snd_bgm_DM029B_race_ls_01,13,snd_bgm_DM029B_race_ls_02,snd_bgm_DM029B_race_ls_02,15,snd_bgm_DM029B_race_ls_03,snd_bgm_DM029B_race_ls_03,18,snd_bgm_DM029B_race_ls_04,snd_bgm_DM029B_race_ls_04,21,snd_bgm_DM029B_race_ls_05,snd_bgm_DM029B_race_ls_05,23,snd_bgm_DM029B_race_ls_06,snd_bgm_DM029B_race_ls_06,26,snd_bgm_DM029B_race_ls_07,snd_bgm_DM029B_race_ls_07,29,snd_bgm_DM029B_race_ls_08,snd_bgm_DM029B_race_ls_08,32,snd_bgm_DM029B_race_ls_09,snd_bgm_DM029B_race_ls_09,35,snd_bgm_DM029B_race_ls_10,snd_bgm_DM029B_race_ls_10,38,snd_bgm_DM029B_race_ls_11,snd_bgm_DM029B_race_ls_11,41,snd_bgm_DM029B_race_ls_12,snd_bgm_DM029B_race_ls_12,43,snd_bgm_DM029B_race_ls_13,snd_bgm_DM029B_race_ls_13,46,snd_bgm_DM029B_race_ls_14,snd_bgm_DM029B_race_ls_14,49,snd_bgm_DM029B_race_ls_15,snd_bgm_DM029B_race_ls_15,51,snd_bgm_DM029B_race_ls_16,snd_bgm_DM029B_race_ls_16,54,snd_bgm_DM029B_race_ls_17,snd_bgm_DM029B_race_ls_17,57,snd_bgm_DM029B_race_ls_18,snd_bgm_DM029B_race_ls_18,60,snd_bgm_DM029B_race_ls_19,snd_bgm_DM029B_race_ls_19,62,snd_bgm_DM029B_race_ls_20,snd_bgm_DM029B_race_ls_20,99,snd_bgm_DM029B_race_ls_99,snd_bgm_DM029B_race_ls_99,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
3,999,snd_bgm_DM029A_race_tutorial,snd_bgm_DM029,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
4,10,snd_bgm_DM029B_race_ls_01_tutorial,snd_bgm_DM029B_race_ls_01,13,snd_bgm_DM029B_race_ls_02_tutorial,snd_bgm_DM029B_race_ls_02,15,snd_bgm_DM029B_race_ls_03_tutorial,snd_bgm_DM029B_race_ls_03,18,snd_bgm_DM029B_race_ls_04_tutorial,snd_bgm_DM029B_race_ls_04,21,snd_bgm_DM029B_race_ls_05_tutorial,snd_bgm_DM029B_race_ls_05,23,snd_bgm_DM029B_race_ls_06_tutorial,snd_bgm_DM029B_race_ls_06,26,snd_bgm_DM029B_race_ls_07_tutorial,snd_bgm_DM029B_race_ls_07,29,snd_bgm_DM029B_race_ls_08_tutorial,snd_bgm_DM029B_race_ls_08,32,snd_bgm_DM029B_race_ls_09_tutorial,snd_bgm_DM029B_race_ls_09,35,snd_bgm_DM029B_race_ls_10_tutorial,snd_bgm_DM029B_race_ls_10,38,snd_bgm_DM029B_race_ls_11_tutorial,snd_bgm_DM029B_race_ls_11,41,snd_bgm_DM029B_race_ls_12_tutorial,snd_bgm_DM029B_race_ls_12,43,snd_bgm_DM029B_race_ls_13_tutorial,snd_bgm_DM029B_race_ls_13,46,snd_bgm_DM029B_race_ls_14_tutorial,snd_bgm_DM029B_race_ls_14,49,snd_bgm_DM029B_race_ls_15_tutorial,snd_bgm_DM029B_race_ls_15,51,snd_bgm_DM029B_race_ls_16_tutorial,snd_bgm_DM029B_race_ls_16,54,snd_bgm_DM029B_race_ls_17_tutorial,snd_bgm_DM029B_race_ls_17,57,snd_bgm_DM029B_race_ls_18_tutorial,snd_bgm_DM029B_race_ls_18,60,snd_bgm_DM029B_race_ls_19_tutorial,snd_bgm_DM029B_race_ls_19,62,snd_bgm_DM029B_race_ls_20_tutorial,snd_bgm_DM029B_race_ls_20,99,snd_bgm_DM029B_race_ls_99_tutorial,snd_bgm_DM029B_race_ls_99,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
5,999,snd_bgm_GM038_race_full,snd_bgm_GM038,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
6,10,snd_bgm_GM039_race_ls_01,snd_bgm_GM039_race_ls_01,13,snd_bgm_GM039_race_ls_02,snd_bgm_GM039_race_ls_02,15,snd_bgm_GM039_race_ls_03,snd_bgm_GM039_race_ls_03,18,snd_bgm_GM039_race_ls_04,snd_bgm_GM039_race_ls_04,21,snd_bgm_GM039_race_ls_05,snd_bgm_GM039_race_ls_05,23,snd_bgm_GM039_race_ls_06,snd_bgm_GM039_race_ls_06,26,snd_bgm_GM039_race_ls_07,snd_bgm_GM039_race_ls_07,29,snd_bgm_GM039_race_ls_08,snd_bgm_GM039_race_ls_08,31,snd_bgm_GM039_race_ls_09,snd_bgm_GM039_race_ls_09,34,snd_bgm_GM039_race_ls_10,snd_bgm_GM039_race_ls_10,37,snd_bgm_GM039_race_ls_11,snd_bgm_GM039_race_ls_11,39,snd_bgm_GM039_race_ls_12,snd_bgm_GM039_race_ls_12,42,snd_bgm_GM039_race_ls_13,snd_bgm_GM039_race_ls_13,44,snd_bgm_GM039_race_ls_14,snd_bgm_GM039_race_ls_14,47,snd_bgm_GM039_race_ls_15,snd_bgm_GM039_race_ls_15,50,snd_bgm_GM039_race_ls_16,snd_bgm_GM039_race_ls_16,52,snd_bgm_GM039_race_ls_17,snd_bgm_GM039_race_ls_17,55,snd_bgm_GM039_race_ls_18,snd_bgm_GM039_race_ls_18,58,snd_bgm_GM039_race_ls_19,snd_bgm_GM039_race_ls_19,60,snd_bgm_GM039_race_ls_20,snd_bgm_GM039_race_ls_20,99,snd_bgm_GM039_race_ls_99,snd_bgm_GM039_race_ls_99,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
7,10,snd_bgm_GM039_race_ls_01_daily,snd_bgm_GM039_race_ls_01,13,snd_bgm_GM039_race_ls_02_daily,snd_bgm_GM039_race_ls_02,15,snd_bgm_GM039_race_ls_03_daily,snd_bgm_GM039_race_ls_03,18,snd_bgm_GM039_race_ls_04_daily,snd_bgm_GM039_race_ls_04,21,snd_bgm_GM039_race_ls_05_daily,snd_bgm_GM039_race_ls_05,23,snd_bgm_GM039_race_ls_06_daily,snd_bgm_GM039_race_ls_06,26,snd_bgm_GM039_race_ls_07_daily,snd_bgm_GM039_race_ls_07,29,snd_bgm_GM039_race_ls_08_daily,snd_bgm_GM039_race_ls_08,31,snd_bgm_GM039_race_ls_09_daily,snd_bgm_GM039_race_ls_09,34,snd_bgm_GM039_race_ls_10_daily,snd_bgm_GM039_race_ls_10,37,snd_bgm_GM039_race_ls_11_daily,snd_bgm_GM039_race_ls_11,39,snd_bgm_GM039_race_ls_12_daily,snd_bgm_GM039_race_ls_12,42,snd_bgm_GM039_race_ls_13_daily,snd_bgm_GM039_race_ls_13,44,snd_bgm_GM039_race_ls_14_daily,snd_bgm_GM039_race_ls_14,47,snd_bgm_GM039_race_ls_15_daily,snd_bgm_GM039_race_ls_15,50,snd_bgm_GM039_race_ls_16_daily,snd_bgm_GM039_race_ls_16,52,snd_bgm_GM039_race_ls_17_daily,snd_bgm_GM039_race_ls_17,55,snd_bgm_GM039_race_ls_18_daily,snd_bgm_GM039_race_ls_18,58,snd_bgm_GM039_race_ls_19_daily,snd_bgm_GM039_race_ls_19,60,snd_bgm_GM039_race_ls_20_daily,snd_bgm_GM039_race_ls_20,99,snd_bgm_GM039_race_ls_99_daily,snd_bgm_GM039_race_ls_99,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
8,72,snd_bgm_GM003_race_short,snd_bgm_GM003,999,snd_bgm_GM003_race_full,snd_bgm_GM003,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
9,9,snd_bgm_GM040_race_ls_01,snd_bgm_GM040_race_ls_01,12,snd_bgm_GM040_race_ls_02,snd_bgm_GM040_race_ls_02,15,snd_bgm_GM040_race_ls_03,snd_bgm_GM040_race_ls_03,18,snd_bgm_GM040_race_ls_04,snd_bgm_GM040_race_ls_04,21,snd_bgm_GM040_race_ls_05,snd_bgm_GM040_race_ls_05,23,snd_bgm_GM040_race_ls_06,snd_bgm_GM040_race_ls_06,26,snd_bgm_GM040_race_ls_07,snd_bgm_GM040_race_ls_07,29,snd_bgm_GM040_race_ls_08,snd_bgm_GM040_race_ls_08,32,snd_bgm_GM040_race_ls_09,snd_bgm_GM040_race_ls_09,35,snd_bgm_GM040_race_ls_10,snd_bgm_GM040_race_ls_10,38,snd_bgm_GM040_race_ls_11,snd_bgm_GM040_race_ls_11,41,snd_bgm_GM040_race_ls_12,snd_bgm_GM040_race_ls_12,44,snd_bgm_GM040_race_ls_13,snd_bgm_GM040_race_ls_13,47,snd_bgm_GM040_race_ls_14,snd_bgm_GM040_race_ls_14,50,snd_bgm_GM040_race_ls_15,snd_bgm_GM040_race_ls_15,53,snd_bgm_GM040_race_ls_16,snd_bgm_GM040_race_ls_16,56,snd_bgm_GM040_race_ls_17,snd_bgm_GM040_race_ls_17,59,snd_bgm_GM040_race_ls_18,snd_bgm_GM040_race_ls_18,62,snd_bgm_GM040_race_ls_19,snd_bgm_GM040_race_ls_19,65,snd_bgm_GM040_race_ls_20,snd_bgm_GM040_race_ls_20,68,snd_bgm_GM040_race_ls_21,snd_bgm_GM040_race_ls_21,71,snd_bgm_GM040_race_ls_22,snd_bgm_GM040_race_ls_22,99,snd_bgm_GM040_race_ls_99,snd_bgm_GM040_race_ls_99,0,,,0,,,0,,,0,,,0,,,0,,,0,,
10,73,snd_bgm_GM041_race_short,snd_bgm_GM041,999,snd_bgm_GM041_race_full,snd_bgm_GM041,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
