grade,race_id,bib_color,font_color
100,1004,0,2
100,1005,0,2
100,1006,0,1
100,1009,0,2
100,1010,4,0
100,1015,0,2
100,0,0,1
200,0,1,1
300,0,2,1
100,1107,0,2
100,1108,0,2
100,1109,2,2
100,1110,0,2
200,2036,0,2
200,2037,0,2
200,2038,0,2
200,2039,0,2
200,2040,0,2
200,2041,0,2
300,3071,0,2
300,3072,0,2
300,3073,0,2
300,3074,0,2
300,3075,1,2
300,3076,0,2
300,3077,0,2
400,4096,3,2
400,4099,3,2
400,4002,3,2
400,4007,3,2
400,4009,3,2
400,4012,3,2
400,4014,3,2
400,4018,3,2
400,4032,3,2
400,4020,3,2
400,4024,3,2
400,4027,3,2
400,4035,3,2
400,4043,3,2
400,4045,3,2
400,4039,3,2
400,4054,3,2
400,4056,3,2
400,4006,3,2
400,4003,3,2
400,4008,3,2
400,4011,3,2
400,4015,3,2
400,4023,3,2
400,4021,3,2
400,4026,3,2
400,4030,3,2
400,4031,3,2
400,4037,3,2
400,4036,3,2
400,4038,3,2
400,4040,3,2
400,4046,3,2
400,4048,3,2
400,4044,3,2
400,4049,3,2
400,4051,3,2
400,4058,3,2
400,4061,3,2
400,4062,3,2
400,4063,3,2
400,4066,3,2
400,4071,3,2
400,4079,3,2
400,4081,3,2
400,4084,3,2
400,4090,3,2
400,4091,3,2
400,4092,3,2
400,4094,3,2
400,4095,3,2
400,4098,3,2
400,4100,3,2
400,4101,3,2
400,4102,3,2
400,4104,3,2
400,4106,3,2
400,4107,3,2
400,4109,3,2
400,4110,3,2
400,4111,3,2
400,4113,3,2
400,4116,3,2
400,0,3,1
700,0,3,1
0,0,4,0
