id,season,weather,ground,rate
1,1,1,1,54600000
2,1,1,2,5400000
3,1,2,1,23400000
4,1,2,2,6600000
5,1,3,3,5500000
6,1,3,4,4500000
7,2,1,1,54600000
8,2,1,2,5400000
9,2,2,1,23400000
10,2,2,2,6600000
11,2,3,3,5500000
12,2,3,4,4500000
13,3,1,1,54600000
14,3,1,2,5400000
15,3,2,1,23400000
16,3,2,2,6600000
17,3,3,3,5500000
18,3,3,4,4500000
19,4,1,1,50050000
20,4,1,2,4950000
21,4,2,1,24960000
22,4,2,2,7040000
23,4,3,3,4400000
24,4,3,4,3600000
25,4,4,2,150000
26,4,4,3,4850000
27,5,1,1,54600000
28,5,1,2,5400000
29,5,2,1,23400000
30,5,2,2,6600000
31,5,3,3,5500000
32,5,3,4,4500000
