id,race_track_id,season,weather,timezone,resource
1,10001,1,1,1,112
2,10001,1,1,2,112
3,10001,1,1,3,113
4,10001,1,1,4,113
5,10001,1,2,1,122
6,10001,1,2,2,122
7,10001,1,2,3,123
8,10001,1,2,4,123
9,10001,1,3,1,132
10,10001,1,3,2,132
11,10001,1,3,3,133
12,10001,1,3,4,133
13,10001,1,4,1,132
14,10001,1,4,2,132
15,10001,1,4,3,133
16,10001,1,4,4,133
17,10001,2,1,1,212
18,10001,2,1,2,212
19,10001,2,1,3,213
20,10001,2,1,4,213
21,10001,2,2,1,222
22,10001,2,2,2,222
23,10001,2,2,3,223
24,10001,2,2,4,223
25,10001,2,3,1,232
26,10001,2,3,2,232
27,10001,2,3,3,233
28,10001,2,3,4,233
29,10001,2,4,1,232
30,10001,2,4,2,232
31,10001,2,4,3,233
32,10001,2,4,4,233
33,10001,3,1,1,312
34,10001,3,1,2,312
35,10001,3,1,3,313
36,10001,3,1,4,313
37,10001,3,2,1,322
38,10001,3,2,2,322
39,10001,3,2,3,323
40,10001,3,2,4,323
41,10001,3,3,1,332
42,10001,3,3,2,332
43,10001,3,3,3,333
44,10001,3,3,4,333
45,10001,3,4,1,332
46,10001,3,4,2,332
47,10001,3,4,3,333
48,10001,3,4,4,333
49,10001,4,1,1,412
50,10001,4,1,2,412
51,10001,4,1,3,413
52,10001,4,1,4,413
53,10001,4,2,1,422
54,10001,4,2,2,422
55,10001,4,2,3,423
56,10001,4,2,4,423
57,10001,4,3,1,432
58,10001,4,3,2,432
59,10001,4,3,3,433
60,10001,4,3,4,433
61,10001,4,4,1,442
62,10001,4,4,2,442
63,10001,4,4,3,443
64,10001,4,4,4,443
65,10001,5,1,1,512
66,10001,5,1,2,512
67,10001,5,1,3,513
68,10001,5,1,4,513
69,10001,5,2,1,522
70,10001,5,2,2,522
71,10001,5,2,3,523
72,10001,5,2,4,523
73,10001,5,3,1,532
74,10001,5,3,2,532
75,10001,5,3,3,533
76,10001,5,3,4,533
77,10001,5,4,1,532
78,10001,5,4,2,532
79,10001,5,4,3,533
80,10001,5,4,4,533
81,10002,1,1,1,112
82,10002,1,1,2,112
83,10002,1,1,3,113
84,10002,1,1,4,113
