id,fence_1,fence_2,fence_3,fence_4,fence_5,fence_6,fence_7,fence_8
10101,2,0,0,0,0,0,0,0
10102,1,0,0,0,0,0,0,0
10103,0,0,0,0,0,0,0,0
10104,3,0,0,0,0,0,0,0
10105,0,0,0,0,0,0,0,0
10106,0,0,0,0,0,0,0,0
10107,0,0,0,0,0,0,0,0
10108,0,0,0,0,0,0,0,0
10201,0,0,0,0,0,0,0,0
10202,2,0,0,0,0,0,0,0
10203,0,0,0,0,0,0,0,0
10204,1,0,0,0,0,0,0,0
10205,0,0,0,0,0,0,0,0
10206,0,0,0,0,0,0,0,0
10207,0,0,0,0,0,0,0,0
10208,0,0,0,0,0,0,0,0
10301,1,2,0,0,0,0,0,0
10302,3,0,0,0,0,0,0,0
10303,3,4,6,0,0,0,0,0
10304,2,5,0,0,0,0,0,0
10305,2,5,0,0,0,0,0,0
10306,3,6,8,0,0,0,0,0
10307,2,4,5,6,0,0,0,0
10308,2,3,6,8,0,0,0,0
10309,1,2,3,6,8,0,0,0
10310,4,7,0,0,0,0,0,0
10311,8,0,0,0,0,0,0,0
10312,8,0,0,0,0,0,0,0
10401,3,0,0,0,0,0,0,0
10402,2,3,0,0,0,0,0,0
10403,2,3,0,0,0,0,0,0
10404,2,3,0,0,0,0,0,0
10405,1,4,0,0,0,0,0,0
10406,3,0,0,0,0,0,0,0
10407,3,0,0,0,0,0,0,0
10501,5,10,0,0,0,0,0,0
10502,1,2,4,5,0,0,0,0
10503,8,9,0,0,0,0,0,0
10504,8,9,0,0,0,0,0,0
10505,2,4,5,0,0,0,0,0
10506,3,5,9,0,0,0,0,0
10507,3,9,0,0,0,0,0,0
10508,7,8,0,0,0,0,0,0
10509,9,0,0,0,0,0,0,0
10510,9,0,0,0,0,0,0,0
10511,9,0,0,0,0,0,0,0
10601,6,0,0,0,0,0,0,0
10602,1,6,0,0,0,0,0,0
10603,6,0,0,0,0,0,0,0
10604,2,3,4,6,8,0,0,0
10605,3,6,0,0,0,0,0,0
10606,3,6,0,0,0,0,0,0
10607,3,6,0,0,0,0,0,0
10608,3,6,0,0,0,0,0,0
10609,6,0,0,0,0,0,0,0
10610,6,0,0,0,0,0,0,0
10611,1,5,7,0,0,0,0,0
10612,6,0,0,0,0,0,0,0
10613,6,0,0,0,0,0,0,0
10614,3,6,0,0,0,0,0,0
10701,4,0,0,0,0,0,0,0
10702,1,4,0,0,0,0,0,0
10703,2,4,0,0,0,0,0,0
10704,4,0,0,0,0,0,0,0
10705,3,4,0,0,0,0,0,0
10706,4,0,0,0,0,0,0,0
10707,1,5,0,0,0,0,0,0
10708,4,0,0,0,0,0,0,0
10709,4,0,0,0,0,0,0,0
10801,1,0,0,0,0,0,0,0
10802,1,0,0,0,0,0,0,0
10803,2,0,0,0,0,0,0,0
10804,1,7,0,0,0,0,0,0
10805,2,3,7,0,0,0,0,0
10806,2,7,0,0,0,0,0,0
10807,1,7,0,0,0,0,0,0
10808,2,7,0,0,0,0,0,0
10809,2,4,7,0,0,0,0,0
10810,2,7,0,0,0,0,0,0
10811,2,7,0,0,0,0,0,0
10812,0,0,0,0,0,0,0,0
10813,5,6,0,0,0,0,0,0
10814,7,0,0,0,0,0,0,0
10815,7,0,0,0,0,0,0,0
10901,1,8,0,0,0,0,0,0
10902,1,6,8,0,0,0,0,0
10903,2,8,0,0,0,0,0,0
10904,2,8,0,0,0,0,0,0
10905,1,7,8,0,0,0,0,0
10906,1,7,8,0,0,0,0,0
10907,2,7,8,0,0,0,0,0
10908,2,7,8,0,0,0,0,0
10909,1,7,8,0,0,0,0,0
10910,8,0,0,0,0,0,0,0
10911,3,6,8,0,0,0,0,0
10912,7,8,0,0,0,0,0,0
10913,4,5,7,0,0,0,0,0
10914,1,2,7,8,0,0,0,0
11001,1,0,0,0,0,0,0,0
11002,0,0,0,0,0,0,0,0
11003,2,0,0,0,0,0,0,0
11004,2,0,0,0,0,0,0,0
11005,2,0,0,0,0,0,0,0
11006,0,0,0,0,0,0,0,0
11007,0,0,0,0,0,0,0,0
11101,1,2,0,0,0,0,0,0
11102,1,2,0,0,0,0,0,0
11103,1,2,0,0,0,0,0,0
11201,0,0,0,0,0,0,0,0
11202,0,0,0,0,0,0,0,0
11203,0,0,0,0,0,0,0,0
11301,1,2,0,0,0,0,0,0
11401,1,2,0,0,0,0,0,0
11501,1,2,0,0,0,0,0,0
