id,mode,sub_mode,sub_mode_jump,situation,sub_situation,situation_end,disable_reentry_situation,trigger0,trigger1,trigger2,trigger3,trigger4,trigger5,trigger6,trigger7,trigger8,trigger9,message_group,comment_group,priority,per,immediate,discard,tension,camera_id,camera_horse1,camera_horse2,disable_reuse
23,1,1,2,60,0,0,1,390,0,0,0,0,0,0,0,0,0,100800,0,1000,100,0,0,1,0,0,0,0
24,1,1,2,60,0,0,1,91,0,0,0,0,0,0,0,0,0,100804,0,1000,100,0,0,1,0,0,0,0
25,1,1,2,60,0,0,1,784,0,0,0,0,0,0,0,0,0,100804,0,1100,100,0,0,1,0,0,0,0
27,1,3,4,61,0,0,1,391,0,0,0,0,0,0,0,0,0,300802,0,1000,100,0,0,1,0,0,0,0
28,1,3,4,61,0,0,1,92,0,0,0,0,0,0,0,0,0,100804,0,1000,100,0,0,1,0,0,0,0
30,1,5,6,62,0,0,1,91,0,0,0,0,0,0,0,0,0,300805,0,1000,100,0,0,1,0,0,0,0
32,1,5,6,62,0,0,1,92,0,0,0,0,0,0,0,0,0,300806,0,1000,100,0,0,1,0,0,0,0
34,1,5,6,62,0,0,1,93,0,0,0,0,0,0,0,0,0,300807,0,1000,100,0,0,1,0,0,0,0
36,1,5,6,62,0,0,1,784,0,0,0,0,0,0,0,0,0,300805,0,1100,100,0,0,1,0,0,0,0
37,1,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100999,0,1000,100,0,0,1,0,0,0,0
38,3,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102000,0,1000,100,0,0,1,0,0,0,0
41,3,1,-1,0,0,0,0,160,0,0,0,0,0,0,0,0,0,302001,0,1000,100,0,0,1,0,0,0,0
42,3,1,-1,1,0,0,0,160,97,0,0,0,0,0,0,0,0,302001,0,1100,100,0,0,1,0,0,0,0
43,3,1,-1,2,0,0,0,164,1357,0,0,0,0,0,0,0,0,102002,0,1100,100,0,0,1,0,0,0,0
44,3,1,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,102003,0,800,100,0,0,1,0,0,0,0
46,3,1,-1,3,0,0,0,843,0,0,0,0,0,0,0,0,0,302006,0,1100,100,0,0,1,0,0,0,0
48,3,1,-1,4,0,0,0,841,115,0,0,0,0,0,0,0,0,302004,0,1000,100,0,0,1,0,0,0,0
49,3,1,-1,5,0,0,0,842,0,0,0,0,0,0,0,0,0,302005,0,900,100,0,0,1,0,0,0,0
50,4,0,-1,43,0,0,1,2171,143,0,0,0,0,0,0,0,0,303003,0,1200,100,0,0,1,101009,10,11,1
51,4,0,-1,0,0,0,0,2171,146,0,0,0,0,0,0,0,0,103018,0,1300,100,0,0,1,101003,10,0,0
53,4,1,-1,9,0,1,1,2171,115,0,0,0,0,0,0,0,0,303015,0,5000,100,0,0,1,101008,41,0,0
54,4,1,-1,9,0,1,1,2171,116,113,187,0,0,0,0,0,0,117001,0,5000,100,0,0,1,101008,1,0,0
55,4,1,-1,9,0,1,1,2171,673,1198,1245,0,0,0,0,0,0,303017,0,1000,100,0,0,1,101007,3,0,0
58,4,1,-1,0,0,0,0,2171,111,1245,0,0,0,0,0,0,0,103016,0,1000,100,0,0,1,101007,3,0,0
60,6,0,-1,7,0,1,1,143,0,0,0,0,0,0,0,0,0,305000,0,1000,100,0,0,2,0,0,0,0
61,6,0,-1,7,0,1,1,133,0,0,0,0,0,0,0,0,0,305001,0,1000,100,0,0,2,0,0,0,0
62,6,0,-1,6,0,0,0,1263,1184,0,0,0,0,0,0,0,0,115400,0,900,100,0,0,2,103001,11,0,0
63,6,0,-1,6,0,0,0,1263,1187,0,0,0,0,0,0,0,0,115401,0,900,100,0,0,2,103001,11,0,0
