id,group_id,message,voice,per,message_group,omit_tag
1,100000,名勝負になる舞台は整いましたね,%w_0.3|1000101,100,0,0
2,0,バ場が乾いているので\n足元が滑るかもしれませんね,1000201,100,0,0
3,100002,このくらいのバ場のほうが\n合っているウマ娘もいますからね,1000301,100,0,0
4,100003,このくらい引き締まったバ場ですと\nスピードに乗りやすいですよ,1000401,100,0,0
5,100004,天気、もってくれるといいですね,%w_0.3|1000501,100,0,0
6,100005,日本のコースは水はけが良いですからね,1000601,100,0,0
7,100006,雨が本格化したら\n難しいレースになってしまいそうですね,%w_0.3|1000701,100,0,0
8,100007,スピードは出しやすいですが\n脚への負担が心配です,%w_0.3|1000801,100,0,0
9,100008,ここまで重たいバ場だと\n得意、不得意が出てきちゃいますね,%w_0.3|1000901,100,0,0
10,100009,かなり苦労するバ場ですね\nコース取りにも注意です,1001001,100,0,0
11,100010,こんなに荒れていると\nレース展開が読みにくいですよ,%w_0.1|1001101,100,0,0
12,100011,これは相当走りにくそうなバ場状態ですね,1001201,100,0,0
13,100012,雪がどれだけ影響するか、心配です,1001301,100,0,0
14,100013,雪も考慮して走らないといけないですね,1001401,100,0,0
15,100014,雪化粧と言えば聞こえはいいですが\n走る娘たちにすればやっかいですね,1001501,100,0,0
16,100015,この雪は敵か味方か\nウマ娘たちの適性が試されます,1001601,100,0,0
18,100016,気合充分！　いい顔してますね！,1001801,100,0,0
19,100016,火花散らすデッドヒートに期待しましょう,1001901,100,0,0
20,100016,私が一番期待しているウマ娘\n気合い入れてほしいですね！,1002001|1002002,100,0,0
22,100021,さすがスタートに定評のあるふたりですね,1002201,100,0,0
23,100022,このスタートの良さが彼女の強さですね,1002301,100,0,0
24,100022,完璧なスタートでしたね,1002401,100,0,0
25,100024,みんな出方をうかがったのかもしれませんね,1002501,100,0,0
26,100025,みんな集中してましたね\n好レースが期待できそうです,1002601,100,0,0
28,100027,出遅れた娘の巻き返しに期待しましょう,1002801,100,0,0
43,100043,%h_player\n軽やかな走りをしていますね,%h_player|1004001,100,0,0
44,100043,%h_player\n軽快にレースを運んでいますね,%h_player|1004101,100,0,0
45,100044,いいライバル関係になりそうですね,1004201,100,0,0
59,100059,まだこれからですよ\n頑張ってほしいですね！,1004601|1004602,100,0,0
60,100059,ちょっと厳しい位置ですが\nここからの巻き返しに期待です,1004603|1004604,100,0,0
61,100059,まだこれからですよ\nここからの巻き返しに期待です,1004601|1004604,100,0,0
62,100059,ちょっと厳しい位置ですが\n頑張ってほしいですね！,1004603|1004602,100,0,0
67,100066,互いに牽制しあっていますからね\n仕掛けるタイミングで\n明暗が分かれそうです,1004801,100,0,0
68,100067,緊張感のあるいい展開ですね\nただ、ペース配分には\n気を付けたいところでしょうか,1004901,100,0,0
70,100069,これは大胆な作戦！\n完全に予想外でした！,1005003|1005004,100,0,0
72,100069,これは大胆な作戦！\n波乱の展開になりそうです！,1005003|1005002,100,0,0
73,100072,%h_rank1、\n彼女の脚質にはあっていますね,%h_rank1|1005101,100,0,0
75,100074,この位置なら周囲の様子をうかがえます\n冷静にレースを進めてますね,1005301,100,0,0
76,100075,これはきっと作戦でしょう\n彼女には爆発的な末脚があります！,1005401,100,0,0
78,100077,最近、近くの神社への\n恋愛祈願が流行っているらしいですよ,1005601,100,0,0
79,100078,バ場状態を確認しながら走っている感じですね\nまだ本気ではないですよ,1005701,100,0,0
84,100083,ちょっと掛かり気味かもしれないです\nひと息つけるといいですが,1005901|1005902,100,0,0
85,100083,掛かってしまっているかもしれません\n息を入れるタイミングがあればいいですが,1005903|1005904,100,0,0
86,100083,ちょっと掛かり気味かもしれないです\n息を入れるタイミングがあればいいですが,1005901|1005904,100,0,0
87,100083,掛かってしまっているかもしれません\nひと息つけるといいですが,1005903|1005902,100,0,0
88,100087,ちょっと苦しいけど大丈夫\nここからが彼女の実力の見せどころです！,%w_0.05|1006001,100,0,0
89,100088,これだけ密集していると\nまぎれがありそうですね,1006101,100,0,0
90,100089,仕掛けどころの難しいレースになりそうですね,1006201,100,0,0
121,100120,焦っているみたいですね\n前との距離が気になるのでしょうか,2008701,100,0,0
222,100221,勝負所、最後の直線へと駆けていきます！,1017601,100,0,0
256,100276,ちょっと前に出ましたね,2021001,100,0,0
1040,100000,充分に実力を出せるレースとなりそうですね,%w_0.1|1008201,100,0,0
1041,100000,各ウマ娘の好走が期待できます,%w_0.1|1008301,100,0,0
1042,100001,バ場が乾いていますから\n力のいるレースになりそうですね,1008401,100,0,0
1043,100001,ダート巧者の実力が\n遺憾なく発揮できそうですね,1008501,100,0,0
1044,100021,このふたりのレース運びに注目ですね,1008601,100,0,0
1045,100021,ふたりのペースに\n後続がどう対応するか注目です,1008701,100,0,0
1046,100025,これは位置取りが熾烈になりそうですね,1008801,100,0,0
1047,100025,誰が先頭に抜け出すか、注目しましょう,1008901,100,0,0
1050,100044,ふたりがレースを作りそうですね,1009301,100,0,0
1051,100044,ハイペースで流れる展開もありえますね,1009401,100,0,0
1052,100075,直線勝負に賭けているんでしょう\n終盤に期待です！,1009501,100,0,0
1053,100088,前に抜け出すのは容易じゃなさそうです,1009601,100,0,0
1054,100088,お互いに牽制し合っているようですね,1009701,100,0,0
1055,100089,各自、自分のペースを保っているようですね,%w_0.1|1009801,100,0,0
1056,100089,後方のウマ娘が差し返せるのか\n気になる開きです,1009901,100,0,0
1057,100221,内からくるか、外からくるか！\n最後の局面です！,1010001,100,0,0
1058,100221,ウマ娘たちがどう動くか\n目が離せません！,1010101,100,0,0
1059,100221,ここからスパート！\n一気にレースが動きます！,1010201,100,0,0
1060,100276,スタミナを切らさないか心配です,1010301,100,0,0
1061,100276,冷静さを取り戻せるといいのですが,1010401,100,0,0
1062,112592,これだけ密集していると\nまぎれがありそうですね,1006101,100,0,0
1063,112592,前に抜け出すのは容易じゃなさそうです,1009601,100,0,0
2001,150001,ダート界のスター誕生を期待したいですね,%w_0.3|0000001,100,0,0
2002,150002,春のスプリント王候補筆頭はズバリこの娘ですね,%w_0.3|0000002,100,0,0
2003,150003,春の三冠・一冠目を制して\n実力を証明してほしいですね,%w_0.3|0000003,100,0,0
2004,150004,トリプルティアラの一冠目を制して\nみごと桜の女王となってほしいですね,%w_0.3|0000004,100,0,0
2005,150005,クラシック三冠の一冠目を制する\n最も「はやい」ウマ娘は彼女かもしれませんね,%w_0.3|0000005,100,0,0
2006,150006,現役最強の実力を見せつけて\n春の盾を手にしてほしいですね,%w_0.3|0000006,100,0,0
2007,150007,新緑の府中で新生マイル王の座を\n手にしてほしいですね,%w_0.3|0000007,100,0,0
2008,150008,勝利の女神をあっと言わせる走りを\n見せてほしいですね,%w_0.3|0000008,100,0,0
2009,150009,トリプルティアラの二冠目\n樫の女王の栄冠を勝ち取ってほしいですね,%w_0.3|0000009,100,0,0
