id,condition_type_1,condition_value_1,condition_type_2,condition_value_2,condition_type_3,condition_value_3,cuesheet_name,cuesheet_id,cuesheet_type
1,1,1,2,6,0,0,9999926,0,2
2,1,1,2,6,0,0,9999926,0,2
3,1,1,2,6,0,0,9999926,0,2
4,1,1,2,6,0,0,9999926,0,2
5,1,1,2,6,0,0,9999926,0,2
6,1,1,2,6,0,0,9999926,0,2
7,1,1,2,6,0,0,9999926,0,2
8,1,1,2,6,0,0,9999926,0,2
9,1,1,2,6,0,0,9999926,0,2
10,1,1,0,0,0,0,0,0,2
11,1,1,2,6,0,0,9999926,0,2
12,1,1,2,6,0,0,9999926,0,2
13,1,1,2,6,0,0,9999926,0,2
14,1,1,2,6,0,0,9999926,0,2
15,1,1,0,0,0,0,0,0,2
16,1,1,2,6,0,0,9999926,0,2
17,1,1,2,6,0,0,9999926,0,2
18,1,1,2,6,0,0,9999926,0,2
19,1,1,0,0,0,0,0,0,2
20,1,1,2,6,0,0,9999926,0,2
21,1,1,2,6,0,0,9999926,0,2
22,1,1,0,0,0,0,0,0,2
23,1,1,0,0,0,0,0,0,2
24,1,1,2,6,0,0,9999926,0,2
25,1,1,2,6,0,0,9999926,0,2
26,1,1,2,6,0,0,9999926,0,2
27,1,1,2,6,0,0,9999926,0,2
28,1,1,2,6,0,0,9999926,0,2
29,1,1,2,6,0,0,9999926,0,2
30,1,1,2,6,0,0,9999926,0,2
31,1,1,0,0,0,0,0,0,2
32,1,1,0,0,0,0,0,0,2
33,1,1,0,0,0,0,0,0,2
34,1,1,0,0,0,0,0,0,2
35,1,1,0,0,0,0,0,0,2
36,1,1,0,0,0,0,0,0,2
37,1,1,0,0,0,0,0,0,2
38,1,1,0,0,0,0,0,0,2
39,1,1,0,0,0,0,0,0,2
40,1,1,0,0,0,0,0,0,2
41,1,1,0,0,0,0,0,0,2
42,1,1,0,0,0,0,0,0,2
43,1,1,0,0,0,0,0,0,2
44,1,1,0,0,0,0,0,0,2
45,1,1,0,0,0,0,0,0,2
46,1,1,0,0,0,0,0,0,2
47,1,1,0,0,0,0,0,0,2
48,1,1,0,0,0,0,0,0,2
49,1,1,0,0,0,0,0,0,2
50,1,1,0,0,0,0,0,0,2
51,1,1,0,0,0,0,0,0,2
52,1,1,0,0,0,0,0,0,2
53,1,1,0,0,0,0,0,0,2
54,1,1,0,0,0,0,0,0,2
55,1,1,0,0,0,0,0,0,2
56,1,1,0,0,0,0,0,0,2
57,1,1,0,0,0,0,0,0,2
58,1,1,0,0,0,0,0,0,2
59,1,1,0,0,0,0,0,0,2
60,1,1,0,0,0,0,0,0,2
61,1,1,0,0,0,0,0,0,2
62,1,1,0,0,0,0,0,0,2
63,1,1,0,0,0,0,0,0,2
64,1,1,0,0,0,0,0,0,2
65,1,1,0,0,0,0,0,0,2
66,1,1,0,0,0,0,0,0,2
67,1,1,0,0,0,0,0,0,2
68,1,1,0,0,0,0,0,0,2
69,1,1,0,0,0,0,0,0,2
70,1,1,0,0,0,0,0,0,2
71,1,1,0,0,0,0,0,0,2
72,1,1,0,0,0,0,0,0,2
73,1,1,0,0,0,0,0,0,2
74,1,1,0,0,0,0,0,0,2
75,1,1,0,0,0,0,0,0,2
76,1,1,0,0,0,0,0,0,2
77,1,1,0,0,0,0,0,0,2
82,1,1,2,6,3,4,9992634,0,2
83,1,1,2,6,3,4,9992634,0,2
84,1,1,2,6,3,4,9992634,0,2
85,1,1,2,6,3,4,9992634,0,2
86,1,1,2,6,3,4,9992634,0,2
87,1,1,2,6,3,4,9992634,0,2
88,1,1,2,6,3,4,9992634,0,2
89,1,1,2,6,3,4,9992634,0,2
90,1,1,2,6,3,4,9992634,0,2
91,1,1,2,6,3,4,9992634,0,2
1010501,1,0,2,6,3,4,9992634,1,2
1010601,1,0,2,6,3,4,9992634,1,2
1010701,1,0,2,6,3,4,9992634,1,2
1010801,1,0,2,6,3,4,9992634,1,2
1010901,1,0,2,6,3,4,9992634,1,2
1011001,1,0,2,6,3,4,9992634,1,2
1011101,1,0,2,6,3,4,9992634,1,2
1011201,1,0,2,6,3,4,9992634,1,2
1011301,1,0,2,6,3,4,9992634,1,2
1011401,1,0,2,6,3,4,9992634,1,2
1011501,1,0,2,6,3,4,9992634,1,2
1000101,1,0,0,0,0,0,1000000,1,2
1000201,1,0,0,0,0,0,1000000,1,2
1000301,1,0,0,0,0,0,1000000,1,2
1000401,1,0,0,0,0,0,1000000,1,2
1000501,1,0,0,0,0,0,1000000,1,2
1000601,1,0,0,0,0,0,1000000,1,2
1000701,1,0,0,0,0,0,1000000,1,2
1000801,1,0,0,0,0,0,1000000,1,2
1000901,1,0,0,0,0,0,1000000,1,2
1001001,1,0,0,0,0,0,1000000,1,2
1001101,1,0,0,0,0,0,1000000,1,2
1001201,1,0,0,0,0,0,1000000,1,2
1001301,1,0,0,0,0,0,1000000,1,2
1001401,1,0,0,0,0,0,1000000,1,2
1001501,1,0,0,0,0,0,1000000,1,2
1001601,1,0,0,0,0,0,1000000,1,2
1001701,1,0,0,0,0,0,1000000,1,2
1001801,1,0,0,0,0,0,1000000,1,2
1001901,1,0,0,0,0,0,1000000,1,2
1002001,1,0,0,0,0,0,1000000,1,2
1002002,1,0,0,0,0,0,1000000,1,2
1002201,1,0,0,0,0,0,1000000,1,2
1002301,1,0,0,0,0,0,1000000,1,2
1002401,1,0,0,0,0,0,1000000,1,2
1002501,1,0,0,0,0,0,1000000,1,2
1002601,1,0,0,0,0,0,1000000,1,2
1002801,1,0,0,0,0,0,1000000,1,2
1004001,1,0,0,0,0,0,1000000,1,2
1004101,1,0,0,0,0,0,1000000,1,2
1004201,1,0,0,0,0,0,1000000,1,2
1004601,1,0,0,0,0,0,1000000,1,2
1004602,1,0,0,0,0,0,1000000,1,2
1004603,1,0,0,0,0,0,1000000,1,2
1004604,1,0,0,0,0,0,1000000,1,2
1004801,1,0,0,0,0,0,1000000,1,2
1004901,1,0,0,0,0,0,1000000,1,2
1005001,1,0,0,0,0,0,1000000,1,2
1005002,1,0,0,0,0,0,1000000,1,2
1005003,1,0,0,0,0,0,1000000,1,2
1005004,1,0,0,0,0,0,1000000,1,2
1005101,1,0,0,0,0,0,1000000,1,2
1005301,1,0,0,0,0,0,1000000,1,2
1005401,1,0,0,0,0,0,1000000,1,2
1005601,1,0,0,0,0,0,1000000,1,2
1005701,1,0,0,0,0,0,1000000,1,2
1005901,1,0,0,0,0,0,1000000,1,2
1005902,1,0,0,0,0,0,1000000,1,2
1005903,1,0,0,0,0,0,1000000,1,2
1005904,1,0,0,0,0,0,1000000,1,2
1006001,1,0,0,0,0,0,1000000,1,2
1006101,1,0,0,0,0,0,1000000,1,2
1006201,1,0,0,0,0,0,1000000,1,2
1008201,1,0,0,0,0,0,1000000,1,2
1008301,1,0,0,0,0,0,1000000,1,2
1008401,1,0,0,0,0,0,1000000,1,2
1008501,1,0,0,0,0,0,1000000,1,2
1008601,1,0,0,0,0,0,1000000,1,2
1008701,1,0,0,0,0,0,1000000,1,2
1008801,1,0,0,0,0,0,1000000,1,2
1008901,1,0,0,0,0,0,1000000,1,2
1009301,1,0,0,0,0,0,1000000,1,2
1009401,1,0,0,0,0,0,1000000,1,2
1009501,1,0,0,0,0,0,1000000,1,2
1009601,1,0,0,0,0,0,1000000,1,2
1009701,1,0,0,0,0,0,1000000,1,2
1009801,1,0,0,0,0,0,1000000,1,2
1009901,1,0,0,0,0,0,1000000,1,2
1010001,1,0,0,0,0,0,1000000,1,2
1010101,1,0,0,0,0,0,1000000,1,2
1010201,1,0,0,0,0,0,1000000,1,2
1010301,1,0,0,0,0,0,1000000,1,2
1010401,1,0,0,0,0,0,1000000,1,2
1017601,1,0,0,0,0,0,1000000,1,2
1026701,1,0,0,0,0,0,1000000,1,2
1026901,1,0,0,0,0,0,1000000,1,2
2008701,1,0,0,0,0,0,2000000,2,2
2021001,1,0,0,0,0,0,2000000,2,2
1,1,1,0,0,0,0,0,0,1
2,1,1,0,0,0,0,0,0,1
3,1,1,0,0,0,0,0,0,1
4,1,1,0,0,0,0,0,0,1
5,1,1,0,0,0,0,0,0,1
6,1,1,0,0,0,0,0,0,1
1000101,1,0,0,0,0,0,1000000,1,1
1000102,1,0,0,0,0,0,1000000,1,1
1000201,1,0,0,0,0,0,1000000,1,1
1000202,1,0,0,0,0,0,1000000,1,1
1000301,1,0,0,0,0,0,1000000,1,1
1000302,1,0,0,0,0,0,1000000,1,1
1000401,1,0,0,0,0,0,1000000,1,1
1000402,1,0,0,0,0,0,1000000,1,1
1000501,1,0,0,0,0,0,1000000,1,1
1000502,1,0,0,0,0,0,1000000,1,1
1000601,1,0,0,0,0,0,1000000,1,1
1000602,1,0,0,0,0,0,1000000,1,1
1000701,1,0,0,0,0,0,1000000,1,1
1000702,1,0,0,0,0,0,1000000,1,1
1000801,1,0,0,0,0,0,1000000,1,1
1000802,1,0,0,0,0,0,1000000,1,1
1000803,1,0,0,0,0,0,1000000,1,1
1000901,1,0,0,0,0,0,1000000,1,1
1001001,1,0,0,0,0,0,1000000,1,1
1001101,1,0,0,0,0,0,1000000,1,1
1001102,1,0,0,0,0,0,1000000,1,1
1001201,1,0,0,0,0,0,1000000,1,1
1001202,1,0,0,0,0,0,1000000,1,1
1001301,1,0,0,0,0,0,1000000,1,1
1001302,1,0,0,0,0,0,1000000,1,1
1001401,1,0,0,0,0,0,1000000,1,1
1001402,1,0,0,0,0,0,1000000,1,1
1001501,1,0,0,0,0,0,1000000,1,1
1001502,1,0,0,0,0,0,1000000,1,1
1001601,1,0,0,0,0,0,1000000,1,1
1001602,1,0,0,0,0,0,1000000,1,1
1001701,1,0,0,0,0,0,1000000,1,1
1001702,1,0,0,0,0,0,1000000,1,1
1001801,1,0,0,0,0,0,1000000,1,1
1001802,1,0,0,0,0,0,1000000,1,1
1001901,1,0,0,0,0,0,1000000,1,1
1001902,1,0,0,0,0,0,1000000,1,1
1002001,1,0,0,0,0,0,1000000,1,1
1002002,1,0,0,0,0,0,1000000,1,1
1002101,1,0,0,0,0,0,1000000,1,1
1002102,1,0,0,0,0,0,1000000,1,1
1002201,1,0,0,0,0,0,1000000,1,1
1002202,1,0,0,0,0,0,1000000,1,1
1002301,1,0,0,0,0,0,1000000,1,1
1002302,1,0,0,0,0,0,1000000,1,1
1002401,1,0,0,0,0,0,1000000,1,1
1002402,1,0,0,0,0,0,1000000,1,1
1002501,1,0,0,0,0,0,1000000,1,1
1002502,1,0,0,0,0,0,1000000,1,1
1002601,1,0,0,0,0,0,1000000,1,1
1002602,1,0,0,0,0,0,1000000,1,1
1002701,1,0,0,0,0,0,1000000,1,1
1002801,1,0,0,0,0,0,1000000,1,1
1002802,1,0,0,0,0,0,1000000,1,1
1002901,1,0,0,0,0,0,1000000,1,1
1003001,1,0,0,0,0,0,1000000,1,1
1003101,1,0,0,0,0,0,1000000,1,1
1003201,1,0,0,0,0,0,1000000,1,1
1003301,1,0,0,0,0,0,1000000,1,1
1003401,1,0,0,0,0,0,1000000,1,1
1003501,1,0,0,0,0,0,1000000,1,1
1003601,1,0,0,0,0,0,1000000,1,1
1003701,1,0,0,0,0,0,1000000,1,1
1003801,1,0,0,0,0,0,1000000,1,1
1003802,1,0,0,0,0,0,1000000,1,1
1003901,1,0,0,0,0,0,1000000,1,1
1003902,1,0,0,0,0,0,1000000,1,1
1003903,1,0,0,0,0,0,1000000,1,1
1003904,1,0,0,0,0,0,1000000,1,1
1003905,1,0,0,0,0,0,1000000,1,1
1003906,1,0,0,0,0,0,1000000,1,1
1004001,1,0,0,0,0,0,1000000,1,1
1004002,1,0,0,0,0,0,1000000,1,1
1004003,1,0,0,0,0,0,1000000,1,1
1004004,1,0,0,0,0,0,1000000,1,1
1004005,1,0,0,0,0,0,1000000,1,1
1004006,1,0,0,0,0,0,1000000,1,1
1004101,1,0,0,0,0,0,1000000,1,1
1004102,1,0,0,0,0,0,1000000,1,1
1004103,1,0,0,0,0,0,1000000,1,1
1004104,1,0,0,0,0,0,1000000,1,1
1004105,1,0,0,0,0,0,1000000,1,1
1004106,1,0,0,0,0,0,1000000,1,1
1004201,1,0,0,0,0,0,1000000,1,1
1004301,1,0,0,0,0,0,1000000,1,1
1004401,1,0,0,0,0,0,1000000,1,1
1004501,1,0,0,0,0,0,1000000,1,1
1004601,1,0,0,0,0,0,1000000,1,1
1004701,1,0,0,0,0,0,1000000,1,1
1004702,1,0,0,0,0,0,1000000,1,1
1004801,1,0,0,0,0,0,1000000,1,1
1004901,1,0,0,0,0,0,1000000,1,1
1005001,1,0,0,0,0,0,1000000,1,1
1005101,1,0,0,0,0,0,1000000,1,1
1005102,1,0,0,0,0,0,1000000,1,1
1005201,1,0,0,0,0,0,1000000,1,1
1005301,1,0,0,0,0,0,1000000,1,1
1005302,1,0,0,0,0,0,1000000,1,1
1005401,1,0,0,0,0,0,1000000,1,1
1005501,1,0,0,0,0,0,1000000,1,1
1005502,1,0,0,0,0,0,1000000,1,1
1005601,1,0,0,0,0,0,1000000,1,1
1005701,1,0,0,0,0,0,1000000,1,1
1005801,1,0,0,0,0,0,1000000,1,1
1005901,1,0,0,0,0,0,1000000,1,1
1006001,1,0,0,0,0,0,1000000,1,1
1006002,1,0,0,0,0,0,1000000,1,1
1006101,1,0,0,0,0,0,1000000,1,1
1006102,1,0,0,0,0,0,1000000,1,1
1006201,1,0,0,0,0,0,1000000,1,1
1006202,1,0,0,0,0,0,1000000,1,1
1006301,1,0,0,0,0,0,1000000,1,1
1006401,1,0,0,0,0,0,1000000,1,1
1006501,1,0,0,0,0,0,1000000,1,1
1006502,1,0,0,0,0,0,1000000,1,1
1006601,1,0,0,0,0,0,1000000,1,1
1006701,1,0,0,0,0,0,1000000,1,1
1006801,1,0,0,0,0,0,1000000,1,1
1006901,1,0,0,0,0,0,1000000,1,1
1007001,1,0,0,0,0,0,1000000,1,1
1007101,1,0,0,0,0,0,1000000,1,1
1007301,1,0,0,0,0,0,1000000,1,1
1007302,1,0,0,0,0,0,1000000,1,1
1007401,1,0,0,0,0,0,1000000,1,1
1007501,1,0,0,0,0,0,1000000,1,1
1007601,1,0,0,0,0,0,1000000,1,1
1007701,1,0,0,0,0,0,1000000,1,1
1007801,1,0,0,0,0,0,1000000,1,1
1007901,1,0,0,0,0,0,1000000,1,1
1007902,1,0,0,0,0,0,1000000,1,1
1008001,1,0,0,0,0,0,1000000,1,1
1008002,1,0,0,0,0,0,1000000,1,1
1008101,1,0,0,0,0,0,1000000,1,1
1008102,1,0,0,0,0,0,1000000,1,1
