id,group_id,message,voice,per,comment_group,reuse,omit_tag
1,100000,晴れわたる空のもと行われる、%course\n%ground%distance%race\n%h_num_noウマ娘たちが挑みます,1000101|%course|%ground|%distance|%race|%h_num_no,100,0,0,0
2,100001,曇り空のもと、%course\n%ground%distance%race\n%h_num_noウマ娘たちが挑みます,1000201|%course|%ground|%distance|%race|%h_num_no,100,0,0,0
3,100002,足元悪い雨の中、%course\n%ground%distance%race\n%h_num_noウマ娘たちが挑みます,1000301|%course|%ground|%distance|%race|%h_num_no,100,0,0,0
5,100004,抜けるような青空のもと%course\n%ground%distance%race\n%h_num_noウマ娘たちが挑みます,1000501|%course|%ground|%distance|%race|%h_num_no,100,0,0,0
6,100005,波乱の香り漂う曇り空のもと行われる\n%course\n%ground%distance%race\n%h_num_noウマ娘たちが挑みます,1000601|%course|%ground|%distance|%race|%h_num_no,100,0,0,0
7,100006,天が与えた試練の雨が、波乱含みの%course\n%ground%distance%race\nいよいよ出走です,1000701|%course|%ground|%distance|%race|1000702,100,0,0,0
8,100007,寒さ続く%course、試練が待ち受けていた\n雪降る%race\n%ground%distance\n勝利にたどりつくのはどのウマ娘だ！,1000801|%course|1000802|%c_0.02|%race|%ground|%distance|1000803,100,0,0,0
9,100008,美しい青空が広がる、%course\nターフも絶好の良バ場になりました！,1001101|%course|1001102,100,100000,0,0
10,100009,輝く太陽のもとに開かれている、%course\n良と発表されたバ場には、砂塵が舞っています,1001201|%course|1001202,100,100001,0,0
11,100010,ゆったりと流れる美しい雲\n青空広がる、%course\n前日に降った雨のため\n絶好とはいえない稍重発表となりました,1001301|%c_0.02|%course|1001302,100,100002,0,0
12,100011,晴天のもとに開催される、%course\n降っては止みを繰り返した天気のため\nバ場状態は稍重の発表です,1001401|%c_0.02|%course|1001402,100,100003,0,0
13,100012,上空には灰色の空が広がる、%course\n天気はなんとか持ちこたえ、良バ場の発表です,1001501|%course|1001502,100,100004,0,0
15,100014,どんよりした雲が空を覆う\n%course\nこの空を映したように芝は稍重の発表となりました,1001701|%c_0.02|%course|1001702,100,100006,0,0
16,100015,時折雨が落ちる、%course\n天の気まぐれにより、\nバ場の引き締まった稍重発表となりました,1001801|%course|1001802,100,100007,0,0
17,100016,あいにくの雨が芝を濡らす、%course\nバ場状態の発表は重となってしまいました,1001901|%course|1001902,100,100008,0,0
18,100017,天から涙がこぼれる、%course\n重バ場発表となってしまったダートで\n過酷なレースが行われることとなりました,1002001|%course|1002002,100,100009,0,0
19,100018,荒れた天候の、%course\n降り続いた雨がバ場状態を悪化させ\n不良の発表となってしまいました,1002101|%course|1002102,100,100010,0,0
20,100019,強い雨の、%course\n雨で濡れた砂はヌルリと滑る\n不良バ場となってしまいました！,1002201|%course|1002202,100,100011,0,0
21,100020,昨日から続く雪がちらつく、%course\n除雪が終わった芝コースの状態は稍重となりました,1002301|%course|1002302,100,100012,0,0
22,100021,曇天から降り注ぐ雪の中、ウマ娘たちは走ります\n%course、ダートコースは稍重の発表です,1002401|%course|1002402,100,100013,0,0
23,100022,舞い散る雪がターフを白く染めあげます\n除雪作業の進むここ、%course\nバ場状態の発表は重です,1002501|%course|1002502,100,100014,0,0
24,100023,灰色の空から舞い散る雪という名の白い天使たち\n%course、ダートコースは重の発表です,1002601|%c_0.05|%course|1002602,100,100015,0,0
