id,command,inequality,horse1,horse2,param1,param2
0,0,0,0,0,0,0
1,2,0,0,0,1,0
2,2,0,0,0,2,0
3,2,0,0,0,3,0
4,2,0,0,0,4,0
5,3,0,0,0,10001,0
6,3,0,0,0,10002,0
7,3,0,0,0,10003,0
8,3,0,0,0,10004,0
9,3,0,0,0,10005,0
10,3,0,0,0,10006,0
11,3,0,0,0,10007,0
12,3,0,0,0,10008,0
13,3,0,0,0,10009,0
14,3,0,0,0,10010,0
15,4,0,0,0,1001,0
16,4,0,0,0,1002,0
17,4,0,0,0,1003,0
18,4,0,0,0,1004,0
19,4,0,0,0,1005,0
20,4,0,0,0,1006,0
21,4,0,0,0,1007,0
22,4,0,0,0,1008,0
23,4,0,0,0,1009,0
24,4,0,0,0,1010,0
25,4,0,0,0,1011,0
26,4,0,0,0,1012,0
27,4,0,0,0,1013,0
28,4,0,0,0,1014,0
29,4,0,0,0,1015,0
30,4,0,0,0,1016,0
31,4,0,0,0,1017,0
32,4,0,0,0,1018,0
33,4,0,0,0,1019,0
34,4,0,0,0,1020,0
35,4,0,0,0,1021,0
36,4,0,0,0,1022,0
37,4,0,0,0,1023,0
38,4,0,0,0,1024,0
39,5,0,0,0,0,2
40,5,0,0,0,100,1
41,5,0,0,0,200,1
42,5,0,0,0,300,1
43,5,0,0,0,400,1
44,5,3,0,0,200,1
45,5,3,0,0,300,1
46,5,0,0,0,200,2
47,5,0,0,0,300,2
48,5,0,0,0,400,2
49,5,0,0,0,500,2
50,5,0,0,0,900,2
51,5,0,0,0,800,2
52,5,0,0,0,100,2
53,5,0,0,0,0,3
54,6,0,0,0,1,0
55,6,0,0,0,2,0
56,7,0,0,0,1,0
57,7,0,0,0,2,0
58,7,0,0,0,3,0
59,7,0,0,0,4,0
60,8,0,0,0,1000,0
61,8,0,0,0,1100,0
62,8,0,0,0,1150,0
63,8,0,0,0,1200,0
64,8,0,0,0,1300,0
65,8,0,0,0,1400,0
66,8,0,0,0,1500,0
67,8,0,0,0,1600,0
68,8,0,0,0,1700,0
69,8,0,0,0,1800,0
70,8,0,0,0,1900,0
71,8,0,0,0,2000,0
72,8,0,0,0,2100,0
73,8,0,0,0,2200,0
74,8,0,0,0,2300,0
75,8,0,0,0,2400,0
76,8,0,0,0,2500,0
77,8,0,0,0,2600,0
78,8,0,0,0,2700,0
79,8,0,0,0,2800,0
80,8,0,0,0,2900,0
81,8,0,0,0,3000,0
82,8,0,0,0,3200,0
83,8,0,0,0,3400,0
84,8,0,0,0,3600,0
85,8,4,0,0,1400,0
86,8,3,0,0,1600,0
87,8,4,0,0,2400,0
88,8,3,0,0,2400,0
89,45,0,0,0,2,0
90,45,0,0,0,3,0
91,9,0,1,0,1,0
92,9,0,1,0,2,0
93,9,0,1,0,3,0
94,9,2,1,0,3,0
95,9,5,1,0,2,0
96,46,0,1,0,0,0
97,10,0,1,0,1,0
98,10,0,1,0,2,0
99,10,0,1,0,3,0
100,10,0,1,0,4,0
101,10,0,1,0,5,0
102,10,0,1,0,6,0
103,10,0,1,0,7,0
104,10,0,1,0,8,0
105,10,0,1,0,9,0
106,10,0,1,0,10,0
107,10,0,1,0,11,0
108,10,0,1,0,12,0
109,10,5,1,0,3,0
110,10,0,41,0,1,0
111,10,2,41,0,2,0
112,10,1,1,0,1,0
113,11,0,1,0,1,0
114,11,1,1,0,1,0
115,11,0,41,0,1,0
116,11,1,41,0,1,0
117,12,0,1,0,0,0
118,12,0,1,0,1,0
119,12,0,1,0,2,0
120,12,0,1,0,3,0
121,12,0,10,0,0,0
122,12,0,10,0,1,0
123,12,0,10,0,2,0
124,12,0,10,0,3,0
125,12,0,11,0,0,0
126,12,0,11,0,1,0
127,12,0,11,0,2,0
128,12,0,11,0,3,0
129,12,0,3,0,0,0
130,12,0,3,0,1,0
131,12,0,3,0,2,0
132,12,0,3,0,3,0
133,14,3,10,11,5,0
134,14,3,10,11,9,0
135,14,3,10,11,11,0
136,14,3,10,11,13,0
137,14,3,10,11,14,0
138,14,3,10,11,15,0
139,14,3,10,11,16,0
140,14,3,10,11,17,0
141,14,3,10,11,18,0
142,14,3,10,11,19,0
143,14,4,10,11,5,0
144,14,4,10,14,5,0
145,14,4,10,12,9,0
146,14,4,10,12,5,0
147,14,4,10,13,5,0
148,14,4,10,11,9,0
149,14,4,10,11,11,0
150,14,4,10,11,13,0
151,14,4,10,11,14,0
152,14,4,10,11,15,0
153,14,4,10,11,16,0
154,14,4,10,11,17,0
155,14,4,10,11,18,0
156,14,4,10,11,19,0
157,14,3,10,11,0,0
158,14,3,10,11,1,0
159,14,3,10,11,2,0
160,14,3,10,11,3,0
161,14,4,10,11,0,0
162,14,4,10,11,1,0
163,14,4,10,11,2,0
