id,parts_type,motion_name,ear_type,use_story
1,1,earI,0,1
2,1,earJ,0,1
3,1,earK,0,1
4,2,shotS01_tail,0,1
5,2,shotL01_tail,0,1
6,2,loopL01_tail,0,1
7,1,earA_act01,2,1
8,1,earA_act02,2,1
9,1,earB_act01,4,1
10,1,earB_act02,4,1
11,1,earD_act01,7,1
12,1,earD_act02,7,1
13,1,earE_act01,8,1
14,1,earE_act02,8,1
15,1,earF_act01,9,1
16,1,earF_act02,9,1
17,1,earG_act01,11,1
18,1,earG_act02,11,1
19,1,earH_act01,12,1
20,1,earH_act02,12,1
1226,2,shotS02_tail,0,0
1227,2,shotS03_tail,0,0
1228,2,loopL02_tail,0,0
1229,2,loopL03_tail,0,0
1230,2,loopL04_tail,0,0
1231,2,loopS01_tail,0,0
1232,2,shotL02_tail,0,0
