id,type,season,priority,start_date,end_date
1,1,1,1,04-21 00:00:00,06-26 23:59:59
2,1,2,1,06-27 00:00:00,09-17 23:59:59
3,1,3,1,09-18 00:00:00,11-30 23:59:59
4,1,4,1,12-01 00:00:00,02-28 23:59:59
5,1,1,1,03-01 00:00:00,03-19 23:59:59
6,1,5,1,03-20 00:00:00,04-20 23:59:59
7,2,1,1,04-21 00:00:00,05-31 23:59:59
8,2,2,1,06-01 00:00:00,09-30 23:59:59
9,2,3,1,10-01 00:00:00,11-30 23:59:59
10,2,4,1,12-01 00:00:00,03-19 23:59:59
11,2,5,1,03-20 00:00:00,04-20 23:59:59
12,3,1,1,04-21 00:00:00,06-30 23:59:59
13,3,2,1,07-01 00:00:00,09-30 23:59:59
14,3,3,1,10-01 00:00:00,11-30 23:59:59
15,3,4,1,12-01 00:00:00,03-19 23:59:59
16,3,5,2,03-20 00:00:00,04-20 23:59:59
22,5,2,1,06-01 00:00:00,09-30 23:59:59
23,5,4,1,10-01 00:00:00,05-31 23:59:59
24,6,1,1,03-20 00:00:00,06-30 23:59:59
25,6,2,1,07-01 00:00:00,09-30 23:59:59
26,6,3,1,10-01 00:00:00,11-30 23:59:59
27,6,4,1,12-01 00:00:00,03-19 23:59:59
28,6,5,2,01-01 00:00:00,01-01 23:59:59
29,6,6,2,02-14 00:00:00,02-14 23:59:59
30,6,7,2,07-07 00:00:00,07-07 23:59:59
31,6,8,2,10-31 00:00:00,10-31 23:59:59
32,6,9,2,12-24 00:00:00,12-25 23:59:59
33,6,10,2,12-28 00:00:00,12-31 23:59:59
