id,chara_id,program_group,program_group_2
1,1001,100,0
2,1002,100,0
3,1003,100,0
4,1004,100,0
5,1005,100,0
6,1006,100,0
7,1007,100,0
8,1008,100,0
9,1009,100,0
10,1010,100,0
11,1011,100,0
12,1012,100,0
13,1014,100,0
14,1015,100,0
15,1016,100,0
16,1017,100,0
17,1018,100,0
18,1019,100,0
19,1020,100,0
20,1021,100,0
21,1022,100,0
22,1023,100,0
23,1024,100,0
24,1025,100,0
25,1026,100,0
26,1028,100,0
27,1029,100,0
29,1032,100,0
30,1033,100,0
31,1034,100,0
32,1035,100,0
33,1036,100,0
34,1037,100,0
35,1038,100,0
36,1039,100,0
37,1040,100,0
38,1041,100,0
39,1042,100,0
40,1043,100,0
41,1044,100,0
42,1045,100,0
43,1046,100,0
44,1047,100,0
45,1048,100,0
46,1049,100,0
47,1050,100,0
48,1051,100,0
49,1052,100,0
50,1053,100,0
51,1054,100,0
52,1055,100,0
53,1056,100,0
54,1057,100,0
55,1058,100,0
56,1059,100,0
57,1060,100,0
58,1061,100,0
59,1013,102,100
60,1013,101,100
61,1027,102,100
62,1027,101,100
63,1030,102,100
64,1030,101,100
65,1001,200,0
66,1002,200,0
67,1003,200,0
68,1004,200,0
69,1005,200,0
70,1006,200,0
71,1007,200,0
72,1008,200,0
73,1009,200,0
74,1010,200,0
75,1011,200,0
76,1012,200,0
77,1013,200,0
78,1014,200,0
79,1015,200,0
80,1016,200,0
81,1017,200,0
82,1018,200,0
83,1019,200,0
84,1020,200,0
85,1021,200,0
86,1022,200,0
87,1023,200,0
88,1024,200,0
89,1025,200,0
90,1026,200,0
91,1027,200,0
92,1028,200,0
93,1029,200,0
94,1030,200,0
95,1031,200,0
96,1032,200,0
97,1033,200,0
98,1034,200,0
99,1035,200,0
100,1036,200,0
101,1037,200,0
102,1038,200,0
103,1039,200,0
104,1040,200,0
105,1041,200,0
106,1042,200,0
107,1043,200,0
108,1044,200,0
109,1045,200,0
110,1046,200,0
111,1047,200,0
112,1048,200,0
113,1049,200,0
114,1050,200,0
115,1051,200,0
116,1052,200,0
117,1053,200,0
118,1054,200,0
119,1055,200,0
120,1056,200,0
122,1058,200,0
123,1059,200,0
124,1061,200,0
125,1060,201,200
126,1001,300,0
127,1002,300,0
128,1003,300,0
129,1005,300,0
130,1006,300,0
131,1007,300,0
132,1008,300,0
133,1009,300,0
134,1010,300,0
135,1011,300,0
136,1012,300,0
137,1013,300,0
138,1014,300,0
139,1015,300,0
140,1016,300,0
141,1017,300,0
142,1018,300,0
143,1019,300,0
144,1020,300,0
145,1021,300,0
146,1022,300,0
147,1023,300,0
148,1024,300,0
149,1025,300,0
150,1026,300,0
151,1027,300,0
152,1028,300,0
153,1029,300,0
154,1030,300,0
155,1031,300,0
156,1032,300,0
157,1033,300,0
158,1034,300,0
159,1035,300,0
160,1036,300,0
161,1037,300,0
162,1038,300,0
163,1039,300,0
164,1040,300,0
165,1041,300,0
166,1042,300,0
167,1043,300,0
168,1044,300,0
169,1045,300,0
170,1046,300,0
171,1047,300,0
172,1048,300,0
173,1049,300,0
174,1050,300,0
175,1051,300,0
176,1052,300,0
177,1053,300,0
178,1054,300,0
179,1055,300,0
180,1056,300,0
181,1057,300,0
182,1058,300,0
183,1059,300,0
184,1060,300,0
185,1061,300,0
186,1004,301,300
187,1003,1001,0
188,1004,1002,0
189,1041,1002,0
190,1011,1003,0
191,1035,1004,0
192,1061,1005,0
193,1008,1005,0
194,1009,1006,0
195,1024,1006,0
196,1060,1006,0
197,1017,1007,0
198,1030,1007,0
199,1007,1008,0
200,1018,1008,0
201,1052,1009,0
202,1010,1010,0
203,1014,1010,0
204,1027,1011,0
205,1006,1012,0
206,1001,1013,0
207,1002,1013,0
208,1013,1013,0
209,1032,1013,0
210,1045,1013,0
211,1056,1013,0
212,1015,1006,0
213,1026,1026,0
214,1023,1012,0
215,1001,400,0
216,1002,400,0
217,1003,400,0
218,1004,400,0
219,1005,400,0
220,1006,400,0
221,1007,400,0
222,1008,400,0
223,1009,400,0
