id,scenario_id,difficulty_id,result_min,result_max,gauge_rate,add_condition_type,add_condition_min,add_condition_max
1,0,1001,0,25,10,0,0,0
2,0,1001,26,50,25,0,0,0
3,0,1001,51,80,50,0,0,0
4,0,1001,81,99,75,0,0,0
5,0,1001,100,100,100,0,0,0
6,0,1003,0,24,10,0,0,0
7,0,1003,25,48,25,0,0,0
8,0,1003,49,72,50,0,0,0
9,0,1003,73,77,75,0,0,0
10,0,1003,78,78,75,2,18,2
11,0,1003,78,78,100,2,1,1
12,4,1003,0,24,10,0,0,0
13,4,1003,25,48,25,0,0,0
14,4,1003,49,72,50,0,0,0
15,4,1003,73,78,75,1,18,2
16,4,1003,73,78,100,1,1,1
