id,chara_id,chara_motion_set_id
1,1001,40000
1,1002,40001
1,1003,40000
1,1004,40002
1,1005,2001
1,1006,40003
1,1007,40004
1,1008,40005
1,1009,40006
1,1010,40007
1,1011,40008
1,1012,28009
1,1013,40009
1,1014,40000
1,1015,40065
1,1016,1016020
1,1017,40010
1,1018,40011
1,1019,26014
1,1020,1020006
1,1021,1021820
1,1022,2002
1,1023,24001
1,1024,40012
1,1025,2001
1,1026,40023
1,1027,40000
1,1028,1028802
1,1029,1029001
1,1030,40013
1,1031,28002
1,1032,40014
1,1033,1033828
1,1034,7009
1,1035,40015
1,1036,1036810
1,1037,1037802
1,1038,3002
1,1039,1039815
1,1040,1040023
1,1041,40016
1,1042,2001
1,1043,1043000
1,1044,1044815
1,1045,40017
1,1046,1046800
1,1047,1047800
1,1048,29002
1,1049,4009
1,1050,1050802
1,1051,1051007
1,1052,40010
1,1053,4009
1,1056,40018
1,1057,29001
1,1058,1058804
1,1059,25009
1,1060,40019
1,1061,40014
1,1062,5009
1,1064,27001
1,1065,2009
1,1066,2009
1,1067,3001
1,1068,1068809
1,1069,2001
1,1071,26001
1,1072,2000
1,1074,4001
1,1078,24001
1,1087,2000
1,1098,3002
1,1099,2001
1,1100,2002
2,1001,40020
2,1002,40021
2,1003,40020
2,1004,40022
2,1005,2001
2,1006,40023
2,1007,40024
2,1008,40025
2,1009,40026
2,1010,40027
2,1011,40028
2,1012,28009
2,1013,40029
2,1014,40020
2,1015,40065
2,1016,1016020
2,1017,40030
2,1018,40031
2,1019,26014
2,1020,1020006
2,1021,1021820
2,1022,2002
2,1023,24001
2,1024,40032
2,1025,2001
2,1026,40023
2,1027,40020
2,1028,1028802
2,1029,1029001
2,1030,40013
2,1031,28002
2,1032,40034
2,1033,1033828
2,1034,7009
2,1035,40035
2,1036,1036810
2,1037,1037802
2,1038,3002
2,1039,1039815
2,1040,1040023
2,1041,40036
2,1042,2001
2,1043,1043000
2,1044,1044815
2,1045,40037
2,1046,1046800
2,1047,1047800
2,1048,29002
2,1049,4009
2,1050,1050802
2,1051,1051007
2,1052,40030
2,1053,4009
2,1056,40038
2,1057,29001
2,1058,1058804
2,1059,25009
2,1060,40039
2,1061,40034
2,1062,5009
2,1064,27001
2,1065,2009
2,1066,2009
2,1067,3001
2,1068,1068809
2,1069,2001
2,1071,26001
2,1072,2000
2,1074,4001
2,1078,24001
2,1087,2000
2,1098,3002
2,1099,2001
2,1100,2002
3,1001,40000
3,1002,40001
3,1003,40000
3,1004,40002
3,1005,2001
3,1006,40003
3,1007,40004
3,1008,40005
3,1009,40006
3,1010,40007
3,1011,40008
3,1012,28009
3,1013,40009
3,1014,40000
3,1015,40065
3,1016,1016020
3,1017,40010
3,1018,40011
3,1019,26014
3,1020,1020006
3,1021,1021820
3,1022,2002
3,1023,24001
3,1024,40012
3,1025,2001
3,1026,40023
3,1027,40000
3,1028,1028802
3,1029,1029001
3,1030,40013
3,1031,28002
3,1032,40014
3,1033,1033828
3,1034,7009
3,1035,40015
3,1036,1036810
3,1037,1037802
3,1038,3002
3,1039,1039815
3,1040,1040023
3,1041,40016
3,1042,2001
3,1043,1043000
3,1044,1044815
3,1045,40017
3,1046,1046800
3,1047,1047800
3,1048,29002
3,1049,4009
3,1050,1050802
3,1051,1051007
3,1052,40010
3,1053,4009
3,1056,40018
3,1057,29001
3,1058,1058804
3,1059,25009
3,1060,40019
3,1061,40014
3,1062,5009
3,1064,27001
3,1065,2009
3,1066,2009
3,1067,3001
3,1068,1068809
3,1069,2001
3,1071,26001
3,1072,2000
3,1074,4001
3,1078,24001
3,1087,2000
3,1098,3002
3,1099,2001
3,1100,2002
4,1001,40040
4,1002,40041
4,1003,40042
4,1004,40043
4,1005,11007
4,1006,40044
4,1007,40045
4,1008,40046
4,1009,40047
4,1010,40048
4,1011,40049
4,1012,1012042
4,1013,40050
4,1014,40051
4,1015,40066
4,1016,1016800
4,1017,40052
4,1018,40053
4,1019,1019817
4,1020,1020018
4,1021,1021821
4,1022,1022005
4,1023,1023008
4,1024,40054
4,1025,1007
4,1026,40067
4,1027,40055
4,1028,1028004
4,1029,1029810
4,1030,40056
4,1031,2007
4,1032,40057
4,1033,3004
4,1034,1034822
4,1035,40058
4,1036,3003
4,1037,1037801
4,1038,1003005
4,1039,1039816
4,1040,1040017
4,1041,40059
4,1042,1042840
4,1043,1043834
4,1044,2003
4,1045,40060
4,1046,1046801
4,1047,1047833
4,1048,1048800
4,1049,3003
4,1050,1050803
4,1051,4007
4,1052,40061
4,1053,5003
4,1056,40062
4,1057,27007
4,1058,3008
4,1059,3005
4,1060,40063
4,1061,40064
4,1062,3014
4,1064,1064800
4,1065,1065801
4,1066,3008
4,1067,2005
4,1068,9005
4,1069,1069820
4,1071,1071820
4,1072,1072004
4,1074,1074800
4,1078,1078816
4,1087,1087834
4,1098,4007
4,1099,1099801
4,1100,3007
