id,fan_set_id,order,fan_count
1,1,1,500
2,1,2,200
3,1,3,125
4,1,4,75
5,1,5,50
6,1,6,45
7,1,7,40
8,1,8,35
9,1,9,30
10,1,10,25
11,1,11,20
12,1,12,15
13,1,13,13
14,1,14,10
15,1,15,8
16,1,16,5
17,1,17,5
18,1,18,5
19,2,1,600
20,2,2,240
21,2,3,150
22,2,4,90
23,2,5,60
24,2,6,54
25,2,7,48
26,2,8,42
27,2,9,36
28,2,10,30
29,2,11,24
30,2,12,18
31,2,13,15
32,2,14,12
33,2,15,9
34,2,16,6
35,2,17,6
36,2,18,6
37,3,1,700
38,3,2,280
39,3,3,175
40,3,4,105
41,3,5,70
42,3,6,63
43,3,7,56
44,3,8,49
45,3,9,42
46,3,10,35
47,3,11,28
48,3,12,21
49,3,13,18
50,3,14,14
51,3,15,11
52,3,16,7
53,3,17,7
54,3,18,7
55,4,1,1400
56,4,2,560
57,4,3,350
58,4,4,210
59,4,5,140
60,4,6,126
61,4,7,112
62,4,8,98
63,4,9,84
64,4,10,70
65,4,11,56
66,4,12,42
67,4,13,35
68,4,14,28
69,4,15,21
70,4,16,14
71,4,17,14
72,4,18,14
73,5,1,1600
74,5,2,640
75,5,3,400
76,5,4,240
77,5,5,160
78,5,6,144
79,5,7,128
80,5,8,112
81,5,9,96
82,5,10,80
83,5,11,64
84,5,12,48
85,5,13,40
86,5,14,32
87,5,15,24
88,5,16,16
89,5,17,16
90,5,18,16
91,6,1,1800
92,6,2,720
93,6,3,450
94,6,4,270
95,6,5,180
96,6,6,162
97,6,7,144
98,6,8,126
99,6,9,108
100,6,10,90
101,6,11,72
102,6,12,54
103,6,13,45
104,6,14,36
105,6,15,27
106,6,16,18
107,6,17,18
108,6,18,18
109,7,1,1820
110,7,2,728
111,7,3,455
112,7,4,273
113,7,5,182
114,7,6,164
115,7,7,146
116,7,8,127
117,7,9,109
118,7,10,91
119,7,11,73
120,7,12,55
121,7,13,46
122,7,14,36
123,7,15,27
124,7,16,18
125,7,17,18
126,7,18,18
127,8,1,1900
128,8,2,760
129,8,3,475
130,8,4,285
131,8,5,190
132,8,6,171
133,8,7,152
134,8,8,133
135,8,9,114
136,8,10,95
137,8,11,76
138,8,12,57
139,8,13,48
140,8,14,38
141,8,15,29
142,8,16,19
143,8,17,19
144,8,18,19
145,9,1,2200
146,9,2,880
147,9,3,550
148,9,4,330
149,9,5,220
150,9,6,198
151,9,7,176
152,9,8,154
153,9,9,132
154,9,10,110
155,9,11,88
156,9,12,66
157,9,13,55
158,9,14,44
159,9,15,33
160,9,16,22
161,9,17,22
162,9,18,22
163,10,1,2300
164,10,2,920
165,10,3,575
166,10,4,345
167,10,5,230
168,10,6,207
169,10,7,184
170,10,8,161
171,10,9,138
172,10,10,115
173,10,11,92
174,10,12,69
175,10,13,58
176,10,14,46
177,10,15,35
178,10,16,23
179,10,17,23
180,10,18,23
181,11,1,2400
182,11,2,960
183,11,3,600
184,11,4,360
185,11,5,240
186,11,6,216
187,11,7,192
188,11,8,168
189,11,9,144
190,11,10,120
191,11,11,96
192,11,12,72
193,11,13,60
194,11,14,48
195,11,15,36
196,11,16,24
197,11,17,24
198,11,18,24
199,12,1,2900
200,12,2,1160
201,12,3,725
202,12,4,435
203,12,5,290
204,12,6,261
205,12,7,232
206,12,8,203
207,12,9,174
208,12,10,145
209,12,11,116
210,12,12,87
211,12,13,73
212,12,14,58
213,12,15,44
214,12,16,29
215,12,17,29
216,12,18,29
217,13,1,3100
218,13,2,1240
219,13,3,775
220,13,4,465
221,13,5,310
222,13,6,279
223,13,7,248
224,13,8,217
225,13,9,186
226,13,10,155
227,13,11,124
228,13,12,93
229,13,13,78
230,13,14,62
231,13,15,47
232,13,16,31
233,13,17,31
234,13,18,31
235,14,1,3300
236,14,2,1320
237,14,3,825
238,14,4,495
239,14,5,330
240,14,6,297
241,14,7,264
242,14,8,231
243,14,9,198
244,14,10,165
245,14,11,132
246,14,12,99
247,14,13,83
248,14,14,66
249,14,15,50
250,14,16,33
251,14,17,33
252,14,18,33
253,15,1,3500
254,15,2,1400
255,15,3,875
256,15,4,525
257,15,5,350
258,15,6,315
259,15,7,280
260,15,8,245
261,15,9,210
262,15,10,175
263,15,11,140
264,15,12,105
265,15,13,88
266,15,14,70
267,15,15,53
268,15,16,35
269,15,17,35
270,15,18,35
271,16,1,3600
272,16,2,1440
273,16,3,900
274,16,4,540
275,16,5,360
276,16,6,324
277,16,7,288
278,16,8,252
279,16,9,216
280,16,10,180
281,16,11,144
282,16,12,108
283,16,13,90
284,16,14,72
285,16,15,54
286,16,16,36
287,16,17,36
288,16,18,36
289,17,1,3800
290,17,2,1520
291,17,3,950
292,17,4,570
293,17,5,380
294,17,6,342
295,17,7,304
296,17,8,266
297,17,9,228
298,17,10,190
299,17,11,152
300,17,12,114
301,17,13,95
302,17,14,76
303,17,15,57
304,17,16,38
305,17,17,38
306,17,18,38
307,18,1,3900
308,18,2,1560
309,18,3,975
310,18,4,585
311,18,5,390
312,18,6,351
313,18,7,312
314,18,8,273
315,18,9,234
316,18,10,195
317,18,11,156
318,18,12,117
319,18,13,98
320,18,14,78
321,18,15,59
322,18,16,39
323,18,17,39
324,18,18,39
325,19,1,4000
326,19,2,1600
327,19,3,1000
328,19,4,600
329,19,5,400
330,19,6,360
331,19,7,320
332,19,8,280
333,19,9,240
334,19,10,200
335,19,11,160
336,19,12,120
337,19,13,100
338,19,14,80
339,19,15,60
340,19,16,40
341,19,17,40
342,19,18,40
343,20,1,4100
344,20,2,1640
345,20,3,1025
346,20,4,615
347,20,5,410
348,20,6,369
349,20,7,328
350,20,8,287
351,20,9,246
352,20,10,205
353,20,11,164
354,20,12,123
355,20,13,103
356,20,14,82
357,20,15,62
358,20,16,41
359,20,17,41
360,20,18,41
361,21,1,5200
362,21,2,2080
363,21,3,1300
364,21,4,780
365,21,5,520
366,21,6,468
367,21,7,416
368,21,8,364
369,21,9,312
370,21,10,260
371,21,11,208
372,21,12,156
373,21,13,130
374,21,14,104
375,21,15,78
376,21,16,52
377,21,17,52
378,21,18,52
379,22,1,5400
380,22,2,2160
381,22,3,1350
382,22,4,810
383,22,5,540
384,22,6,486
385,22,7,432
386,22,8,378
387,22,9,324
388,22,10,270
389,22,11,216
390,22,12,162
391,22,13,135
392,22,14,108
393,22,15,81
394,22,16,54
395,22,17,54
396,22,18,54
397,23,1,5500
398,23,2,2200
399,23,3,1375
400,23,4,825
401,23,5,550
402,23,6,495
403,23,7,440
404,23,8,385
405,23,9,330
406,23,10,275
407,23,11,220
408,23,12,165
409,23,13,138
410,23,14,110
411,23,15,83
412,23,16,55
413,23,17,55
414,23,18,55
415,24,1,5700
416,24,2,2280
417,24,3,1425
418,24,4,855
419,24,5,570
420,24,6,513
421,24,7,456
422,24,8,399
423,24,9,342
424,24,10,285
425,24,11,228
426,24,12,171
427,24,13,143
428,24,14,114
429,24,15,86
430,24,16,57
431,24,17,57
432,24,18,57
433,25,1,5900
434,25,2,2360
435,25,3,1475
436,25,4,885
437,25,5,590
438,25,6,531
439,25,7,472
440,25,8,413
441,25,9,354
442,25,10,295
443,25,11,236
444,25,12,177
445,25,13,148
446,25,14,118
447,25,15,89
448,25,16,59
449,25,17,59
450,25,18,59
451,26,1,6200
452,26,2,2480
453,26,3,1550
454,26,4,930
455,26,5,620
456,26,6,558
457,26,7,496
458,26,8,434
459,26,9,372
460,26,10,310
461,26,11,248
462,26,12,186
463,26,13,155
464,26,14,124
465,26,15,93
466,26,16,62
467,26,17,62
468,26,18,62
469,27,1,6500
470,27,2,2600
471,27,3,1625
472,27,4,975
473,27,5,650
474,27,6,585
475,27,7,520
476,27,8,455
477,27,9,390
