id,grade,order_min,order_max,coin_num
1,100,1,1,100
2,100,2,3,60
3,100,4,5,30
4,100,6,18,0
5,200,1,1,100
6,200,2,3,60
7,200,4,5,30
8,200,6,18,0
9,300,1,1,100
10,300,2,3,60
11,300,4,5,30
12,300,6,18,0
13,400,1,1,100
14,400,2,3,60
15,400,4,5,30
16,400,6,18,0
17,500,1,1,100
18,500,2,3,60
19,500,4,5,30
20,500,6,18,0
21,600,1,1,100
22,600,2,3,60
23,600,4,5,30
24,600,6,18,0
25,700,1,1,100
26,700,2,3,60
27,700,4,5,30
28,700,6,18,0
29,800,1,1,100
30,800,2,3,60
31,800,4,5,30
32,800,6,18,0
33,900,1,1,100
34,900,2,3,60
35,900,4,5,30
36,900,6,18,0
