id,effect_group_id,effect_type,effect_value_1,effect_value_2,effect_value_3,effect_value_4,turn
1,1001,1,1,3,0,0,0
2,1002,1,2,3,0,0,0
3,1003,1,3,3,0,0,0
4,1004,1,4,3,0,0,0
5,1005,1,5,3,0,0,0
6,1101,1,1,7,0,0,0
7,1102,1,2,7,0,0,0
8,1103,1,3,7,0,0,0
9,1104,1,4,7,0,0,0
10,1105,1,5,7,0,0,0
11,1201,1,1,15,0,0,0
12,1202,1,2,15,0,0,0
13,1203,1,3,15,0,0,0
14,1204,1,4,15,0,0,0
15,1205,1,5,15,0,0,0
16,2001,1,10,20,0,0,0
17,2002,1,10,40,0,0,0
18,2003,1,10,65,0,0,0
19,2101,1,10,100,0,0,0
20,2101,1,20,-1,0,0,0
21,2201,1,11,4,0,0,0
22,2201,1,10,5,0,0,0
23,2202,1,11,8,0,0,0
24,2301,1,20,1,0,0,0
25,2302,1,20,2,0,0,0
26,3001,3,2,9002,5,0,0
27,3101,3,1,0,5,0,0
28,4001,6,1,8,0,0,0
29,4002,6,1,9,0,0,0
30,4003,6,1,10,0,0,0
31,4004,6,1,7,0,0,0
32,4101,6,2,1,0,0,0
33,4102,6,2,2,0,0,0
34,4103,6,2,3,0,0,0
35,4104,6,2,4,0,0,0
36,4105,6,2,5,0,0,0
37,4106,6,2,6,0,0,0
38,4201,6,2,1,0,0,0
39,4201,6,2,2,0,0,0
40,4201,6,2,3,0,0,0
41,4201,6,2,4,0,0,0
42,4201,6,2,5,0,0,0
43,4201,6,2,6,0,0,0
44,5001,2,101,1,0,0,0
45,5002,2,105,1,0,0,0
46,5003,2,102,1,0,0,0
47,5004,2,103,1,0,0,0
48,5005,2,106,1,0,0,0
49,7001,10,0,0,0,0,0
50,8001,11,0,20,0,0,4
51,8002,11,0,40,0,0,3
52,8003,11,0,60,0,0,2
53,9001,11,101,50,0,0,1
54,9001,12,101,20,0,0,1
55,9002,11,105,50,0,0,1
56,9002,12,105,20,0,0,1
57,9003,11,102,50,0,0,1
58,9003,12,102,20,0,0,1
59,9004,11,103,50,0,0,1
60,9004,12,103,20,0,0,1
61,10001,13,0,0,0,0,1
62,11001,14,6,20,0,0,1
63,11002,14,6,35,0,0,1
64,11003,14,40,50,0,0,1
