id,item_id,effect_group_id,coin_num,limit_num,effect_group,effect_priority,motion_id,use_flag
1,1001,1001,10,5,0,0,1,1
2,1002,1002,10,5,0,0,1,1
3,1003,1003,10,5,0,0,1,1
4,1004,1004,10,5,0,0,1,1
5,1005,1005,10,5,0,0,1,1
6,1101,1101,15,5,0,0,1,1
7,1102,1102,15,5,0,0,1,1
8,1103,1103,15,5,0,0,1,1
9,1104,1104,15,5,0,0,1,1
10,1105,1105,15,5,0,0,1,1
11,1201,1201,30,5,0,0,1,1
12,1202,1202,30,5,0,0,1,1
13,1203,1203,30,5,0,0,1,1
14,1204,1204,30,5,0,0,1,1
15,1205,1205,30,5,0,0,1,1
16,2001,2001,35,5,0,0,2,0
17,2002,2002,55,5,0,0,2,0
18,2003,2003,75,5,0,0,2,0
19,2101,2101,70,5,0,0,2,0
20,2201,2201,30,5,0,0,2,0
21,2202,2202,50,5,0,0,2,0
22,2301,2301,30,5,0,0,2,0
23,2302,2302,55,5,0,0,2,0
24,3001,3001,10,5,0,0,3,0
25,3101,3101,40,5,0,0,3,0
26,4001,4001,150,5,0,0,2,0
27,4002,4002,150,5,0,0,2,0
28,4003,4003,150,5,0,0,2,0
29,4004,4004,280,5,0,0,2,0
30,4101,4101,15,5,1000,0,2,0
31,4102,4102,15,5,1000,0,2,0
32,4103,4103,15,5,1000,0,2,0
33,4104,4104,15,5,1000,0,2,0
34,4105,4105,15,5,1000,0,2,0
35,4106,4106,15,5,1000,0,2,0
36,4201,4201,40,5,1000,1,2,0
37,5001,5001,150,5,0,0,3,1
38,5002,5002,150,5,0,0,3,1
39,5003,5003,150,5,0,0,3,1
40,5004,5004,150,5,0,0,3,1
41,5005,5005,150,5,0,0,3,1
42,7001,7001,20,5,0,0,1,0
43,8001,8001,40,5,100,1,2,0
44,8002,8002,55,5,100,2,2,0
45,8003,8003,70,5,100,3,2,0
46,9001,9001,50,5,200,1,2,0
47,9002,9002,50,5,300,1,2,0
48,9003,9003,50,5,400,1,2,0
49,9004,9004,50,5,500,1,2,0
50,10001,10001,40,5,600,0,1,0
51,11001,11001,25,5,700,1,2,0
52,11002,11002,40,5,700,2,2,0
53,11003,11003,15,5,800,1,2,0
