id,race_group_id,grade,order_min,order_max,point_num
1,0,100,1,1,100
2,0,100,2,2,60
3,0,100,3,3,40
4,0,100,4,5,20
5,0,100,6,18,10
6,0,200,1,1,80
7,0,200,2,2,48
8,0,200,3,3,32
9,0,200,4,5,16
10,0,200,6,18,8
11,0,300,1,1,60
12,0,300,2,2,36
13,0,300,3,3,24
14,0,300,4,5,12
15,0,300,6,18,6
16,0,400,1,1,40
17,0,400,2,2,24
18,0,400,3,3,16
19,0,400,4,5,8
20,0,400,6,18,4
21,0,500,1,1,20
22,0,500,2,2,12
23,0,500,3,3,8
24,0,500,4,5,4
25,0,500,6,18,2
26,0,600,1,1,20
27,0,600,2,2,12
28,0,600,3,3,8
29,0,600,4,5,4
30,0,600,6,18,2
31,0,700,1,1,20
32,0,700,2,2,12
33,0,700,3,3,8
34,0,700,4,5,4
35,0,700,6,18,2
36,0,800,1,1,10
37,0,800,2,18,0
41,0,900,1,1,10
42,0,900,2,2,6
43,0,900,3,3,4
44,0,900,4,5,2
45,0,900,6,18,1
46,40001,0,1,1,10
47,40001,0,2,2,8
48,40001,0,3,3,6
49,40001,0,4,4,4
50,40001,0,5,6,3
51,40001,0,7,9,2
52,40001,0,10,13,1
53,40001,0,14,18,0
54,40002,0,1,1,10
55,40002,0,2,2,8
56,40002,0,3,3,6
57,40002,0,4,4,4
58,40002,0,5,6,3
59,40002,0,7,9,2
60,40002,0,10,13,1
61,40002,0,14,18,0
62,40003,0,1,1,10
63,40003,0,2,2,8
64,40003,0,3,3,6
65,40003,0,4,4,4
66,40003,0,5,6,3
67,40003,0,7,9,2
68,40003,0,10,13,1
69,40003,0,14,18,0
